scheme,experiment_name,pressures,pressure_folder,num_pressures,species,num_species,num_grouped_samples,input_size,output_size,hidden_size,arch_folder,seed,config_tag,config_signature,status,results_dir,saved_weights_dir,saved_weights_path,num_parameters,n_train,n_val,n_test,effective_train_fraction,effective_val_fraction,effective_test_fraction,epochs_ran,best_epoch,best_val_loss,final_train_loss,final_val_loss,current_run_training_time_s,cached_training_time_s,test_mse_scaled,test_rmse_scaled,test_mse_log10,test_rmse_log10,mean_relative_error_percent,max_relative_error_percent,K1_mean_relative_error_percent,K1_max_relative_error_percent,K2_mean_relative_error_percent,K2_max_relative_error_percent,K3_mean_relative_error_percent,K3_max_relative_error_percent,K4_mean_relative_error_percent,K4_max_relative_error_percent,K5_mean_relative_error_percent,K5_max_relative_error_percent,K6_mean_relative_error_percent,K6_max_relative_error_percent,K7_mean_relative_error_percent,K7_max_relative_error_percent,K8_mean_relative_error_percent,K8_max_relative_error_percent,K9_mean_relative_error_percent,K9_max_relative_error_percent
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"30,30",arch_30_30,42,cfg_f40f3c2b840a9417,f40f3c2b840a94171cf11cb27160a95137554baae00f82c953d42c08b38cc8a6,reused,Results_NN\O2_simple_9K\RunDefault9K\run_4b25ff7baacf203d\pressures_1_2_5_10\seed_0042\arch_30_30\cfg_f40f3c2b840a9417,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0042\cfg_f40f3c2b840a9417,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0042\cfg_f40f3c2b840a9417\model.pth,1599,144,36,20,0.72,0.18,0.1,387,287,0.5999135375022888,0.5374226570129395,0.5999135375022888,0.0,2.088005781173706,0.5525991916656494,0.7433701579063081,0.036286549836955666,0.19049028803840806,36.91951775793267,318.25734072765783,19.804692374542547,36.24790709424467,51.34068679730973,207.74686359926542,33.458231533215496,109.71729506499636,30.43296973400315,61.27111213832982,71.4760381054484,318.25734072765783,25.33820298169085,62.41515925847766,38.026932761993095,174.27327815079622,40.73366706126317,212.10070944299568,21.664238471927604,79.43874257529296
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"30,30",arch_30_30,43,cfg_20fbe733f1762f98,20fbe733f1762f98848d822145c06e0ff50a7f24508b79422a20305273a8319c,reused,Results_NN\O2_simple_9K\RunDefault9K\run_4b25ff7baacf203d\pressures_1_2_5_10\seed_0043\arch_30_30\cfg_20fbe733f1762f98,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0043\cfg_20fbe733f1762f98,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0043\cfg_20fbe733f1762f98\model.pth,1599,144,36,20,0.72,0.18,0.1,2125,2025,0.46596139669418335,0.40682587027549744,0.46596139669418335,0.0,11.879311561584473,0.5986295938491821,0.773711570192137,0.03840092676929904,0.19596154410827407,41.23011815403562,306.0429620729581,26.137237164036204,103.83427583579964,58.460692143152485,306.0429620729581,34.138989446024574,167.06157628027026,55.31480678850388,245.10901821937364,45.95427479087548,246.87343651205475,34.059223800276605,113.91428846537335,33.81289821247041,117.96716715542345,49.82761287340411,294.90807451601535,33.365328167576905,155.018668728068
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"30,30",arch_30_30,44,cfg_5b044f6cf91b371f,5b044f6cf91b371ff787ffb94ffd9dbc87ada6e4cbca6b31fef6df283032b24b,reused,Results_NN\O2_simple_9K\RunDefault9K\run_4b25ff7baacf203d\pressures_1_2_5_10\seed_0044\arch_30_30\cfg_5b044f6cf91b371f,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0044\cfg_5b044f6cf91b371f,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0044\cfg_5b044f6cf91b371f\model.pth,1599,144,36,20,0.72,0.18,0.1,2221,2121,0.502189040184021,0.3895687162876129,0.502189040184021,0.0,12.346901416778564,0.44105789065361023,0.6641218944242165,0.029130937689288306,0.17067787697674325,31.514049296970256,364.48723873339225,14.889694747165652,50.23127201469199,49.34988871582126,230.12900295762498,18.412075174623677,40.60893108953315,30.85388790704549,107.25820229475273,65.36264355632589,364.48723873339225,17.616109958804067,52.71249448397006,33.14628980123927,127.42992501825292,35.508914937071715,232.94705574955813,18.486938874635282,46.35696948654464
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"30,30",arch_30_30,45,cfg_32713c780f0faf0d,32713c780f0faf0dcb4566923ebae42706038ec876619a3b072f22b2694014aa,reused,Results_NN\O2_simple_9K\RunDefault9K\run_4b25ff7baacf203d\pressures_1_2_5_10\seed_0045\arch_30_30\cfg_32713c780f0faf0d,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0045\cfg_32713c780f0faf0d,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0045\cfg_32713c780f0faf0d\model.pth,1599,144,36,20,0.72,0.18,0.1,2011,1911,0.40757375955581665,0.39809831976890564,0.40757375955581665,0.0,11.47329044342041,0.4409549832344055,0.6640444136007813,0.029403935516908584,0.1714757578111512,32.68956115019224,393.57221369952924,13.968620947443311,41.90897766333613,41.88805830219235,120.92051123730624,16.216578601101777,40.84250915669877,42.803945576585114,151.33315350280046,76.50552503961713,393.57221369952924,14.927411060759013,34.432731429893494,21.470116594388482,77.15087593260913,44.85490498753178,137.72947797777286,21.57088924211114,51.210024911657925
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"30,30",arch_30_30,46,cfg_f76b80ee9d5c667f,f76b80ee9d5c667fc557d854fc01121a08873610f96f6d3d8e3ee20872eba6d0,reused,Results_NN\O2_simple_9K\RunDefault9K\run_4b25ff7baacf203d\pressures_1_2_5_10\seed_0046\arch_30_30\cfg_f76b80ee9d5c667f,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0046\cfg_f76b80ee9d5c667f,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0046\cfg_f76b80ee9d5c667f\model.pth,1599,144,36,20,0.72,0.18,0.1,3845,3745,0.5047598481178284,0.2885324954986572,0.5047598481178284,0.0,22.148313999176025,0.5189749002456665,0.7203991256558177,0.03368485299505961,0.18353433737330901,34.140212940544735,314.2612596188882,16.424219516583896,104.02344354936082,56.75608277889596,172.85472865031173,24.416884738265125,179.4290307917501,39.418082302241096,205.52382531766872,50.53958717328364,314.2612596188882,15.427714012684312,66.04197237517705,35.738654246763225,266.29875758633375,41.970782431246334,275.7537514775499,26.569909264939028,154.60675370514141
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"30,30",arch_30_30,47,cfg_a37a9ced157b4ddf,a37a9ced157b4ddf38b26d0bd417115e3418d2c69c14b7d8db37abc721a52e2a,reused,Results_NN\O2_simple_9K\RunDefault9K\run_4b25ff7baacf203d\pressures_1_2_5_10\seed_0047\arch_30_30\cfg_a37a9ced157b4ddf,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0047\cfg_a37a9ced157b4ddf,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0047\cfg_a37a9ced157b4ddf\model.pth,1599,144,36,20,0.72,0.18,0.1,5000,4992,0.5238012671470642,0.26508691906929016,0.5238012671470642,0.0,28.549864768981934,0.5267462134361267,0.7257728387285699,0.031026404931917828,0.17614313762368897,37.0134265949333,346.4793316872433,18.172281194624137,58.70291184889149,47.17033284641511,283.0289664921862,29.454590501001874,93.74701075773369,30.86020707318791,111.45551048507872,36.64346669265179,124.98901364467294,16.884683287658895,42.15865787366792,34.04015021817609,98.35796290076767,84.89971330103788,346.4793316872433,34.995414239646024,85.16794983279061
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"30,30",arch_30_30,48,cfg_d198f4ada6e50f7d,d198f4ada6e50f7d18454dd082584ccb683737cf568281973e44ab5ebbff990b,reused,Results_NN\O2_simple_9K\RunDefault9K\run_4b25ff7baacf203d\pressures_1_2_5_10\seed_0048\arch_30_30\cfg_d198f4ada6e50f7d,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0048\cfg_d198f4ada6e50f7d,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0048\cfg_d198f4ada6e50f7d\model.pth,1599,144,36,20,0.72,0.18,0.1,3020,2920,0.5017110705375671,0.3111644685268402,0.5017110705375671,0.0,17.145954370498657,0.5586056709289551,0.7473992714265616,0.03554383096446319,0.1885307162360107,37.112477238302645,387.78908252936833,20.042976093448534,48.690840449797555,42.18236204749955,196.5215663051197,24.41809451701216,63.06825438934457,61.69291624365793,387.78908252936833,56.22325507647026,299.362475166228,18.74429638126053,58.284803094108725,26.938748636438977,85.06063327136171,59.505373416111084,204.56910761461438,24.26427273282478,47.576997743619145
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"30,30",arch_30_30,49,cfg_f6d63d28032cd7e4,f6d63d28032cd7e44ef4e34c67fb04ca5715877bf7254730d6740a9971a9b63c,reused,Results_NN\O2_simple_9K\RunDefault9K\run_4b25ff7baacf203d\pressures_1_2_5_10\seed_0049\arch_30_30\cfg_f6d63d28032cd7e4,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0049\cfg_f6d63d28032cd7e4,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0049\cfg_f6d63d28032cd7e4\model.pth,1599,144,36,20,0.72,0.18,0.1,3677,3577,0.4396030306816101,0.30030402541160583,0.4396030306816101,0.0,23.99683690071106,0.37463316321372986,0.6120728414279871,0.024954385054422573,0.15796957002670664,27.394229472584307,174.18560206628854,17.849706320002063,50.9925603011766,38.52959211823014,155.05541125645615,22.406000843824863,114.26015836751459,28.371601963136396,54.10082931400563,34.8985791946481,112.39441441460707,20.226757548460238,99.47332257026251,34.3704511646625,174.18560206628854,27.240398684040183,69.96297229158228,22.654977416254255,101.89819061933338
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"30,30",arch_30_30,50,cfg_4cc1464bad7cfd55,4cc1464bad7cfd5599a90a4f8089d88fb49749d443af37d62f24acbbff605b49,reused,Results_NN\O2_simple_9K\RunDefault9K\run_4b25ff7baacf203d\pressures_1_2_5_10\seed_0050\arch_30_30\cfg_4cc1464bad7cfd55,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0050\cfg_4cc1464bad7cfd55,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0050\cfg_4cc1464bad7cfd55\model.pth,1599,144,36,20,0.72,0.18,0.1,891,791,0.49878183007240295,0.4979192614555359,0.49878183007240295,0.0,4.804487466812134,0.5382223725318909,0.7336364034941906,0.03406734471549097,0.1845734128077253,36.606068630625046,353.81422840366844,20.935557105439067,52.32721685480834,43.67549283975326,130.37035415726152,19.800147086582776,66.02539879975414,45.708110733774156,168.88681285934496,91.1785415193628,353.81422840366844,16.403817581468967,41.02320967095932,23.871157971177894,63.68793151582894,49.9268920447984,319.92503280493156,17.954900793268138,52.35742637645085
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"30,30",arch_30_30,51,cfg_c2fd27bb073c9c69,c2fd27bb073c9c699d5482e4bcecb76ba4257bd89fcc58b157494c65af2129e4,reused,Results_NN\O2_simple_9K\RunDefault9K\run_4b25ff7baacf203d\pressures_1_2_5_10\seed_0051\arch_30_30\cfg_c2fd27bb073c9c69,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0051\cfg_c2fd27bb073c9c69,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_30_30\seed_0051\cfg_c2fd27bb073c9c69\model.pth,1599,144,36,20,0.72,0.18,0.1,1563,1463,0.5513591170310974,0.44548478722572327,0.5513591170310974,0.0,9.03540587425232,0.3907413184642792,0.6250930478451021,0.025626519538026693,0.16008285210486067,28.386564485052826,334.95139158010454,9.666534891588604,27.300961323989014,37.47119382435854,197.50484648695473,17.246295026220636,37.058977102675996,35.303570317478226,145.01452356476926,51.14262378504495,334.95139158010454,19.4770886433109,80.24029876165947,26.83791171909852,157.7134133694248,42.5616099949132,216.8284123512751,15.772252163461841,33.63829201089215
