scheme,pressures,num_pressures,arch_folder,config_tag,num_seeds,num_models,num_trained,num_reused,mean_test_mse_scaled,std_test_mse_scaled,mean_test_rmse_scaled,mean_test_rmse_log10,mean_relative_error_percent,std_relative_error_percent,max_relative_error_percent,mean_best_val_loss,mean_epochs_ran,total_current_run_training_time_s,mean_cached_training_time_s
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_084935fefb0cee23,1,1,0,1,0.6666678786277771,,0.8164973230989659,0.2065560919815954,43.22222415443055,,483.99325943420513,0.5425423383712769,1929.0,0.0,11.277992010116577
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_0ae32182ce697091,1,1,0,1,0.5437094569206238,,0.7373665688927209,0.18592433644989395,38.459718022292904,,319.7321165238717,0.5347055792808533,2658.0,0.0,14.44340181350708
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_11f7217e2a7ecaa5,1,1,0,1,0.5619164109230042,,0.7496108396514849,0.18624966408385268,33.0458318138798,,302.9290528598242,0.4406382143497467,5000.0,0.0,28.488773345947266
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_20fbe733f1762f98,1,1,0,1,0.5986295938491821,,0.773711570192137,0.19596154410827407,41.23011815403562,,306.0429620729581,0.46596139669418335,2125.0,0.0,11.879311561584473
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_2458a4a638ae8143,1,1,0,1,0.46330028772354126,,0.680661654365472,0.1748293933986787,32.79268553363344,,218.3429540396912,0.5177894830703735,1853.0,0.0,9.871838569641113
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_2eacc1b2169411f3,1,1,0,1,0.4088236093521118,,0.6393931571045407,0.16010783821902,29.054426605337092,,402.506992574716,0.4733152389526367,5000.0,0.0,29.559009790420532
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_32713c780f0faf0d,1,1,0,1,0.4409549832344055,,0.6640444136007813,0.1714757578111512,32.68956115019224,,393.57221369952924,0.40757375955581665,2011.0,0.0,11.47329044342041
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_387e61417540edb4,1,1,0,1,0.43523162603378296,,0.6597208697879604,0.16747461630595178,34.04325606063278,,203.94957561907376,0.5275219678878784,4251.0,0.0,24.328943490982056
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_4cc1464bad7cfd55,1,1,0,1,0.5382223725318909,,0.7336364034941906,0.1845734128077253,36.606068630625046,,353.81422840366844,0.49878183007240295,891.0,0.0,4.804487466812134
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_5b044f6cf91b371f,1,1,0,1,0.44105789065361023,,0.6641218944242165,0.17067787697674325,31.514049296970256,,364.48723873339225,0.502189040184021,2221.0,0.0,12.346901416778564
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_7950e69f110bf23f,1,1,0,1,0.531886875629425,,0.7293057490719684,0.18307978522642554,38.06355670180423,,347.5296214441744,0.5305514931678772,2164.0,0.0,14.967376470565796
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_84a4e47d74ddc869,1,1,0,1,0.565441906452179,,0.7519587132630214,0.1882421288842483,38.20866820858121,,418.39498166867503,0.6107308864593506,1621.0,0.0,9.754964113235474
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_89fbbf9397ee1d3c,1,1,0,1,0.5354634523391724,,0.7317536828326676,0.18465951040388237,36.17537415934136,,353.9045861879049,0.5072240233421326,2131.0,0.0,11.044713020324707
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_a37a9ced157b4ddf,1,1,0,1,0.5267462134361267,,0.7257728387285699,0.17614313762368897,37.0134265949333,,346.4793316872433,0.5238012671470642,5000.0,0.0,28.549864768981934
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_c2fd27bb073c9c69,1,1,0,1,0.3907413184642792,,0.6250930478451021,0.16008285210486067,28.386564485052826,,334.95139158010454,0.5513591170310974,1563.0,0.0,9.03540587425232
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_d198f4ada6e50f7d,1,1,0,1,0.5586056709289551,,0.7473992714265616,0.1885307162360107,37.112477238302645,,387.78908252936833,0.5017110705375671,3020.0,0.0,17.145954370498657
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_d955821268513d69,1,1,0,1,0.4034784436225891,,0.6351995305591693,0.1623522805133211,29.690217414059614,,220.93909115787497,0.46271374821662903,5000.0,0.0,31.213632106781006
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_f40f3c2b840a9417,1,1,0,1,0.5525991916656494,,0.7433701579063081,0.19049028803840806,36.91951775793267,,318.25734072765783,0.5999135375022888,387.0,0.0,2.088005781173706
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_f6d63d28032cd7e4,1,1,0,1,0.37463316321372986,,0.6120728414279871,0.15796957002670664,27.394229472584307,,174.18560206628854,0.4396030306816101,3677.0,0.0,23.99683690071106
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_f76b80ee9d5c667f,1,1,0,1,0.5189749002456665,,0.7203991256558177,0.18353433737330901,34.140212940544735,,314.2612596188882,0.5047598481178284,3845.0,0.0,22.148313999176025
