scheme,experiment_name,species_config_name,kept_species,num_species_kept,input_size,output_size,hidden_size,noise_std,noise_percent,noise_label,test_mse_scaled_mean,test_mse_scaled_std,test_mse_scaled_min,test_mse_scaled_max,test_rmse_scaled_mean,test_rmse_scaled_std,test_rmse_scaled_min,test_rmse_scaled_max,k1_mse_scaled_mean,k1_mse_scaled_std,k1_mse_scaled_min,k1_mse_scaled_max,k1_rmse_scaled_mean,k1_rmse_scaled_std,k1_rmse_scaled_min,k1_rmse_scaled_max,k2_mse_scaled_mean,k2_mse_scaled_std,k2_mse_scaled_min,k2_mse_scaled_max,k2_rmse_scaled_mean,k2_rmse_scaled_std,k2_rmse_scaled_min,k2_rmse_scaled_max,k3_mse_scaled_mean,k3_mse_scaled_std,k3_mse_scaled_min,k3_mse_scaled_max,k3_rmse_scaled_mean,k3_rmse_scaled_std,k3_rmse_scaled_min,k3_rmse_scaled_max,num_seeds,num_noise_repeats,num_evaluations,fraction_reused_saved_weights,num_reused_saved_weights
O2_novib,InverseProblem_GaussianNoiseRobustness,5__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X),"O2(X), O2(a), O2(b), O2(Hz), O2+(X)",5,10,3,"30, 30",0.0,0.0,0%,2.2723192789143218e-06,1.0490441709472126e-06,8.357830423655343e-07,4.24401684851657e-06,0.0014646189165729258,0.0003571127720496321,0.0009142117054411053,0.0020601011743398845,5.0942864276994905e-06,2.6596106902341444e-06,1.3655622638708565e-06,9.931444370971931e-06,0.00217604409790886,0.0006000154648428918,0.0011685727465035526,0.0031514194216213003,1.003014364803878e-06,5.184186198401296e-07,9.895536844162223e-08,1.7971801362737239e-06,0.0009576697681064687,0.00029342499147625063,0.0003145717222536416,0.0013405894734308949,7.196570442395967e-07,3.559471187660613e-07,1.5324907408853506e-07,1.6822937744365164e-06,0.0008217720771219346,0.00021085266091238334,0.0003914704000158059,0.001297032680558403,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,5__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X),"O2(X), O2(a), O2(b), O2(Hz), O2+(X)",5,10,3,"30, 30",0.005,0.5,0.5%,0.0008172901048020394,0.00012616282016944758,0.0004931410381350972,0.0012672924419516551,0.02850454270436732,0.0021893224634717792,0.022206779103127433,0.03559905113836119,0.002211726975195352,0.00036259244443008276,0.0012596190910981809,0.0034950591311202484,0.04687311847213804,0.0038307213364008044,0.035491112846713906,0.05911902511983979,9.000191027240154e-05,1.8036201515202076e-05,5.334342138504588e-05,0.0001424619359593038,0.009440078244990196,0.0009428974705471923,0.007303658082430056,0.011935741952610395,0.00015014142893836498,2.5850933790985374e-05,9.082318817562829e-05,0.0002358863063580241,0.01220790089927982,0.0010542120181329213,0.009530120050431069,0.015358590637100272,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,5__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X),"O2(X), O2(a), O2(b), O2(Hz), O2+(X)",5,10,3,"30, 30",0.01,1.0,1%,0.0032831782818382427,0.0005040470975475039,0.0020133386879539797,0.004721871283176453,0.05713337094306775,0.004359325155295099,0.04487024278911336,0.06871587358956045,0.00888189119042209,0.0014432861837850011,0.005147724979272699,0.012947288881131405,0.09393841551522403,0.007590079325780181,0.07174764790062946,0.11378615417146062,0.0003566714155574755,6.749941812349146e-05,0.00019498464880909338,0.0006087355388436855,0.018803070779571513,0.0017674145527869015,0.013963690372143511,0.024672566523239643,0.0006109722395351631,0.000110664999253367,0.0003191256979828605,0.0009455717956726417,0.024616310499899083,0.002240993538102198,0.017864089620880784,0.030750151148777168,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,5__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X),"O2(X), O2(a), O2(b), O2(Hz), O2+(X)",5,10,3,"30, 30",0.02,2.0,2%,0.013188739302107335,0.0020587967910211022,0.008022448009292834,0.01903872474136674,0.11449794078574037,0.008897120591487853,0.08956811938012785,0.13798088542028833,0.03568851745121091,0.005899866411503356,0.02049610922382353,0.052298731735887144,0.18827804261397454,0.015507977433291539,0.14316462280823267,0.22868915963789613,0.001432216835283133,0.0002727699407796029,0.0007815463906588516,0.002451694106219353,0.03767733580071741,0.0035590545678105285,0.02795615121326345,0.049514584782863254,0.002445483619827957,0.00044162995634580677,0.0012658728886728986,0.0038011172022252636,0.04925145073840922,0.004452840606137378,0.03557910747437179,0.06165320107038452,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,5__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X),"O2(X), O2(a), O2(b), O2(Hz), O2+(X)",5,10,3,"30, 30",0.05,5.0,5%,0.08276672761852703,0.01251912711248649,0.05017984025591926,0.12283356285302392,0.2868798604351419,0.021629676430699497,0.22400857183581002,0.3504761944170016,0.2239080886069123,0.036018756687484665,0.1279892746722881,0.33809866331998306,0.4716761953658626,0.03785813556116262,0.3577558869848099,0.5814625209933854,0.009022335812067364,0.0017796229384459221,0.004883829448240882,0.015708932595938783,0.09453902989560431,0.009215201479684187,0.06988440060729492,0.1253352807310806,0.015369758436601435,0.002733417947385656,0.008994768918219714,0.024007282615915768,0.1234953763571193,0.010906320395822714,0.09484075557596383,0.15494283660729774,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,5__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X),"O2(X), O2(a), O2(b), O2(Hz), O2+(X)",5,10,3,"30, 30",0.1,10.0,10%,0.33268038847095754,0.05128011936865174,0.20198074447813888,0.512480728112027,0.5750917678991786,0.04421237157238811,0.44942267908744754,0.7158775929668613,0.8993225964850585,0.14840247316140928,0.513473188327778,1.4134622817109175,0.9451297618369463,0.07789414946835924,0.7165704350081561,1.188891198432774,0.036978034023841054,0.007664212119673535,0.01953836440067307,0.07255349782090618,0.1913026747187688,0.019551888916072815,0.13977969952991412,0.26935756499661595,0.06174053490397292,0.010848459395049333,0.0360520427080323,0.09832455735067715,0.24753855966806404,0.021595422828717476,0.18987375465827894,0.313567468578418,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,5__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X),"O2(X), O2(a), O2(b), O2(Hz), O2+(X)",5,10,3,"30, 30, 30",0.0,0.0,0%,1.5521165028135426e-06,7.862653753067263e-07,6.70480896927117e-07,3.849119932173295e-06,0.001210506484723551,0.000294971309519031,0.0008188289790469784,0.0019619174121693543,3.145913369165143e-06,2.180577625529375e-06,1.0637531360213615e-06,9.750705162598904e-06,0.001684654486694149,0.0005555395486386818,0.001031384087535464,0.0031226119135427163,6.376240253880283e-07,2.386643333286231e-07,2.4500666418347805e-07,1.1994576991014583e-06,0.0007841804758622807,0.00015080404940759928,0.0004949814786267038,0.0010951975616761837,8.728121138874556e-07,4.1142331662320076e-07,3.5971760507180763e-07,1.6488588201291066e-06,0.0009085786078521412,0.00021775115649821805,0.0005997646247252397,0.00128407897737215,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,5__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X),"O2(X), O2(a), O2(b), O2(Hz), O2+(X)",5,10,3,"30, 30, 30",0.005,0.5,0.5%,0.00085552505031854,0.00014243391465571916,0.0005228838254607175,0.001305056047457187,0.02914861801805486,0.0024285515462100188,0.022866653132033062,0.03612555947604393,0.0023174868618189904,0.00041270911559373026,0.0013809344406248147,0.003642559735712139,0.04795011783266515,0.004280053597738756,0.037160926261663806,0.06035362239097285,9.689337597592387e-05,2.1221756035820194e-05,5.240692114251821e-05,0.00018367516307517208,0.009787429649827208,0.0010499298583122353,0.007239262472277007,0.013552681029050011,0.00015219491316070585,2.4994371775331096e-05,8.941931789047786e-05,0.0002339745165683027,0.01229527902338642,0.0010117242027528216,0.009456178820775221,0.015296225566076838,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,5__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X),"O2(X), O2(a), O2(b), O2(Hz), O2+(X)",5,10,3,"30, 30, 30",0.01,1.0,1%,0.00343933074994243,0.0005714431087029755,0.002160817872697968,0.00529739474282696,0.05844904881380794,0.004805953148720468,0.04648459823100516,0.07278320371367944,0.009319677049407164,0.0016455757474791084,0.005736933992489308,0.014770310854907756,0.09617234246260432,0.008410376373240708,0.07574255073925956,0.12153316771526922,0.0003827264199331011,7.969787117698448e-05,0.00019735044228931466,0.000737248267528754,0.019459092398121543,0.0020199860974904325,0.014048147290276916,0.027152316061963368,0.0006155887804870251,0.00011243798766034562,0.00036747282361565325,0.0009635887968660839,0.024710217910521578,0.002237504719545535,0.019169580684398217,0.031041726705614878,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,5__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X),"O2(X), O2(a), O2(b), O2(Hz), O2+(X)",5,10,3,"30, 30, 30",0.02,2.0,2%,0.013806786283701144,0.0023281768058893136,0.008666272485778335,0.02083608645992727,0.11709609347325785,0.00977394505858452,0.09309281651007416,0.14434710409262552,0.03742188724077225,0.006705291495278847,0.023016934303534207,0.057732518780916925,0.19269143125933208,0.017106464796882076,0.15171332935353507,0.2402759221830538,0.001535540442816927,0.00032345466810387434,0.0007857955880896572,0.002962245330858142,0.038973391156407335,0.004081282488811741,0.028032045735009375,0.05442651312419474,0.002462931167514254,0.0004536456262355195,0.001468785446369667,0.003877515665095146,0.04942319654704395,0.0045088396149341806,0.03832473674234002,0.062269701019798916,20,20,400,1.0,400
