Time(s)              GasTemp(K)           [O2(X)](m^-3)        [O2(a)](m^-3)        [O(3P)](m^-3)       
0.00000000000000e+00 3.77000000000000e+02 4.31535613272970e+22 0.00000000000000e+00 0.00000000000000e+00 
1.01998050292156e-16 3.77000000000000e+02 4.31535613272968e+22 1.09964915213412e+08 2.40128500938674e+08 
2.03996100584312e-16 3.77000000000000e+02 4.31535613272966e+22 2.19929830426823e+08 4.80257001877345e+08 
3.05994150876468e-16 3.77000000000000e+02 4.31535613272964e+22 3.29894745640231e+08 7.20385502816014e+08 
1.32597465379803e-15 3.77000000000000e+02 4.31535613272941e+22 1.42954389777416e+09 3.12167051220247e+09 
2.34595515671959e-15 3.77000000000000e+02 4.31535613272918e+22 2.52919304990790e+09 5.52295552158867e+09 
3.36593565964114e-15 3.77000000000000e+02 4.31535613272895e+22 3.62884220204146e+09 7.92424053097461e+09 
1.35657406888567e-14 3.77000000000000e+02 4.31535613272665e+22 1.46253337233610e+10 3.19370906248112e+10 
2.37655457180723e-14 3.77000000000000e+02 4.31535613272435e+22 2.56218252446624e+10 5.59499407186218e+10 
3.39653507472879e-14 3.77000000000000e+02 4.31535613272205e+22 3.66183167659451e+10 7.99627908124061e+10 
1.35963401039444e-13 3.77000000000000e+02 4.31535613269904e+22 1.46583231977172e+11 3.20091291747969e+11 
2.37961451331600e-13 3.77000000000000e+02 4.31535613267604e+22 2.56548147186576e+11 5.60219792680939e+11 
3.39959501623756e-13 3.77000000000000e+02 4.31535613265304e+22 3.66513062394124e+11 8.00348293611266e+11 
1.35994000454531e-12 3.77000000000000e+02 4.31535613242301e+22 1.46616221430948e+12 3.20163330268664e+12 
2.37992050746687e-12 3.77000000000000e+02 4.31535613219298e+22 2.56581136604263e+12 5.60291831150267e+12 
3.39990101038843e-12 3.77000000000000e+02 4.31535613196295e+22 3.66546051759011e+12 8.00420332005443e+12 
1.35997060396040e-11 3.77000000000000e+02 4.31535612966266e+22 1.46619520170532e+13 3.20170533827825e+13 
2.37995110688196e-11 3.77000000000000e+02 4.31535612736237e+22 2.56584434982948e+13 5.60299034195757e+13 
3.39993160980352e-11 3.77000000000000e+02 4.31535612506207e+22 3.66549349609699e+13 8.00427534299430e+13 
1.35997366390191e-10 3.77000000000000e+02 4.31535610205916e+22 1.46619847986553e+14 3.20171251254658e+14 
2.37995416682347e-10 3.77000000000000e+02 4.31535607905624e+22 2.56584759189982e+14 5.60299746485884e+14 
3.39993466974503e-10 3.77000000000000e+02 4.31535605605333e+22 3.66549668536758e+14 8.00428239074517e+14 
1.35997396989606e-09 3.77000000000000e+02 4.31535582602420e+22 1.46619860188771e+15 3.20171293706506e+15 
2.37995447281762e-09 3.77000000000000e+02 4.31535559599510e+22 2.56584735302326e+15 5.60299737570672e+15 
3.39993497573918e-09 3.77000000000000e+02 4.31535536596604e+22 3.66549591849338e+15 8.00428155008909e+15 
1.35997400049548e-08 3.77000000000000e+02 4.31535306567812e+22 1.46619655614935e+16 3.20171005043413e+16 
2.37995450341704e-08 3.77000000000000e+02 4.31535076539333e+22 2.56584169828770e+16 5.60298935237054e+16 
3.39993500633860e-08 3.77000000000000e+02 4.31534846511171e+22 3.66548498376156e+16 8.00426601171479e+16 
1.35997400355542e-07 3.77000000000000e+02 4.31532546256963e+22 1.46617577194363e+17 3.20168047101682e+17 
2.37995450647698e-07 3.77000000000000e+02 4.31530246033944e+22 2.56578482315183e+17 5.60290840598645e+17 
3.39993500939854e-07 3.77000000000000e+02 4.31527945842706e+22 3.66537530670639e+17 8.00410991510620e+17 
1.35997400386141e-06 3.77000000000000e+02 4.31504946671160e+22 1.46596787462406e+18 3.20138461289171e+18 
2.37995450678297e-06 3.77000000000000e+02 4.31481950619329e+22 2.56521592077240e+18 5.60209888677852e+18 
