scheme,pressures,num_pressures,arch_folder,config_tag,num_seeds,num_models,num_trained,num_reused,mean_test_mse_scaled,std_test_mse_scaled,mean_test_rmse_scaled,mean_test_rmse_log10,mean_relative_error_percent,std_relative_error_percent,max_relative_error_percent,mean_best_val_loss,mean_epochs_ran,total_current_run_training_time_s,mean_cached_training_time_s
O2_simple_9K,"1,2,5,10",4,arch_100_100_100,cfg_0528b799dac65754,1,1,1,0,0.5297954082489014,,0.7278704611734848,0.18301286433257508,34.536133629694255,,270.43449364937,0.4709893763065338,1016.0,11.524540662765503,11.524540662765503
O2_simple_9K,"1,2,5,10",4,arch_100_100_100,cfg_0bd87f80dc8eca4d,1,1,1,0,0.4140976071357727,,0.6435041624851954,0.16514429525344682,30.544000958779563,,159.84838959755322,0.5044572353363037,666.0,12.57156229019165,12.57156229019165
O2_simple_9K,"1,2,5,10",4,arch_100_100_100,cfg_0c289eaedc00cca4,1,1,1,0,0.3835420310497284,,0.6193077030440751,0.16007111729662946,28.1770375391663,,186.78853134090954,0.33855700492858887,1280.0,14.257107734680176,14.257107734680176
O2_simple_9K,"1,2,5,10",4,arch_100_100_100,cfg_422af17bd3409db1,1,1,1,0,0.4479711353778839,,0.669306458491089,0.16771642577654433,29.895684286457236,,224.8094653590465,0.43708866834640503,1112.0,16.224375247955322,16.224375247955322
O2_simple_9K,"1,2,5,10",4,arch_100_100_100,cfg_4953d3ee3f6c9377,1,1,1,0,0.5421740412712097,,0.7363246846814316,0.1857097563797288,38.23429923133193,,340.4178114420498,0.49053993821144104,1067.0,14.243884086608887,14.243884086608887
O2_simple_9K,"1,2,5,10",4,arch_100_100_100,cfg_5bea3788601f37db,1,1,1,0,0.37442487478256226,,0.6119026677361051,0.1532626559992573,26.51653093329132,,255.25004458409123,0.40957221388816833,1564.0,16.452589988708496,16.452589988708496
O2_simple_9K,"1,2,5,10",4,arch_100_100_100,cfg_65d8a838deec0bdc,1,1,1,0,0.5133607983589172,,0.7164920085799403,0.1828183684650952,33.725472697668934,,327.6153596472473,0.49298298358917236,674.0,7.691716194152832,7.691716194152832
O2_simple_9K,"1,2,5,10",4,arch_100_100_100,cfg_7d706929261ec7cc,1,1,1,0,0.4191311299800873,,0.6474033750144397,0.1639930095255646,33.11064934234678,,181.30968188668712,0.48243898153305054,912.0,12.83414602279663,12.83414602279663
O2_simple_9K,"1,2,5,10",4,arch_100_100_100,cfg_8b3b21d2dc897fd1,1,1,1,0,0.5976704955101013,,0.7730915181982669,0.18874783451289884,39.57664261012182,,422.1377144394634,0.5597343444824219,418.0,4.784800291061401,4.784800291061401
O2_simple_9K,"1,2,5,10",4,arch_100_100_100,cfg_99116341edc96588,1,1,1,0,0.3832471966743469,,0.6190696218312985,0.15907307486010955,29.61911640540043,,227.10505803032746,0.3407808840274811,1166.0,12.444453001022339,12.444453001022339
O2_simple_9K,"1,2,5,10",4,arch_100_100_100,cfg_9ab60194d8c09d46,1,1,1,0,0.3645285367965698,,0.603761986876095,0.15422738660810165,27.927835941449537,,172.1599245350866,0.4483320415019989,1288.0,19.1801860332489,19.1801860332489
O2_simple_9K,"1,2,5,10",4,arch_100_100_100,cfg_9c5521dc9ce000f6,1,1,1,0,0.4133372902870178,,0.6429131281028704,0.1639520655355673,28.5375090936307,,263.83432887353825,0.40769335627555847,1325.0,17.25442671775818,17.25442671775818
O2_simple_9K,"1,2,5,10",4,arch_100_100_100,cfg_a0b0df32d84890ac,1,1,1,0,0.5303542017936707,,0.728254215088159,0.18301981986878213,35.94428655402358,,335.3738210582876,0.4908084571361542,313.0,3.180922269821167,3.180922269821167
