scheme,experiment_name,pressures,pressure_folder,num_pressures,species,num_species,num_grouped_samples,input_size,output_size,hidden_size,arch_folder,seed,config_tag,config_signature,status,results_dir,saved_weights_dir,saved_weights_path,num_parameters,n_train,n_val,n_test,effective_train_fraction,effective_val_fraction,effective_test_fraction,epochs_ran,best_epoch,best_val_loss,final_train_loss,final_val_loss,current_run_training_time_s,cached_training_time_s,test_mse_scaled,test_rmse_scaled,test_mse_log10,test_rmse_log10,mean_relative_error_percent,max_relative_error_percent,K1_mean_relative_error_percent,K1_max_relative_error_percent,K2_mean_relative_error_percent,K2_max_relative_error_percent,K3_mean_relative_error_percent,K3_max_relative_error_percent,K4_mean_relative_error_percent,K4_max_relative_error_percent,K5_mean_relative_error_percent,K5_max_relative_error_percent,K6_mean_relative_error_percent,K6_max_relative_error_percent,K7_mean_relative_error_percent,K7_max_relative_error_percent,K8_mean_relative_error_percent,K8_max_relative_error_percent,K9_mean_relative_error_percent,K9_max_relative_error_percent
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"100,100,100",arch_100_100_100,32,cfg_9ab60194d8c09d46,9ab60194d8c09d464d5cdcf13bafc31f7db714ace82a6e2d55ebc12f5490f34c,trained,Results_NN\O2_simple_9K\RunDefault9K\run_c81f19b138bf21f5\pressures_1_2_5_10\seed_0032\arch_100_100_100\cfg_9ab60194d8c09d46,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_100_100_100\seed_0032\cfg_9ab60194d8c09d46,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_100_100_100\seed_0032\cfg_9ab60194d8c09d46\model.pth,22409,144,36,20,0.72,0.18,0.1,1288,1188,0.4483320415019989,0.19828812777996063,0.4483320415019989,19.1801860332489,19.1801860332489,0.3645285367965698,0.603761986876095,0.023786086779964855,0.15422738660810165,27.927835941449537,172.1599245350866,14.563434579237208,42.17076126489431,56.469508561015694,158.14001410569026,18.124584849202662,86.63639081071621,37.518969095286586,125.17763573227192,36.23733709121792,172.1599245350866,13.30815138295009,48.71171684387142,19.67002533087884,95.17724906789195,35.907209032916896,106.74939004084523,19.551303550339917,94.84616709620003
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"100,100,100",arch_100_100_100,33,cfg_bef6b32857562a86,bef6b32857562a86c74270083d57be78895f12c7c149a3bcc4902f4e10565cb6,trained,Results_NN\O2_simple_9K\RunDefault9K\run_c81f19b138bf21f5\pressures_1_2_5_10\seed_0033\arch_100_100_100\cfg_bef6b32857562a86,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_100_100_100\seed_0033\cfg_bef6b32857562a86,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_100_100_100\seed_0033\cfg_bef6b32857562a86\model.pth,22409,144,36,20,0.72,0.18,0.1,547,447,0.5097300410270691,0.38285085558891296,0.5097300410270691,13.871236085891724,13.871236085891724,0.5959320664405823,0.7719663635422092,0.037942433613319095,0.19478817626673106,39.80724360306296,558.7472838530023,16.645173255526544,84.3328181421725,54.05274947760385,231.00253926144418,21.231933869654593,109.37265153860506,66.19409413845436,558.7472838530023,77.1535246316961,370.21127890396946,22.505856011357935,99.7695177032443,27.833597268238208,108.82087568509817,54.256009955078156,318.93989807680015,18.392253819956846,57.477635692945064
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"100,100,100",arch_100_100_100,34,cfg_d44cdc64dd95243c,d44cdc64dd95243cb0c9b23f234d6ef3d293ab4c8b637057d7709e4e0f4f91d7,trained,Results_NN\O2_simple_9K\RunDefault9K\run_c81f19b138bf21f5\pressures_1_2_5_10\seed_0034\arch_100_100_100\cfg_d44cdc64dd95243c,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_100_100_100\seed_0034\cfg_d44cdc64dd95243c,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_100_100_100\seed_0034\cfg_d44cdc64dd95243c\model.pth,22409,144,36,20,0.72,0.18,0.1,487,387,0.5762946605682373,0.3965468108654022,0.5762946605682373,8.026968479156494,8.026968479156494,0.5511964559555054,0.7424260609350304,0.034596637568680214,0.1860017138864054,37.862561337558354,427.24903671354895,12.496009097610754,38.71036852699342,54.78965310744612,149.01892126182162,25.403923514533904,79.66945340946376,32.60192614341805,188.21286988330888,74.99246234732627,311.05392998205446,17.37604114182303,53.330366280153775,29.636083488833187,82.75660585827323,71.87305698292425,427.24903671354895,21.593896214109627,63.928440290497726
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"100,100,100",arch_100_100_100,35,cfg_422af17bd3409db1,422af17bd3409db14456b504fb43f91c9a2340f085dbca05b9df4304b59fb2c5,trained,Results_NN\O2_simple_9K\RunDefault9K\run_c81f19b138bf21f5\pressures_1_2_5_10\seed_0035\arch_100_100_100\cfg_422af17bd3409db1,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_100_100_100\seed_0035\cfg_422af17bd3409db1,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_100_100_100\seed_0035\cfg_422af17bd3409db1\model.pth,22409,144,36,20,0.72,0.18,0.1,1112,1012,0.43708866834640503,0.24500849843025208,0.43708866834640503,16.224375247955322,16.224375247955322,0.4479711353778839,0.669306458491089,0.028128799475259106,0.16771642577654433,29.895684286457236,224.8094653590465,18.1649237777708,67.79620426461955,31.15261140496392,108.83713841445586,20.211446162161224,85.35005020605581,43.07460163630544,206.17819740010037,44.645219723507985,224.8094653590465,19.903529737134047,69.68785805338692,22.725361755542227,62.46865741748814,49.788413001884244,191.88658599722243,19.395051378845213,81.51583489910116
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"100,100,100",arch_100_100_100,36,cfg_bfe31c84c98b7c25,bfe31c84c98b7c25a3ae194265b0d1fe8382e35f3859e74782646b695b2c17dd,trained,Results_NN\O2_simple_9K\RunDefault9K\run_c81f19b138bf21f5\pressures_1_2_5_10\seed_0036\arch_100_100_100\cfg_bfe31c84c98b7c25,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_100_100_100\seed_0036\cfg_bfe31c84c98b7c25,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_100_100_100\seed_0036\cfg_bfe31c84c98b7c25\model.pth,22409,144,36,20,0.72,0.18,0.1,1409,1309,0.4134514033794403,0.21445070207118988,0.4134514033794403,27.372297763824463,27.372297763824463,0.5032691359519958,0.7094146431756225,0.03087922446789035,0.17572485443980412,30.83097039131968,277.7500999583437,12.487127072677724,30.76562761061995,55.21457262327489,188.2637925773967,24.102051968377033,48.350268783317354,26.62613938228699,116.04705325248781,42.708915334873595,248.65915034904054,11.80275011671641,29.833766845810867,33.89408237201118,87.67369460793407,50.95461866331209,277.7500999583437,19.688475988347193,58.69336306360988
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"100,100,100",arch_100_100_100,37,cfg_0bd87f80dc8eca4d,0bd87f80dc8eca4dfb25752a968537e9be0f3fbcdb4cb75c3beac6451cb4ee3f,trained,Results_NN\O2_simple_9K\RunDefault9K\run_c81f19b138bf21f5\pressures_1_2_5_10\seed_0037\arch_100_100_100\cfg_0bd87f80dc8eca4d,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_100_100_100\seed_0037\cfg_0bd87f80dc8eca4d,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_100_100_100\seed_0037\cfg_0bd87f80dc8eca4d\model.pth,22409,144,36,20,0.72,0.18,0.1,666,566,0.5044572353363037,0.3793368935585022,0.5044572353363037,12.57156229019165,12.57156229019165,0.4140976071357727,0.6435041624851954,0.027272638254757613,0.16514429525344682,30.544000958779563,159.84838959755322,12.570133312015901,46.37494117945431,48.015050573894335,150.49819202029198,24.170371620661328,87.04313390321875,34.94335566265431,80.88337793127658,41.322393235001044,120.32459991836717,13.56913985432431,54.10153814339227,34.98498650703484,115.0745672137374,44.39497745814124,159.84838959755322,20.92560040528877,63.04338979826465
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"100,100,100",arch_100_100_100,38,cfg_4953d3ee3f6c9377,4953d3ee3f6c9377c9274139985515b3aaa522633341092ed3e32ec2dcde3451,trained,Results_NN\O2_simple_9K\RunDefault9K\run_c81f19b138bf21f5\pressures_1_2_5_10\seed_0038\arch_100_100_100\cfg_4953d3ee3f6c9377,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_100_100_100\seed_0038\cfg_4953d3ee3f6c9377,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_100_100_100\seed_0038\cfg_4953d3ee3f6c9377\model.pth,22409,144,36,20,0.72,0.18,0.1,1067,967,0.49053993821144104,0.23258128762245178,0.49053993821144104,14.243884086608887,14.243884086608887,0.5421740412712097,0.7363246846814316,0.034488113614618225,0.1857097563797288,38.23429923133193,340.4178114420498,22.589802453461026,136.59424336016605,62.460330642951824,248.72252259200147,32.35125271373364,186.57347403894772,61.703178184738924,340.4178114420498,38.03688207160234,130.0720778081095,22.265300804736114,126.54855759483523,29.557953194550034,129.48810847630753,37.960656745971924,115.54738126926691,37.18333627024158,194.98016756483156
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"100,100,100",arch_100_100_100,39,cfg_7d706929261ec7cc,7d706929261ec7cc470e91da753a0597e3d8cd142d0b6c04cdb41b378e8093cd,trained,Results_NN\O2_simple_9K\RunDefault9K\run_c81f19b138bf21f5\pressures_1_2_5_10\seed_0039\arch_100_100_100\cfg_7d706929261ec7cc,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_100_100_100\seed_0039\cfg_7d706929261ec7cc,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_100_100_100\seed_0039\cfg_7d706929261ec7cc\model.pth,22409,144,36,20,0.72,0.18,0.1,912,812,0.48243898153305054,0.2959645390510559,0.48243898153305054,12.83414602279663,12.83414602279663,0.4191311299800873,0.6474033750144397,0.02689370717325192,0.1639930095255646,33.11064934234678,181.30968188668712,15.946669381014456,45.68535120022989,60.54530383143969,175.1127998254571,26.276747728426464,138.0808261001431,28.50338977235441,87.25057793580068,47.75972859414418,180.20129065566718,20.64893405343568,104.5625908606894,34.84985010151011,138.70288971372162,40.55885459172003,181.30968188668712,22.90636602707606,129.84015980652677
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"100,100,100",arch_100_100_100,40,cfg_f938dd6241690700,f938dd62416907005ae13bfa57761306d7665453549f39a50a1a3468d4689a1d,trained,Results_NN\O2_simple_9K\RunDefault9K\run_c81f19b138bf21f5\pressures_1_2_5_10\seed_0040\arch_100_100_100\cfg_f938dd6241690700,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_100_100_100\seed_0040\cfg_f938dd6241690700,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_100_100_100\seed_0040\cfg_f938dd6241690700\model.pth,22409,144,36,20,0.72,0.18,0.1,1138,1038,0.474810928106308,0.22528643906116486,0.474810928106308,12.354582071304321,12.354582071304321,0.5377436876296997,0.7333100896821888,0.033917458293037876,0.18416693050881278,38.95690613683141,718.0238624843389,23.10351356516654,108.01674236217676,41.39365551047022,229.50195303944426,33.956056242553544,93.8456904126403,41.618427551032276,212.80340548307427,90.51601310267229,718.0238624843389,23.270623096903474,91.71107000091958,34.66779440240329,85.90691443726992,36.52063415059979,120.69263038108748,25.565437609681247,67.4065610606679
O2_simple_9K,RunDefault9K,"1,2,5,10",pressures_1_2_5_10,4,"O2(X),O2(a),O(3P)",3,200,12,9,"100,100,100",arch_100_100_100,41,cfg_5bea3788601f37db,5bea3788601f37db6f31dd376fb34e6ceb7c7016955a5828a85fef4383128d24,trained,Results_NN\O2_simple_9K\RunDefault9K\run_c81f19b138bf21f5\pressures_1_2_5_10\seed_0041\arch_100_100_100\cfg_5bea3788601f37db,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_100_100_100\seed_0041\cfg_5bea3788601f37db,saved_weights\O2_simple_9K\pressures_1_2_5_10\arch_100_100_100\seed_0041\cfg_5bea3788601f37db\model.pth,22409,144,36,20,0.72,0.18,0.1,1564,1464,0.40957221388816833,0.18350476026535034,0.40957221388816833,16.452589988708496,16.452589988708496,0.37442487478256226,0.6119026677361051,0.023489441723946687,0.1532626559992573,26.51653093329132,255.25004458409123,13.2979619364893,39.949312384473046,41.0063155378787,176.71553336930782,17.93402516186566,45.252116886866204,33.34591228670359,255.25004458409123,41.194585228109865,167.4180811992285,11.409433089438782,28.73812156558053,24.67056596709108,58.892632981892625,40.580876250934644,128.01156639441956,15.209102941110297,40.98372704020267
