scheme,experiment_name,fullrun_timestamp,seed,split_seed,shuffle_seed,weight_seed,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,display_species_for_folder,folder_species_slots,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,training_time_s,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,35,35,35,35,"50, 50",2,2953,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,2452,2352,7.885076446554094e-06,5.362908450479154e-06,5.090981885587098e-06,5.698642326024128e-06,0.0023871829268039195,1.401298464324817e-45,3.743392130574644e-23,146.52316808700562,0.006057268939912319,0.03008902445435524,0.0019120026845484972,0.007035812828689814,0.0008378580678254366,0.0027562789618968964
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,35,35,35,35,"30, 30, 30",3,2103,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,4204,4104,1.8924939073864758e-06,1.0665124682418537e-06,9.01269804671756e-07,7.685475793550722e-07,0.0008766684546366844,1.401298464324817e-45,3.743392130574644e-23,215.44811964035034,0.0016679118853062391,0.0119699165225029,0.0007577413925901055,0.0032625605817884207,0.0008695509168319404,0.003650450147688389
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,36,36,36,36,"30, 30",2,1173,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,2144,2044,9.877705482116047e-06,7.221351934276754e-06,7.188251129264245e-06,7.674127118662e-06,0.0027702214927081193,1.401298464324817e-45,3.743392130574644e-23,93.73868918418884,0.007092463783919811,0.040329523384571075,0.002051224000751972,0.00852173287421465,0.0011944619473069906,0.004314463119953871
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,36,36,36,36,"50, 50",2,2953,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,1938,1838,9.919585956797366e-06,1.317433467193041e-05,5.445631304610288e-06,5.499547114595771e-06,0.002345111322431362,1.401298464324817e-45,3.743392130574644e-23,116.54039978981018,0.0061317188665270805,0.031839899718761444,0.001336037996225059,0.004447743762284517,0.0013641051482409239,0.006725555285811424
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,36,36,36,36,"30, 30, 30",3,2103,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,2828,2728,3.379487774408416e-06,2.3263889033842133e-06,1.7218307175426162e-06,1.5366800880656228e-06,0.0012396290122716647,2.802596928649634e-45,5.293955920339377e-23,144.8415014743805,0.002507883356884122,0.013560931198298931,0.0006453278474509716,0.0026498455554246902,0.0015967327635735273,0.007377224043011665
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,37,37,37,37,"30, 30",2,1173,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,3923,3823,4.3960253272719755e-06,5.158703693268763e-06,2.723957250054809e-06,2.7081084681412904e-06,0.001645633151143137,1.401298464324817e-45,3.743392130574644e-23,193.83875966072083,0.003891152096912265,0.020718364045023918,0.001261651050299406,0.005089531186968088,0.0011614591348916292,0.005642136093229055
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,37,37,37,37,"50, 50",2,2953,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,2532,2432,6.233772093966966e-06,3.311794416731573e-06,2.580608429525455e-06,2.6002010145020904e-06,0.0016125138804060231,1.401298464324817e-45,3.743392130574644e-23,251.81089615821838,0.004019605461508036,0.02327299304306507,0.001198703539557755,0.005545445717871189,0.0011186343617737293,0.004214814398437738
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,37,37,37,37,"30, 30, 30",3,2103,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,2050,1950,2.6058150160679362e-06,2.473487002134789e-06,1.2369601563477772e-06,1.137573349296872e-06,0.0010665708365115145,1.401298464324817e-45,3.743392130574644e-23,175.1585774421692,0.0019081390928477049,0.006729277782142162,0.0013494788436219096,0.005051068961620331,0.0011227650102227926,0.004055945202708244
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,38,38,38,38,"30, 30",2,1173,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,5000,4992,1.9843107790822817e-06,5.07531248331361e-06,1.4528535029967316e-06,1.2807262237402028e-06,0.001131691752969952,1.401298464324817e-45,3.743392130574644e-23,338.8343985080719,0.0026398629415780306,0.019143149256706238,0.0007934122695587575,0.003615499474108219,0.0009452746598981321,0.004677730146795511
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,38,38,38,38,"50, 50",2,2953,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,3002,2902,4.027829598069528e-06,4.527286000666208e-06,2.6596215957397363e-06,2.512892024242319e-06,0.0015852104037768358,1.401298464324817e-45,3.743392130574644e-23,229.84111714363098,0.004139439202845097,0.01938054710626602,0.0009469598298892379,0.007196211721748114,0.0010989350266754627,0.006189287174493074
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,38,38,38,38,"30, 30, 30",3,2103,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,2666,2566,2.053427810500984e-06,1.8733503975454368e-06,1.6582567582190676e-06,1.2634135373446043e-06,0.001124016697982999,1.401298464324817e-45,3.743392130574644e-23,219.35728120803833,0.0023675013799220324,0.012661403976380825,0.001415501581504941,0.006527790799736977,0.0008523811120539904,0.00457622017711401
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,39,39,39,39,"30, 30",2,1173,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,5000,4965,3.0073968274438e-06,1.8802115619109828e-06,1.5808643593118178e-06,1.3434795391731313e-06,0.0011590856479023158,1.401298464324817e-45,3.743392130574644e-23,338.18771052360535,0.0026943988632410765,0.01555845607072115,0.0009392978972755373,0.003337254049256444,0.0009778275853022933,0.0023350790143013
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,39,39,39,39,"50, 50",2,2953,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,1542,1442,5.948017765654691e-06,5.171269822312752e-06,4.863618614763254e-06,4.766415713675087e-06,0.002183212246593328,2.802596928649634e-45,5.293955920339377e-23,121.8177261352539,0.005322640761733055,0.026335328817367554,0.0017974007641896605,0.008281921967864037,0.001601163181476295,0.010119385085999966
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,39,39,39,39,"30, 30, 30",3,2103,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,2589,2489,2.9620461332847802e-06,2.674737825145712e-06,2.062814660348522e-06,1.7739812392392196e-06,0.0013319088704709567,2.802596928649634e-45,5.293955920339377e-23,153.87597465515137,0.0025895012076944113,0.014454247429966927,0.0013165948912501335,0.006319624837487936,0.0018048154888674617,0.007925989106297493
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,40,40,40,40,"30, 30",2,1173,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,2069,1969,7.896221292564102e-06,6.817993253207533e-06,6.029869346093619e-06,6.35669675830286e-06,0.0025212490472586915,2.802596928649634e-45,5.293955920339377e-23,123.10890865325928,0.006488797254860401,0.030134843662381172,0.00204530474729836,0.008462028577923775,0.0014866539277136326,0.0060691568069159985
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,40,40,40,40,"50, 50",2,2953,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,2188,2088,5.19259066297511e-06,5.470370851980988e-06,3.4423522356519243e-06,3.5834164009429514e-06,0.0018929913895585873,1.401298464324817e-45,3.743392130574644e-23,165.87494039535522,0.0046106064692139626,0.02481902204453945,0.001729666138999164,0.005703513044863939,0.0012035031104460359,0.00371003826148808
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,40,40,40,40,"30, 30, 30",3,2103,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,2889,2789,1.4219443874531458e-06,2.6050027463497827e-06,9.136943322118895e-07,7.162886390688072e-07,0.0008463383714973623,0.0,0.0,201.29997634887695,0.001676861778832972,0.012171299196779728,0.0008407483110204339,0.004619751591235399,0.0008216212736442685,0.0038570414762943983
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,41,41,41,41,"30, 30",2,1173,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,5000,5000,2.9385225439505624e-06,1.9752553771468228e-06,1.9752553771468228e-06,1.6405648466388811e-06,0.0012808453640619079,0.0,0.0,291.49138951301575,0.003174517070874572,0.01541405264288187,0.0007030295673757792,0.002805814379826188,0.0005057938979007304,0.0031406893394887447
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,41,41,41,41,"50, 50",2,2953,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,4416,4316,3.874537988950679e-06,1.8312553015675804e-06,1.7780248890630901e-06,1.6139256331371143e-06,0.0012704037284017684,1.401298464324817e-45,3.743392130574644e-23,331.03084087371826,0.0028786605689674616,0.014719302766025066,0.0008258818998001516,0.005586451385170221,0.001595835667103529,0.008762843906879425
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,41,41,41,41,"30, 30, 30",3,2103,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,2545,2445,2.932103196952893e-06,3.281502531535807e-06,1.4442811539083778e-06,1.2649305745071615e-06,0.0011246913241006002,1.401298464324817e-45,3.743392130574644e-23,176.20625972747803,0.002262689871713519,0.010918641462922096,0.0012381193228065968,0.005176100414246321,0.001384291797876358,0.0049492428079247475
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,42,42,42,42,"30, 30",2,1173,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,4242,4142,2.992966488414418e-06,3.795706297751167e-06,1.9163286515322395e-06,1.8325399651075713e-06,0.0013537133984368964,1.401298464324817e-45,3.743392130574644e-23,270.5842914581299,0.0033117057755589485,0.01591537520289421,0.0007906047394499183,0.005141322501003742,0.0011513761710375547,0.0033814876805990934
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,42,42,42,42,"50, 50",2,2953,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,2264,2164,6.798800165294476e-06,6.910659958521137e-06,4.471025440579979e-06,4.052214080729755e-06,0.0020130111973682002,1.401298464324817e-45,3.743392130574644e-23,173.55373883247375,0.004923850763589144,0.024060163646936417,0.0017959681572392583,0.008748804219067097,0.0009480623411945999,0.004537640139460564
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,42,42,42,42,"30, 30, 30",3,2103,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,3376,3276,1.5104917156349985e-06,5.275259791233112e-06,9.893930678117614e-07,7.456185358023504e-07,0.0008634920589109956,0.0,0.0,255.6355242729187,0.0015825079753994942,0.01043207198381424,0.0012584178475663066,0.00482304859906435,0.0006547719240188599,0.0035612063948065042
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,43,43,43,43,"30, 30",2,1173,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,3292,3192,9.172818851463186e-06,1.0887676289712544e-05,6.539657260873355e-06,7.688769073865842e-06,0.0027728629742318394,2.802596928649634e-45,5.293955920339377e-23,197.73193860054016,0.006972023285925388,0.032957129180431366,0.0015292593743652105,0.005607197061181068,0.0017070069443434477,0.007090705446898937
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,43,43,43,43,"50, 50",2,2953,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,2212,2112,6.975058997543076e-06,5.534789634111803e-06,4.885989128524671e-06,4.850664026889717e-06,0.002202422308933897,1.401298464324817e-45,3.743392130574644e-23,192.54570364952087,0.005450824275612831,0.027051858603954315,0.0018735879566520452,0.008147524669766426,0.001487553003244102,0.007226040121167898
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,43,43,43,43,"30, 30, 30",3,2103,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,2538,2438,4.413548723378982e-06,3.0877335029799725e-06,2.524067012927844e-06,2.5724323222675594e-06,0.001603880395250082,2.802596928649634e-45,5.293955920339377e-23,180.76413750648499,0.003384960815310478,0.014962542802095413,0.0016242057317867875,0.0055967820808291435,0.0018146744696423411,0.006783961318433285
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,44,44,44,44,"30, 30",2,1173,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,2206,2106,7.832738248099405e-06,1.7242710382561198e-05,6.122444974607788e-06,6.020246019033948e-06,0.0024536189637011587,1.401298464324817e-45,3.743392130574644e-23,150.8067376613617,0.006175686605274677,0.02908482402563095,0.0018563255434855819,0.008328458294272423,0.0014827948762103915,0.005487578455358744
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,44,44,44,44,"50, 50",2,2953,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,4828,4728,2.9977342657932445e-06,1.0300553221895824e-05,1.9376609043320057e-06,1.940420133905718e-06,0.0013929896388364552,0.0,0.0,383.62396216392517,0.0035230510402470827,0.016504179686307907,0.0008206309867091477,0.005149499513208866,0.0006723813130520284,0.002962675876915455
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,44,44,44,44,"30, 30, 30",3,2103,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,4058,3958,2.1705973681997018e-06,2.34151491895318e-06,8.679168286107597e-07,7.022592285466089e-07,0.0008380090861957338,1.401298464324817e-45,3.743392130574644e-23,301.55730628967285,0.0015715408371761441,0.006444418802857399,0.0006531309336423874,0.0026164238806813955,0.001074672443792224,0.0045198118314146996
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,45,45,45,45,"30, 30",2,1173,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,3181,3081,5.803825615657843e-06,4.975543088221457e-06,4.727744490082841e-06,5.259459157969104e-06,0.0022933510760389706,1.401298464324817e-45,3.743392130574644e-23,203.30631756782532,0.005587888415902853,0.026166414842009544,0.00160804798360914,0.005760724190622568,0.0012391473865136504,0.005099515896290541
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,45,45,45,45,"50, 50",2,2953,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,4687,4587,1.604243145973467e-06,3.98429848246451e-06,1.062825369899656e-06,9.99405301627121e-07,0.000999702606592141,0.0,0.0,379.43569779396057,0.0023968766909092665,0.01461771223694086,0.0007890325505286455,0.007485110778361559,0.0008145636529661715,0.00394059345126152
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,45,45,45,45,"30, 30, 30",3,2103,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,2500,2400,2.413728553720931e-06,1.408847865604912e-06,1.1532851021911482e-06,9.63992874858377e-07,0.0009818313882018527,1.401298464324817e-45,3.743392130574644e-23,182.29525542259216,0.0019256548257544637,0.012226935476064682,0.0011008388828486204,0.003361478913575411,0.0011603506281971931,0.004388997331261635
O2_novib,3__O2(a)_O2(b)_NONE,2026-04-23_14-32-46,46,46,46,46,"30, 30",2,1173,4,3,2,11,2,"O2(a), O2(b)","O2(X), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)","O2(a), O2(b), NONE",3,tanh,0.0001,16,3021,2921,4.009522785458507e-06,3.3408813669666416e-06,2.332671738258796e-06,2.093274815706536e-06,0.0014468154048483642,1.401298464324817e-45,3.743392130574644e-23,180.44538497924805,0.003096980508416891,0.01533757895231247,0.0014051053440198302,0.005950258579105139,0.0012616972671821713,0.006761821452528238
