Time(s)              GasTemp(K)           [O2(X)](m^-3)        [O2(a)](m^-3)        [O(3P)](m^-3)       
0.00000000000000e+00 3.77000000000000e+02 1.21491657383368e+23 0.00000000000000e+00 0.00000000000000e+00 
7.19587975524214e-17 3.77000000000000e+02 1.21491657383367e+23 2.03403501398583e+08 3.90222332484033e+08 
1.43917595104843e-16 3.77000000000000e+02 1.21491657383367e+23 4.06807002797164e+08 7.80444664968056e+08 
2.15876392657264e-16 3.77000000000000e+02 1.21491657383367e+23 6.10210504195743e+08 1.17066699745207e+09 
9.35464368181478e-16 3.77000000000000e+02 1.21491657383363e+23 2.64424551818134e+09 5.07289032229135e+09 
1.65505234370569e-15 3.77000000000000e+02 1.21491657383359e+23 4.67828053216672e+09 8.97511364712965e+09 
2.37464031922991e-15 3.77000000000000e+02 1.21491657383355e+23 6.71231554615187e+09 1.28773369719670e+10 
9.57052007447204e-15 3.77000000000000e+02 1.21491657383315e+23 2.70526656859843e+10 5.18995702202547e+10 
1.67663998297142e-14 3.77000000000000e+02 1.21491657383275e+23 4.73930158257950e+10 9.09218034684452e+10 
2.39622795849563e-14 3.77000000000000e+02 1.21491657383235e+23 6.77333659655834e+10 1.29944036716537e+11 
9.59210771373777e-14 3.77000000000000e+02 1.21491657382837e+23 2.71136867361554e+11 5.20166369188910e+11 
1.67879874689799e-13 3.77000000000000e+02 1.21491657382438e+23 4.74540368755346e+11 9.10388701651562e+11 
2.39838672242220e-13 3.77000000000000e+02 1.21491657382040e+23 6.77943870146920e+11 1.30061103410431e+12 
9.59426647766434e-13 3.77000000000000e+02 1.21491657378054e+23 2.71197888387125e+12 5.20283435777762e+12 
1.67901462329065e-12 3.77000000000000e+02 1.21491657374069e+23 4.74601389737778e+12 9.10505768047887e+12 
2.39860259881486e-12 3.77000000000000e+02 1.21491657370084e+23 6.78004891066236e+12 1.30072810021897e+13 
9.59448235405700e-12 3.77000000000000e+02 1.21491657330233e+23 2.71203990243685e+13 5.20295141338806e+13 
1.67903621092991e-11 3.77000000000000e+02 1.21491657290381e+23 4.74607491162935e+13 9.10517471683657e+13 
2.39862418645413e-11 3.77000000000000e+02 1.21491657250530e+23 6.78010991860248e+13 1.30073980103805e+14 
9.59450394169627e-11 3.77000000000000e+02 1.21491656852015e+23 2.71204597969369e+14 5.20296300916498e+14 
1.67903836969384e-10 3.77000000000000e+02 1.21491656453500e+23 4.74608094574589e+14 9.10518612008611e+14 
2.39862634521805e-10 3.77000000000000e+02 1.21491656054986e+23 6.78011588960444e+14 1.30074091319610e+15 
9.59450610046019e-10 3.77000000000000e+02 1.21491652069840e+23 2.71204634142211e+15 5.20296307090159e+15 
1.67903858557023e-09 3.77000000000000e+02 1.21491648084695e+23 4.74608087607109e+15 9.10518425654919e+15 
2.39862656109445e-09 3.77000000000000e+02 1.21491644099550e+23 6.78011518878330e+15 1.30074044517347e+16 
9.59450631633659e-09 3.77000000000000e+02 1.21491604248168e+23 2.71204391761478e+16 5.20295209868078e+16 
1.67903860715787e-08 3.77000000000000e+02 1.21491564396856e+23 4.74607413820575e+16 9.10515403161970e+16 
2.39862658268209e-08 3.77000000000000e+02 1.21491524545616e+23 6.78010213940066e+16 1.30073460599748e+17 
9.59450633792422e-08 3.77000000000000e+02 1.21491126039399e+23 2.71201907467997e+17 5.20284121914493e+17 
1.67903860931664e-07 3.77000000000000e+02 1.21490727540221e+23 4.74600615210649e+17 9.10485062766548e+17 
2.39862658484085e-07 3.77000000000000e+02 1.21490329048215e+23 6.77997103273285e+17 1.30067609940917e+18 
9.59450634008299e-07 3.77000000000000e+02 1.21486344746623e+23 2.71177050964990e+18 5.20173247118361e+18 
1.67903860953251e-06 3.77000000000000e+02 1.21482361149019e+23 4.74532589714969e+18 9.10181690243809e+18 
2.39862658505673e-06 3.77000000000000e+02 1.21478378268691e+23 6.77865903304017e+18 1.30009112873610e+19 
9.59450634029887e-06 3.77000000000000e+02 1.21438587725088e+23 2.71000995135188e+19 5.19391175332067e+19 
1.67903860955410e-05 3.77000000000000e+02 1.21398868511696e+23 4.73993216456792e+19 9.07791000520647e+19 
2.39862658507831e-05 3.77000000000000e+02 1.21359221172702e+23 6.76760576603319e+19 1.29520306011795e+20 
3.11821456060253e-05 3.77000000000000e+02 1.21319645929442e+23 8.79301353843113e+19 1.68162637083806e+20 
1.03140943158447e-04 3.77000000000000e+02 1.20927876506770e+23 2.89182744170028e+20 5.49196264855821e+20 
1.75099740710868e-04 3.77000000000000e+02 1.20543362535325e+23 4.88042091682625e+20 9.20505512720910e+20 
2.47058538263289e-04 3.77000000000000e+02 1.20166129406451e+23 6.84411571988347e+20 1.28223280985783e+21 
3.19017335815711e-04 3.77000000000000e+02 1.19796192737938e+23 8.78198749331000e+20 1.63453179219810e+21 
6.37354526662854e-04 3.77000000000000e+02 1.18246801064623e+23 1.70279444646704e+21 3.08412374455585e+21 
9.55691717509998e-04 3.77000000000000e+02 1.16837884669449e+23 2.47038870987070e+21 4.36676800809718e+21 
1.27402890835714e-03 3.77000000000000e+02 1.15564734990203e+23 3.17826260899691e+21 5.49731956833705e+21 
1.59236609920428e-03 3.77000000000000e+02 1.14420310368181e+23 3.82603211504921e+21 6.49062980027668e+21 
1.91070329005143e-03 3.77000000000000e+02 1.13396078525060e+23 4.41504975074979e+21 7.36105821511836e+21 
2.50765435416689e-03 3.77000000000000e+02 1.11766378115042e+23 5.37140856291002e+21 8.70774141083438e+21 
3.10460541828235e-03 3.77000000000000e+02 1.10464665974001e+23 6.15270610930092e+21 9.74857060013373e+21 
3.70155648239781e-03 3.77000000000000e+02 1.09432350170022e+23 6.78426063424209e+21 1.05500931582093e+22 
4.29850754651327e-03 3.77000000000000e+02 1.08617376256206e+23 7.29146280627052e+21 1.11656366417851e+22 
4.89545861062873e-03 3.77000000000000e+02 1.07975805095561e+23 7.69719582431579e+21 1.16373129269847e+22 
5.79047743989135e-03 3.77000000000000e+02 1.07263664960269e+23 8.15633984150819e+21 1.21433051631867e+22 
6.68549626915398e-03 3.77000000000000e+02 1.06767137304173e+23 8.48323662695096e+21 1.24825669044963e+22 
7.58051509841660e-03 3.77000000000000e+02 1.06419747519320e+23 8.71640800118824e+21 1.27110037257318e+22 
8.47553392767923e-03 3.77000000000000e+02 1.06176705694162e+23 8.88278862419878e+21 1.28643261300297e+22 
9.37055275694185e-03 3.77000000000000e+02 1.06006847642383e+23 9.00153332115711e+21 1.29665528396742e+22 
1.07349727553282e-02 3.77000000000000e+02 1.05841237913802e+23 9.12044906947654e+21 1.30599408002004e+22 
1.20993927537146e-02 3.77000000000000e+02 1.05741122342908e+23 9.19420095773625e+21 1.31126681654767e+22 
1.34638127521010e-02 3.77000000000000e+02 1.05678994748540e+23 9.24091320955053e+21 1.31434988505925e+22 
1.48282327504874e-02 3.77000000000000e+02 1.05641793662928e+23 9.26973342768134e+21 1.31602605855622e+22 
1.61926527488738e-02 3.77000000000000e+02 1.05620879496679e+23 9.28675470221731e+21 1.31680463689920e+22 
1.88687159995724e-02 3.77000000000000e+02 1.05602342838313e+23 9.30295394019524e+21 1.31727212097732e+22 
2.15447792502710e-02 3.77000000000000e+02 1.05593548442868e+23 9.31057831260392e+21 1.31750612558527e+22 
2.42208425009696e-02 3.77000000000000e+02 1.05591536287610e+23 9.31267599512278e+21 1.31748902013297e+22 
2.68969057516681e-02 3.77000000000000e+02 1.05591521411537e+23 9.31309727885134e+21 1.31740773860107e+22 
2.95729690023667e-02 3.77000000000000e+02 1.05590279996610e+23 9.31417723893638e+21 1.31744002956916e+22 
3.58313731937499e-02 3.77000000000000e+02 1.05588981199028e+23 9.31498342452143e+21 1.31753855196787e+22 
4.20897773851331e-02 3.77000000000000e+02 1.05587595454422e+23 9.31579784020124e+21 1.31765281775325e+22 
