scheme,experiment_name,num_species_kept,hidden_size,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,test_rmse_mean,test_rmse_std,test_rmse_min,test_rmse_max,test_mse_unscaled_mean,test_mse_unscaled_std,test_mse_unscaled_min,test_mse_unscaled_max,test_rmse_unscaled_mean,test_rmse_unscaled_std,test_rmse_unscaled_min,test_rmse_unscaled_max,training_time_s_mean,training_time_s_std,training_time_s_min,training_time_s_max,epochs_ran_mean,epochs_ran_std,epochs_ran_min,epochs_ran_max,best_val_loss_mean,best_val_loss_std,best_val_loss_min,best_val_loss_max,mean_rel_error_k1_mean,mean_rel_error_k1_std,mean_rel_error_k1_min,mean_rel_error_k1_max,max_rel_error_k1_mean,max_rel_error_k1_std,max_rel_error_k1_min,max_rel_error_k1_max,mean_rel_error_k2_mean,mean_rel_error_k2_std,mean_rel_error_k2_min,mean_rel_error_k2_max,max_rel_error_k2_mean,max_rel_error_k2_std,max_rel_error_k2_min,max_rel_error_k2_max,mean_rel_error_k3_mean,mean_rel_error_k3_std,mean_rel_error_k3_min,mean_rel_error_k3_max,max_rel_error_k3_mean,max_rel_error_k3_std,max_rel_error_k3_min,max_rel_error_k3_max
O2_novib,3__O2(a)_O2(b)_O(3P),3,"30, 30",3.9049462486673295e-06,1.8783892715457791e-06,1.4522174751618877e-06,7.824842214176897e-06,0.001919201351255509,0.00048298678417830706,0.0012050798625659162,0.0027972919429649985,1.541428310757299e-45,7.742261616910658e-46,0.0,2.802596928649634e-45,3.679165675470126e-23,1.406010795801721e-23,0.0,5.293955920339377e-23,243.94428256750106,79.12320104952246,117.89536929130554,362.75385570526123,3819.05,1110.140080065764,2284,5000,3.6570070328707515e-06,1.5466100281941295e-06,1.4269361008700798e-06,6.49109308142215e-06,0.004627217014785856,0.0013162380503228695,0.0027544861659407616,0.007229049224406481,0.023565706657245757,0.007305970561295512,0.01294475793838501,0.041583068668842316,0.001571261719800532,0.000404152898241949,0.0006670070579275489,0.0022775065153837204,0.006856808951124549,0.0016222642875421886,0.00394846498966217,0.00981818325817585,0.0011489934666315093,0.0002731751668104364,0.0007052490254864097,0.0016625303542241454,0.004564884293358773,0.0015915393568166564,0.002486292039975524,0.00880742259323597
O2_novib,3__O2(a)_O2(b)_O(3P),3,"30, 30, 30",1.4459724184234802e-06,1.0691921540833764e-06,5.533681246561173e-07,5.174113084649434e-06,0.0011515571608314945,0.0003552442062362286,0.0007438871719932515,0.0022746676866411573,1.7516230804060213e-45,1.3544189588084173e-45,0.0,5.605193857299268e-45,3.6470524479178675e-23,2.1064410609757736e-23,0.0,7.486784261149288e-23,206.15615365505218,77.58918615644254,70.47073745727539,361.73838663101196,2751.7,720.0478858345024,1301,4019,1.4194502933833063e-06,9.95006391493947e-07,6.056851998437196e-07,4.96501435918617e-06,0.0022992277808953077,0.0008889369317418611,0.0014045475982129574,0.005043643526732922,0.01243072128854692,0.0049070073404770985,0.007274978328496218,0.0255835372954607,0.0010956650192383676,0.0002682468657512157,0.0006279538501985371,0.0018624385120347142,0.0054330409155227246,0.0015912861475936965,0.0028329745400696993,0.008455301634967327,0.001153901292127557,0.0004349862296357298,0.000579772749915719,0.002047479385510087,0.004560935456538573,0.0019564143650999677,0.0018463872838765383,0.008461899124085903
O2_novib,3__O2(a)_O2(b)_O(3P),3,"50, 50",2.8389514312721076e-06,1.8524608895693306e-06,6.864138981654833e-07,7.1446088441007305e-06,0.001601145789361435,0.0005383049345983186,0.0008285009946677694,0.002672940112329629,1.1911036946760945e-45,8.227625122297008e-46,0.0,2.802596928649634e-45,2.9626004769074565e-23,1.8163107086934155e-23,0.0,5.293955920339377e-23,266.15776760578154,113.80282620993697,101.06103134155273,496.3968698978424,3317.65,1196.6416284093184,1583,5000,2.6372900807132286e-06,1.7100036395877813e-06,7.091050611052197e-07,6.4312700305890755e-06,0.003827332239598036,0.001463943261044164,0.001700510736554861,0.006828446872532368,0.01935046031139791,0.007876002906625202,0.009781716391444206,0.034528203308582306,0.0011360150150721894,0.00043706846221396565,0.0005190956871956587,0.0018749004229903221,0.005397923511918634,0.002056240419853094,0.002616302575916052,0.011506789363920689,0.0010238904593279584,0.0003003363853965168,0.0004916720790788531,0.0016410871176049113,0.00378217346733436,0.001322638711070094,0.0018136680591851473,0.006440324708819389
