Time(s)              GasTemp(K)           [O2(X)](m^-3)        [O2(a)](m^-3)        [O(3P)](m^-3)       
0.00000000000000e+00 3.77000000000000e+02 2.45802445021306e+22 0.00000000000000e+00 0.00000000000000e+00 
2.73288587436997e-16 3.77000000000000e+02 2.45802445021305e+22 1.85508069952740e+07 2.32983600264783e+08 
5.46577174873994e-16 3.77000000000000e+02 2.45802445021303e+22 3.71016139905470e+07 4.65967200529539e+08 
8.19865762310990e-16 3.77000000000000e+02 2.45802445021302e+22 5.56524209858190e+07 6.98950800794268e+08 
3.55275163668096e-15 3.77000000000000e+02 2.45802445021288e+22 2.41160490938453e+08 3.02878680343924e+09 
6.28563751105093e-15 3.77000000000000e+02 2.45802445021275e+22 4.26668560890989e+08 5.35862280608157e+09 
9.01852338542089e-15 3.77000000000000e+02 2.45802445021261e+22 6.12176630843424e+08 7.68845880872121e+09 
3.63473821291206e-14 3.77000000000000e+02 2.45802445021126e+22 2.46725733035915e+09 3.09868188348854e+10 
6.36762408728203e-14 3.77000000000000e+02 2.45802445020991e+22 4.32233802986506e+09 5.42851788607855e+10 
9.10050996165199e-14 3.77000000000000e+02 2.45802445020856e+22 6.17741872936097e+09 7.75835388864164e+10 
3.64293687053517e-13 3.77000000000000e+02 2.45802445019506e+22 2.47282257234572e+10 3.10567139119511e+11 
6.37582274490514e-13 3.77000000000000e+02 2.45802445018155e+22 4.32790327165717e+10 5.43550739326189e+11 
9.10870861927510e-13 3.77000000000000e+02 2.45802445016805e+22 6.18298397086856e+10 7.76534339505948e+11 
3.64375673629748e-12 3.77000000000000e+02 2.45802445003301e+22 2.47337909543547e+11 3.10637033898217e+12 
6.37664261066745e-12 3.77000000000000e+02 2.45802444989796e+22 4.32845979280223e+11 5.43620633581662e+12 
9.10952848503742e-12 3.77000000000000e+02 2.45802444976292e+22 6.18354048916854e+11 7.76604232995929e+12 
3.64383872287371e-11 3.77000000000000e+02 2.45802444841249e+22 2.47343473665536e+12 3.10644020392482e+13 
6.37672459724368e-11 3.77000000000000e+02 2.45802444706207e+22 4.32851541457529e+12 5.43627614843609e+13 
9.10961047161365e-11 3.77000000000000e+02 2.45802444571164e+22 6.18359608249075e+12 7.76611206602954e+13 
3.64384692153133e-10 3.77000000000000e+02 2.45802443220738e+22 2.47344018988648e+13 3.10644689205866e+14 
6.37673279590130e-10 3.77000000000000e+02 2.45802441870313e+22 4.32852067333815e+13 5.43628231333809e+14 
9.10961867027127e-10 3.77000000000000e+02 2.45802440519887e+22 6.18360105674509e+13 7.76611746543949e+14 
3.64384774139710e-09 3.77000000000000e+02 2.45802427015643e+22 2.47343962630138e+14 3.10644457727075e+15 
