Architecture report: 30, 30, 30

Definitions:
  MSE ratio = MSE_current / MSE_baseline
  Relative deterioration (%) = 100 * (MSE_current - MSE_baseline) / MSE_baseline
  Baseline = experiment folder starting with '11__' (11 kept species)
  Error bars are shown only when a standard deviation is available.

Baseline experiment: 11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc)
Baseline number of species: 11
Baseline test MSE: 1.955561e-06 ± 1.434450e-06

Species:  2 | Experiment: 2__O2(X)_O2(a) | Source: seed_aggregate | Test MSE: 1.525142e-02 ± 3.914907e-04 | MSE ratio: 7799.0015 ± 5724.2549 | Relative deterioration: +779800.15% ± 572425.49%
Species:  3 | Experiment: 3__O2(X)_O2(a)_O(3P) | Source: seed_aggregate | Test MSE: 1.467501e-02 ± 2.906518e-03 | MSE ratio: 7504.2485 ± 5701.6710 | Relative deterioration: +750324.85% ± 570167.10%
Species:  4 | Experiment: 4__O2(X)_O2(a)_O2(b)_O2(Hz) | Source: seed_aggregate | Test MSE: 1.058548e-06 ± 5.483076e-07 | MSE ratio: 0.5413 ± 0.4861 | Relative deterioration: -45.87% ± 48.61%
Species:  5 | Experiment: 5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X) | Source: seed_aggregate | Test MSE: 1.552038e-06 ± 8.056196e-07 | MSE ratio: 0.7937 ± 0.7132 | Relative deterioration: -20.63% ± 71.32%
Species:  6 | Experiment: 6__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P) | Source: seed_aggregate | Test MSE: 2.437457e-06 ± 1.958430e-06 | MSE ratio: 1.2464 ± 1.3560 | Relative deterioration: +24.64% ± 135.60%
Species:  7 | Experiment: 7__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D) | Source: seed_aggregate | Test MSE: 1.740907e-06 ± 6.802172e-07 | MSE ratio: 0.8902 ± 0.7399 | Relative deterioration: -10.98% ± 73.99%
Species:  8 | Experiment: 8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd) | Source: seed_aggregate | Test MSE: 2.101818e-06 ± 2.338957e-06 | MSE ratio: 1.0748 ± 1.4325 | Relative deterioration: +7.48% ± 143.25%
Species:  9 | Experiment: 9__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd) | Source: seed_aggregate | Test MSE: 2.348167e-06 ± 1.556398e-06 | MSE ratio: 1.2008 ± 1.1871 | Relative deterioration: +20.08% ± 118.71%
Species: 10 | Experiment: 10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X) | Source: seed_aggregate | Test MSE: 3.068328e-06 ± 2.451580e-06 | MSE ratio: 1.5690 ± 1.7018 | Relative deterioration: +56.90% ± 170.18%
Species: 11 | Experiment: 11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc) | Source: seed_aggregate | Test MSE: 1.955561e-06 ± 1.434450e-06 | MSE ratio: 1.0000 ± 0.0000 | Relative deterioration: +0.00% ± 0.00%
