epoch,train_loss,val_loss,train_loss_smooth,val_loss_smooth
1,0.33744753274652695,0.1833551049232483,0.19913845714131995,0.11743479536175727
2,0.10461596325039864,0.05545233905315399,0.18727015987369755,0.11174061127305031
3,0.04824257466528151,0.04726041480898857,0.17536333676245483,0.1060016221821308
4,0.04560555688209004,0.04715592280030251,0.16341331404248874,0.10020678876042365
5,0.04532260353366534,0.046702123135328295,0.15141850883430907,0.09435225947499275
6,0.045052282247278426,0.04628955960273742,0.139367216936085,0.08843925074934961
7,0.04465848591592577,0.04587642028927803,0.12725600417852403,0.08245358107089996
8,0.04429758581850264,0.04544609367847443,0.11508085129062336,0.07639873844385148
9,0.043852098286151886,0.04501335695385933,0.10284178129964405,0.07027206778526307
10,0.04339513439271185,0.04441741943359375,0.0905416553735733,0.06408136126995087
11,0.0428440204097165,0.04365087226033211,0.07818941994640562,0.05783019622564316
12,0.042249140193065006,0.043025562316179274,0.0657847065008349,0.05153891042768955
13,0.041508057233360075,0.04196343570947647,0.05333771302567588,0.04520125455558299
14,0.04074010105596648,0.04100050270557404,0.04084997011389997,0.03882469419240951
15,0.03977695496545897,0.03988037765026092,0.03763896335032251,0.03753268958032131
16,0.03869696474737591,0.03848426938056946,0.03664515781104565,0.03653614292740822
17,0.03757740254203479,0.03699187278747559,0.035721001585986886,0.03550627859532833
18,0.036165235290924705,0.03552988678216934,0.03477080058455467,0.034467914974689484
19,0.03466721380750338,0.033713362962007526,0.033795644480321144,0.03341045301258564
20,0.03306871054901017,0.03198403924703598,0.03280259393999974,0.03234052564203739
21,0.03147078297204441,0.030188338458538057,0.03179229270153576,0.03125967184007169
22,0.02994438459475835,0.02858744204044342,0.030772262614965438,0.03017487859129906
23,0.028641647067334918,0.02707597881555557,0.02974818380806181,0.02909618470966816
24,0.027329696607258584,0.02607295997440815,0.028728273163735864,0.02803092596828938
25,0.0262726958675517,0.024913708120584487,0.02771682539482911,0.02697976734638215
26,0.025253959952129257,0.023941095843911173,0.026724539388881786,0.025968222576379783
27,0.024340794160962104,0.023152223750948907,0.025756692513823506,0.024986195886135106
28,0.023397436183359887,0.022346748486161232,0.02482297777732213,0.024044831886887556
29,0.022501651255620852,0.02140931449830532,0.023927372933924197,0.023157555240392688
30,0.021567578497860167,0.02074303261935711,0.023074615810149246,0.02232991071343422
31,0.02067337964144018,0.019853010550141336,0.022275159278180863,0.021559818622469907
32,0.01983222240789069,0.019128236025571822,0.021533093942867385,0.0208628369987011
33,0.01904005485690302,0.018424748629331588,0.02085363497436047,0.020227068451046947
34,0.01835134612189399,0.0178935257345438,0.02023405017041498,0.019677765440940857
35,0.01779316422012117,0.01745007239282131,0.01967929038984908,0.01917476455569267
36,0.017346254301567873,0.017019403725862504,0.019171393612027163,0.01873537470400333
37,0.0169629459703962,0.01674659676849842,0.018713749845491515,0.018329424530267712
38,0.016700907084676954,0.016674816459417343,0.018293329391049017,0.01796765408217907
39,0.01654392917950948,0.01644983544945717,0.017912823830544947,0.017644428983330726
40,0.01643408655292458,0.01634627766907215,0.017567859452466167,0.017347234570980075
41,0.01630684366242753,0.016302353218197823,0.01725714392281241,0.017079739233851435
42,0.016258474447660976,0.016300759613513946,0.016981550786892573,0.016845563194155692
43,0.016178821991715168,0.01627758450806141,0.01673686224752002,0.01664731566905975
44,0.016115580424666404,0.01628882236778736,0.01652812726729446,0.01647207680940628
45,0.016082236336337194,0.016089825555682183,0.01634632631457514,0.01633139823675156
46,0.015981162873407204,0.016455763205885886,0.016194887088901464,0.016205544093251232
47,0.016075390080610912,0.016012419909238816,0.016067569233642682,0.01609802755713463
48,0.015944227621787124,0.016091232523322105,0.015957028239717085,0.016004452434182165
49,0.01588860244386726,0.015924205631017686,0.01585991144205133,0.01592251201272011
50,0.015762184506489172,0.01586944691836834,0.015774021292643416,0.01584611268043518
51,0.01574132093952762,0.015860468372702597,0.015693403513481217,0.01576809792816639
52,0.01571668470899264,0.01572236344218254,0.01561284947635399,0.01570185754597187
53,0.015629547942015858,0.01565936505794525,0.015532867490996919,0.015626995870471002
54,0.015611822857624955,0.015554913505911826,0.01545125235244632,0.015548958986997603
55,0.015450365013546415,0.015786844491958617,0.015365313757376542,0.015461758613586426
56,0.015455005135801104,0.015472039058804512,0.015277776068200669,0.0153809185475111
57,0.015287198589907753,0.01561127170920372,0.015184803386943209,0.015278214505314825
58,0.015254074215061135,0.015278395041823387,0.015081802178339827,0.01519943116605282
59,0.01516839974042442,0.0152056123316288,0.01498064096611407,0.01508201602846384
60,0.015029639371981223,0.015110694319009781,0.014863850954754483,0.014964403624832631
61,0.014918334359923999,0.014970893189311028,0.014739261328925687,0.01483435018211603
62,0.014815692235198286,0.014836613461375237,0.014612350181159042,0.01470509955883026
63,0.01468546260562208,0.014724447652697563,0.014478611909266971,0.014567152386903762
64,0.014530078251328734,0.014793825894594192,0.014331738827046421,0.014412958034873007
65,0.014434536918997765,0.014474735781550407,0.01417677954013149,0.014255402143299577
66,0.014266465198662545,0.014351431131362915,0.014011592405786116,0.014087655708193777
67,0.014110009570916494,0.014120750278234482,0.0138323686512808,0.013908881931006905
68,0.0139903797623184,0.014256582856178283,0.01364822410866618,0.013712553347647188
69,0.013791263393229908,0.013721221312880515,0.013451162087006701,0.01350858267843723
70,0.013507206121252642,0.014120242074131966,0.013242322362379896,0.013287734293937682
71,0.013452132567763328,0.013520384766161441,0.01301835009712312,0.013057574875652787
