scheme,experiment_name,seed,split_seed,shuffle_seed,weight_seed,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,training_time_s,cached_training_time_s,reused_saved_weights,saved_weights_path,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3,display_species_for_folder,folder_species_slots
O2_novib,3__O2(a)_O2(b)_O(1D),42,42,42,42,"50, 50",2,3053,6,3,2,11,3,"O2(a), O2(b), O(1D)","O2(X), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,5000,4960,4.247756637091192e-06,3.5630524234875337e-06,2.050444800261175e-06,279.0948796272278,279.0948796272278,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O(1D)\seed_0042\50, 50\model.pth",2.01855982595589e-06,0.0014207602985570403,1.401298464324817e-45,3.743392130574644e-23,0.0034291862975806,0.014115630649030209,0.0007533442694693804,0.005489783361554146,0.0008615169208496809,0.0031152134761214256,"O2(a), O2(b), O(1D)",3
O2_novib,3__O2(a)_O2(b)_O(1D),42,42,42,42,"30, 30, 30",3,2163,6,3,2,11,3,"O2(a), O2(b), O(1D)","O2(X), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2459,2359,3.5929586311390774e-06,7.027813426248031e-06,1.8989890395459952e-06,126.2422366142273,126.2422366142273,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O(1D)\seed_0042\30, 30, 30\model.pth",1.8495248923500185e-06,0.0013599723866130585,1.401298464324817e-45,3.743392130574644e-23,0.0029206203762441874,0.013628199696540833,0.0011656101560220122,0.0038771789986640215,0.0011102905264124274,0.003866769839078188,"O2(a), O2(b), O(1D)",3
O2_novib,3__O2(a)_O2(b)_O(1D),43,43,43,43,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O(1D)","O2(X), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,1938,1838,8.369995458552795e-06,1.419451626134105e-05,6.107927583798301e-06,85.01526546478271,85.01526546478271,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O(1D)\seed_0043\30, 30\model.pth",6.447828582167858e-06,0.0025392574863861007,1.401298464324817e-45,3.743392130574644e-23,0.006194872781634331,0.02719830349087715,0.001930016907863319,0.007174908649176359,0.0010330644436180592,0.003387394594028592,"O2(a), O2(b), O(1D)",3
O2_novib,3__O2(a)_O2(b)_O(1D),43,43,43,43,"50, 50",2,3053,6,3,2,11,3,"O2(a), O2(b), O(1D)","O2(X), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,1651,1551,8.99782455437364e-06,7.12474660758744e-06,6.366616835293826e-06,92.49009919166565,92.49009919166565,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O(1D)\seed_0043\50, 50\model.pth",7.135417035897262e-06,0.002671220139916825,2.802596928649634e-45,5.293955920339377e-23,0.006841806694865227,0.03685735911130905,0.001468950998969376,0.00824926421046257,0.0014144161250442266,0.005385615862905979,"O2(a), O2(b), O(1D)",3
O2_novib,3__O2(a)_O2(b)_O(1D),43,43,43,43,"30, 30, 30",3,2163,6,3,2,11,3,"O2(a), O2(b), O(1D)","O2(X), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2446,2346,7.48260583552312e-06,1.0142823266505729e-05,2.6132700259040574e-06,125.29429030418396,125.29429030418396,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O(1D)\seed_0043\30, 30, 30\model.pth",2.5718279630382312e-06,0.0016036919788532432,2.802596928649634e-45,5.293955920339377e-23,0.003144684247672558,0.015477568842470646,0.0015058198478072882,0.004747253842651844,0.001784849213436246,0.006634744815528393,"O2(a), O2(b), O(1D)",3
O2_novib,3__O2(a)_O2(b)_O(1D),44,44,44,44,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O(1D)","O2(X), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2396,2296,1.0522738640348608e-05,1.709555017441744e-05,5.709444640160654e-06,104.70052337646484,104.70052337646484,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O(1D)\seed_0044\30, 30\model.pth",6.007728643453447e-06,0.0024510668378184726,2.802596928649634e-45,5.293955920339377e-23,0.005677427165210247,0.030907895416021347,0.0018528762739151716,0.006465931888669729,0.001449322677217424,0.0059945061802864075,"O2(a), O2(b), O(1D)",3
O2_novib,3__O2(a)_O2(b)_O(1D),44,44,44,44,"50, 50",2,3053,6,3,2,11,3,"O2(a), O2(b), O(1D)","O2(X), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2117,2017,8.596661250016445e-06,6.7474170100467745e-06,5.715480629078229e-06,118.75568389892578,118.75568389892578,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O(1D)\seed_0044\50, 50\model.pth",5.821346348966472e-06,0.002412746640028014,1.401298464324817e-45,3.743392130574644e-23,0.005934212822467089,0.03231089934706688,0.0018272888846695423,0.0070244502276182175,0.0007664217264391482,0.0038882216904312372,"O2(a), O2(b), O(1D)",3
O2_novib,3__O2(a)_O2(b)_O(1D),44,44,44,44,"30, 30, 30",3,2163,6,3,2,11,3,"O2(a), O2(b), O(1D)","O2(X), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3045,2945,2.721450866071488e-06,1.8406992512609577e-06,1.667580359026033e-06,155.82789206504822,155.82789206504822,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O(1D)\seed_0044\30, 30, 30\model.pth",1.999358119064709e-06,0.0014139866049806516,2.802596928649634e-45,5.293955920339377e-23,0.002169943880289793,0.017731932923197746,0.0014631998492404819,0.008216368965804577,0.001338609610684216,0.007304958533495665,"O2(a), O2(b), O(1D)",3
O2_novib,3__O2(a)_O2(b)_O(1D),45,45,45,45,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O(1D)","O2(X), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2503,2403,9.029209211601281e-06,1.5036183212941978e-05,6.319487074506469e-06,109.48627424240112,109.48627424240112,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O(1D)\seed_0045\30, 30\model.pth",7.389881375274854e-06,0.002718433625320812,2.802596928649634e-45,5.293955920339377e-23,0.0067248218692839146,0.032810647040605545,0.001969131175428629,0.007553701754659414,0.0015729970764368773,0.006654370576143265,"O2(a), O2(b), O(1D)",3
O2_novib,3__O2(a)_O2(b)_O(1D),45,45,45,45,"50, 50",2,3053,6,3,2,11,3,"O2(a), O2(b), O(1D)","O2(X), O2(Hz), O2+(X), O(3P), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2351,2251,4.117741205441739e-06,3.6275359616411153e-06,2.48302353611507e-06,131.31676626205444,131.31676626205444,False,"saved_weights\O2_novib\3__O2(a)__O2(b)__O(1D)\seed_0045\50, 50\model.pth",2.8978747650398873e-06,0.0017023145317595944,1.401298464324817e-45,3.743392130574644e-23,0.003917228896170855,0.01911752112209797,0.0012676417827606201,0.00555641483515501,0.0009029719512909651,0.002926766872406006,"O2(a), O2(b), O(1D)",3
