scheme,experiment_name,species_config_name,kept_species,num_species_kept,input_size,output_size,hidden_size,noise_std,noise_percent,noise_label,test_mse_scaled_mean,test_mse_scaled_std,test_mse_scaled_min,test_mse_scaled_max,test_rmse_scaled_mean,test_rmse_scaled_std,test_rmse_scaled_min,test_rmse_scaled_max,k1_mse_scaled_mean,k1_mse_scaled_std,k1_mse_scaled_min,k1_mse_scaled_max,k1_rmse_scaled_mean,k1_rmse_scaled_std,k1_rmse_scaled_min,k1_rmse_scaled_max,k2_mse_scaled_mean,k2_mse_scaled_std,k2_mse_scaled_min,k2_mse_scaled_max,k2_rmse_scaled_mean,k2_rmse_scaled_std,k2_rmse_scaled_min,k2_rmse_scaled_max,k3_mse_scaled_mean,k3_mse_scaled_std,k3_mse_scaled_min,k3_mse_scaled_max,k3_rmse_scaled_mean,k3_rmse_scaled_std,k3_rmse_scaled_min,k3_rmse_scaled_max,num_seeds,num_noise_repeats,num_evaluations,fraction_reused_saved_weights,num_reused_saved_weights
O2_novib,InverseProblem_GaussianNoiseRobustness,11__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd)__O3(X)__O3(exc),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",11,22,3,"30, 30",0.0,0.0,0%,3.1735775669807787e-06,2.4471626501349483e-06,5.128139475433594e-07,9.269255171050853e-06,0.0016648153239844441,0.0006348030728980063,0.0007161102900694553,0.003044545150108773,7.945064468033892e-06,6.5614466716803885e-06,1.1636750187626888e-06,2.4486096092370957e-05,0.0026026811413779223,0.0010835360956266851,0.0010787376969229772,0.004948342762215544,8.272562769562341e-07,8.256583846175408e-07,1.3728506455201738e-07,2.9620970648380763e-06,0.000818111398904267,0.0003979269790310018,0.00037051999210841157,0.001721074392592626,7.484119559522106e-07,3.405045816489309e-07,1.96608980527202e-07,1.4792385733386482e-06,0.0008403484960187551,0.00020574788375680298,0.00044340611241524625,0.0012162395213684877,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,11__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd)__O3(X)__O3(exc),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",11,22,3,"30, 30",0.005,0.5,0.5%,0.0005841523252264915,9.008618378206168e-05,0.0003818047363569669,0.0010147137976388473,0.024100001436746652,0.0018304733149359079,0.01953982436863154,0.03185457263312204,0.001534753571415053,0.0002511629856122996,0.0009493308573557213,0.0027498180689156815,0.039049450296756834,0.0031494126334938887,0.030811213175656056,0.05243870773498982,0.00010495042270831208,3.338265748985878e-05,4.5646030670267734e-05,0.00020625847621571935,0.01012102312726023,0.001587960204098375,0.006756184623755314,0.014361701717265937,0.00011275298155610925,2.1987639590280814e-05,7.182359796876093e-05,0.00022409035856701286,0.01057130353403525,0.0010015142156822503,0.00847488041029258,0.014969647910589376,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,11__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd)__O3(X)__O3(exc),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",11,22,3,"30, 30",0.01,1.0,1%,0.0022966705941376148,0.0003614672617086171,0.0013688084097160736,0.0033255895511733143,0.04777386272998473,0.003790058753843244,0.0369974108515187,0.05766792480377037,0.006029574978430785,0.0010091431599756225,0.0032728875647149392,0.009042765448535234,0.07737610627301372,0.0065283769592737765,0.05720915630137312,0.09509345639177931,0.00041419382335423395,0.00013419419204686463,0.00020550329687892165,0.0008732487327906213,0.02009988513640731,0.0031959311314480356,0.014335386178227695,0.02955078227036674,0.0004462429806278252,8.445436528949664e-05,0.0002544830909123519,0.0007413271599724158,0.02103381071295194,0.0019573875278976628,0.01595252616084211,0.027227323775435876,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,11__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd)__O3(X)__O3(exc),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",11,22,3,"30, 30",0.02,2.0,2%,0.00914915644407806,0.0014488284751547364,0.005472145905597573,0.013221025623247175,0.09534883446345248,0.00760926822674572,0.07397395423794495,0.11498271880264084,0.02401228989882035,0.004044000851323939,0.013136742013497436,0.03594507412723299,0.15440540210144107,0.013103088492135255,0.11461562726564574,0.1895918619752256,0.0016552896531282341,0.0005379518002805505,0.0007265713827476028,0.0034553752347760125,0.04017761414336503,0.006414971123191951,0.026954988086578757,0.05878243985048607,0.0017798897802855937,0.00033100651552670684,0.001029505267376507,0.0029661400155409656,0.042013243337198164,0.003848921936744791,0.03208590449678031,0.05446228066782519,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,11__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd)__O3(X)__O3(exc),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",11,22,3,"30, 30",0.05,5.0,5%,0.05703940777225027,0.009143166157385729,0.03429798172689657,0.08163722059367978,0.23805486323951264,0.01924098227129015,0.18519714286915057,0.2857222787842764,0.14964023576947919,0.025450936160145803,0.08210754692257213,0.2219206271233739,0.385423641403135,0.033039088523337146,0.2865441448059481,0.4710845222710824,0.010346436820844771,0.003379454631978678,0.004518031637950526,0.021385664143819757,0.10043124372852985,0.01614477433509782,0.06721630485195185,0.14623838122674826,0.011131550726426843,0.0020595572290412817,0.006512815516273751,0.018530060984986302,0.10507158697716959,0.009578188281340655,0.08070201680425187,0.13612516661141796,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,11__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd)__O3(X)__O3(exc),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",11,22,3,"30, 30",0.1,10.0,10%,0.22810171536377297,0.035209800855978676,0.1398687328428466,0.32873603897951287,0.47615991541965125,0.03710650270074312,0.37399028442306703,0.5733550723413136,0.5991291893456875,0.09894282894815172,0.35929116156076013,0.8721503578696551,0.7713703887081204,0.06424352766690586,0.5994090102432229,0.9338899067179467,0.04112519000170438,0.01331647660679805,0.017982682292665815,0.08788648184759974,0.20027537935979578,0.0318983728341735,0.1340995238345976,0.2964565429326864,0.04405076674392703,0.007837024831741127,0.026105931916033578,0.07360403468388338,0.20908220911733494,0.018336770911496204,0.16157330199025327,0.2713006352441575,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,11__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd)__O3(X)__O3(exc),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",11,22,3,"30, 30, 30",0.0,0.0,0%,1.9555906359515576e-06,1.3998645044977614e-06,7.367406319621258e-07,6.097043726382978e-06,0.0013312406113101852,0.00042877580678163835,0.0008583359668347388,0.002469219254416865,4.527702671494272e-06,3.557228658038211e-06,1.6858077328674171e-06,1.4594754226040507e-05,0.0020078953843376346,0.0007051964635336345,0.0012983865883732075,0.003820308132342273,5.584544429533267e-07,5.042941879451965e-07,1.1946383403405038e-07,2.3951911666841852e-06,0.0006968479896955032,0.00027025899062880755,0.0003456354062217156,0.001547640515973973,7.80614793407075e-07,4.5077251131261785e-07,1.5807806502898813e-07,1.8994446830244983e-06,0.0008476072639350982,0.0002496648772030299,0.00039759032310782936,0.0013782034258499353,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,11__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd)__O3(X)__O3(exc),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",11,22,3,"30, 30, 30",0.005,0.5,0.5%,0.0006177300251063598,0.00011103530328999197,0.0003476084471350897,0.001138682000118502,0.02475838228079577,0.0021827604201945243,0.018644260434114563,0.03374436249388188,0.0016358842771948085,0.00031100374451865914,0.000899073825877208,0.0030943190551994994,0.04027229932780085,0.0037498449821685817,0.029984559791286048,0.055626603843839856,0.00010128127230946619,3.0492056559218455e-05,4.503606674374438e-05,0.0002328660043908304,0.009956616371888096,0.0014671209364334698,0.00671089165042503,0.015259947719138175,0.000116024525814805,2.176372509792265e-05,7.388815377265879e-05,0.00019878780341886504,0.010726355012852722,0.00098603479380332,0.008595821878835019,0.014099212865222832,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,11__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd)__O3(X)__O3(exc),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",11,22,3,"30, 30, 30",0.01,1.0,1%,0.0024405696341485436,0.0004290937702673212,0.0013071185971963396,0.0038424407912859672,0.049210229183299564,0.0043555027132799445,0.036154095164951085,0.06198742446082082,0.006464940811976726,0.0012100624773806838,0.0032535414799613614,0.010447411542185168,0.0800514187452986,0.0075401128702972785,0.05703982363192721,0.10221258015618806,0.0004035827039308964,0.00012844873718449593,0.00018192436636957688,0.0009489932969814951,0.019852535145055472,0.0030794902818850234,0.013487934103100329,0.03080573480671245,0.0004531853865380093,8.528145571518466e-05,0.0002557775703484744,0.0006870212968075773,0.021194689036062253,0.001995117650347647,0.01599304756287789,0.026211091102958255,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,11__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd)__O3(X)__O3(exc),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",11,22,3,"30, 30, 30",0.02,2.0,2%,0.009712710447202368,0.00171622174712659,0.0052520931669780575,0.015315058849571942,0.09816747608119566,0.00872050486284494,0.07247132651592668,0.12375402558935988,0.025721678361217405,0.004851561753661787,0.01308428498630005,0.0416324911733444,0.1596657994744024,0.015135506211820192,0.11438655946526258,0.2040404155390407,0.0016107379983698144,0.0005040127064364168,0.0007307951497576504,0.003752175709618841,0.03967404208886388,0.00606633197739966,0.027033223073796627,0.061255005588268796,0.001805714982019886,0.00033654941027344565,0.0010085856931584059,0.0027586039767676686,0.04231110419649126,0.00394008303584691,0.03175823819355233,0.05252241404169908,20,20,400,1.0,400
