scheme,experiment_name,num_species_kept,display_species_for_folder,hidden_size,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,test_rmse_mean,test_rmse_std,test_rmse_min,test_rmse_max,test_mse_unscaled_mean,test_mse_unscaled_std,test_mse_unscaled_min,test_mse_unscaled_max,test_rmse_unscaled_mean,test_rmse_unscaled_std,test_rmse_unscaled_min,test_rmse_unscaled_max,training_time_s_mean,training_time_s_std,training_time_s_min,training_time_s_max,cached_training_time_s_mean,cached_training_time_s_std,cached_training_time_s_min,cached_training_time_s_max,epochs_ran_mean,epochs_ran_std,epochs_ran_min,epochs_ran_max,best_val_loss_mean,best_val_loss_std,best_val_loss_min,best_val_loss_max,fraction_reused_saved_weights,num_reused_saved_weights,mean_rel_error_k1_mean,mean_rel_error_k1_std,mean_rel_error_k1_min,mean_rel_error_k1_max,max_rel_error_k1_mean,max_rel_error_k1_std,max_rel_error_k1_min,max_rel_error_k1_max,mean_rel_error_k2_mean,mean_rel_error_k2_std,mean_rel_error_k2_min,mean_rel_error_k2_max,max_rel_error_k2_mean,max_rel_error_k2_std,max_rel_error_k2_min,max_rel_error_k2_max,mean_rel_error_k3_mean,mean_rel_error_k3_std,mean_rel_error_k3_min,mean_rel_error_k3_max,max_rel_error_k3_mean,max_rel_error_k3_std,max_rel_error_k3_min,max_rel_error_k3_max
O2_novib,3__O2(a)_O2(b)_O(1D),3,"O2(a), O2(b), O(1D)","30, 30",4.4051447048332195e-06,2.0945289924890617e-06,1.5145582210607245e-06,7.5544371611613315e-06,0.002038687342841049,0.0005118579397624045,0.0012306738889977006,0.0027485336383536096,1.7516230804060213e-45,7.708817565887155e-46,0.0,2.802596928649634e-45,4.021391660975332e-23,1.1897102314598676e-23,0.0,5.293955920339377e-23,169.12512431144714,50.66422930274333,85.01526546478271,219.69174575805664,169.12512431144714,50.66422930274333,85.01526546478271,219.69174575805664,3740.5,1169.1668873716515,1938,5000,4.113999134688129e-06,1.8789269707226215e-06,1.4017893863638164e-06,6.978566634643357e-06,0.0,0,0.004933746659662575,0.0013098142083781499,0.0029349259566515684,0.0067248218692839146,0.02490670015104115,0.007161505487940462,0.012740574777126312,0.03485428914427757,0.0015959297947119922,0.00047164993068979887,0.0007039434276521206,0.0026287517976015806,0.006564073218032718,0.0015835443680690658,0.003925047814846039,0.009933012537658215,0.0011493306461488827,0.00026545230603339443,0.0007209376781247556,0.0017005725530907512,0.0048002598690800365,0.0014627402342697608,0.0024375482462346554,0.0071046738885343075
O2_novib,3__O2(a)_O2(b)_O(1D),3,"O2(a), O2(b), O(1D)","30, 30, 30",1.7404767902462481e-06,7.264363457208264e-07,7.291087626981607e-07,3.8093537568784086e-06,0.0012928789708271853,0.000269386744172538,0.0008538786580645758,0.0019517565823837788,1.9618178500547438e-45,1.1501615113659464e-45,0.0,4.203895392974451e-45,4.1082573776700147e-23,1.6984202627170118e-23,0.0,6.483745362808791e-23,143.2276370406151,35.43327559527228,86.77904844284058,220.6840786933899,143.2276370406151,35.43327559527228,86.77904844284058,220.6840786933899,2714.4,653.9980202770616,1689,4302,1.661229670958164e-06,7.478888563416915e-07,6.01274126665885e-07,3.746399306692183e-06,0.0,0,0.0025264776311814787,0.0006612892558535631,0.001473123556934297,0.004257332533597946,0.014149244967848062,0.0036809346070652824,0.0077537670731544495,0.022464292123913765,0.0011939551768591627,0.0002532416187712128,0.0007929633720777929,0.0018016289686784148,0.005785795592237264,0.001955786042321364,0.0030334594193845987,0.009484449401497841,0.0012559357390273362,0.00040017822571502317,0.0005280656623654068,0.0019786616321653128,0.004828021826688201,0.0016007022565849064,0.001958513865247369,0.007304958533495665
O2_novib,3__O2(a)_O2(b)_O(1D),3,"O2(a), O2(b), O(1D)","50, 50",3.1833969757144588e-06,1.6960815195967446e-06,6.287147584771446e-07,7.135417035897262e-06,0.0017210822608980183,0.00048261658197418624,0.0007929153539168886,0.002671220139916825,1.3312335411085762e-45,7.152476590329248e-46,0.0,2.802596928649634e-45,3.336939689964921e-23,1.5138549317353896e-23,0.0,5.293955920339377e-23,192.20060744285584,71.42099436944278,92.49009919166565,348.0115211009979,192.20060744285584,71.42099436944278,92.49009919166565,348.0115211009979,3266.15,1027.6076086563494,1651,5000,2.922980663413455e-06,1.6153714609125612e-06,5.387806174894649e-07,6.366616835293826e-06,0.0,0,0.004125328059308231,0.0014142776582871518,0.0015353476628661156,0.006841806694865227,0.021005866397172213,0.00760678176605831,0.00826322939246893,0.03685735911130905,0.0011725574848242104,0.0003686695749341788,0.0006912578828632832,0.0018272888846695423,0.005672465567477048,0.002085073701662654,0.0030034161172807217,0.011680434457957745,0.0009951837186235935,0.0002491129640349709,0.0006893968093208969,0.0015644035302102566,0.00406249932711944,0.0014427055356890752,0.002005997346714139,0.007748533971607685
O2_novib,3__O2(a)_O2(b)_O3(X),3,"O2(a), O2(b), O3(X)","30, 30",1.6523454462458176e-06,1.0193663105938598e-06,7.227376386254036e-07,5.396798314905027e-06,0.0012457285164859523,0.00032526250040224773,0.0008501397759341717,0.0023231010126348417,7.707141553786495e-46,8.475127644909787e-46,0.0,2.802596928649634e-45,1.9492242547755587e-23,2.0281353526878514e-23,0.0,5.293955920339377e-23,280.7148497462273,61.58757537541733,174.4720220565796,375.14168906211853,280.7148497462273,61.58757537541733,174.4720220565796,375.14168906211853,4572.95,629.7423428840184,2815,5000,1.6777287057720969e-06,9.892929055952058e-07,7.776968413963914e-07,5.369359405449358e-06,0.0,0,0.0028516666498035192,0.0008350903106392009,0.0017582911532372236,0.005606696009635925,0.01637172782793641,0.0038453072708342097,0.010576652362942696,0.028217347338795662,0.0010480965254828333,0.0003839964752122583,0.0005585121689364314,0.002029463415965438,0.004405871464405209,0.0018273895423125987,0.0021983555052429438,0.010837865993380547,0.0008769173073233105,0.00034783970051453545,0.00047695726971141994,0.002026207046583295,0.0033205725834704936,0.0015835044279989216,0.0015524309128522873,0.009187646210193634
O2_novib,3__O2(a)_O2(b)_O3(X),3,"O2(a), O2(b), O3(X)","30, 30, 30",9.969169610712924e-07,3.910678671635125e-07,3.866641691274708e-07,1.8250439097755589e-06,0.0009808192310918915,0.00019169767039081798,0.0006218232619703695,0.0013509418602499364,1.1210387714598537e-45,5.750807556829732e-46,0.0,1.401298464324817e-45,2.994713704459715e-23,1.5362557157342027e-23,0.0,3.743392130574644e-23,181.70072237253189,41.789842580856906,92.70478224754333,246.90725421905518,181.70072237253189,41.789842580856906,92.70478224754333,246.90725421905518,2507.25,277.75336939545184,1808,3011,1.0825310471318518e-06,3.9419261847717795e-07,4.98601784784114e-07,2.011329652304994e-06,0.0,0,0.0019096179166808724,0.000475475768000696,0.0012899111025035381,0.0029453218448907137,0.010501561965793372,0.0028191201633264605,0.00622052326798439,0.01578432507812977,0.00105104076792486,0.00023176340783457176,0.0005939224502071738,0.0014580035349354148,0.004721821448765695,0.0014431765960383378,0.0028958325274288654,0.008421373553574085,0.0009469969401834533,0.00023673976420914646,0.0005186307826079428,0.001426185481250286,0.0034794141654856505,0.001322566798846372,0.001991614233702421,0.007787501905113459
O2_novib,3__O2(a)_O2(b)_O3(X),3,"O2(a), O2(b), O3(X)","50, 50",1.175095167127438e-06,7.920520291822411e-07,5.174237003302551e-07,4.055704266647808e-06,0.0010437223186735452,0.0003004188105228336,0.0007193216946055882,0.0020138779175133256,4.203895392974451e-46,6.588377734074076e-46,0.0,1.401298464324817e-45,1.1230176391723933e-23,1.7600020260401364e-23,0.0,3.743392130574644e-23,293.43960803747177,73.94073744851885,138.32931447029114,428.2519414424896,293.43960803747177,73.94073744851885,138.32931447029114,428.2519414424896,3875.25,746.4722559796637,2460,5000,1.210836510324498e-06,7.183582707361802e-07,6.290879423431761e-07,3.765686815313529e-06,0.0,0,0.0023990229179617017,0.0007945796419211901,0.0015118016162887216,0.00495099974796176,0.014713483024388551,0.0041568059148952355,0.009440505877137184,0.029096826910972595,0.0007579389130114578,0.00022507027706466942,0.0004555492487270385,0.0013452545972540975,0.0037259948847349735,0.001151929444251081,0.0018725079717114568,0.006879010237753391,0.0007135975625715219,0.00019060874110667396,0.00029462340171448886,0.0011630438966676593,0.002737099363002926,0.0007662009624378579,0.0011594807729125023,0.004164380021393299
O2_novib,3__O2(a)_O2(b)_O3(exc),3,"O2(a), O2(b), O3(exc)","30, 30",2.6449148833762594e-06,1.0174921747284155e-06,1.340070525657211e-06,5.223382231633877e-06,0.0015982954633877576,0.0003084195623025851,0.001157614152322444,0.0022854719931851885,1.3312335411085762e-45,5.521598876494168e-46,0.0,2.802596928649634e-45,3.4465811070054165e-23,1.2283553762821e-23,0.0,5.293955920339377e-23,201.6145107269287,77.90033146778232,124.04808306694031,395.5829439163208,201.6145107269287,77.90033146778232,124.04808306694031,395.5829439163208,3318.25,948.5531849806009,1844,5000,2.740802450261981e-06,8.49878849251876e-07,1.5064426270328113e-06,4.596307098836405e-06,0.0,0,0.003694843768607825,0.0008365830750023905,0.0024409503675997257,0.00564283411949873,0.01959902895614505,0.004924055617034471,0.012803927063941956,0.031818389892578125,0.001002347722533159,0.00020054676351737274,0.0006972586852498353,0.0015281043015420437,0.00706414069281891,0.0022845437008209048,0.0029172010254114866,0.011338509619235992,0.0010715546028222888,0.0002178174009351103,0.0006856293766759336,0.0016460306942462921,0.004973119962960482,0.0018755616676144513,0.0022115339525043964,0.011589310131967068
O2_novib,3__O2(a)_O2(b)_O3(exc),3,"O2(a), O2(b), O3(exc)","30, 30, 30",1.7445642754410074e-06,6.613589443147991e-07,8.866113603289705e-07,3.4188390145573067e-06,0.0012991633424348727,0.000244387279181516,0.000941600424983427,0.0018490102797327295,9.809089250273719e-46,8.004785343102542e-46,0.0,2.802596928649634e-45,2.5107330743617553e-23,1.920884850813261e-23,0.0,5.293955920339377e-23,173.927064204216,51.134935479180065,82.31192827224731,303.94127202033997,173.927064204216,51.134935479180065,82.31192827224731,303.94127202033997,2388.3,469.55881869104144,1602,3244,2.0176040341084443e-06,4.639908063788206e-07,1.2788199614988116e-06,2.9385485004240764e-06,0.0,0,0.002898655104218051,0.0006404880716014781,0.0019387308275327086,0.004199474584311247,0.0127183236181736,0.002808877083261219,0.009269355796277523,0.018665065988898277,0.0008368956565391273,0.0001587354678132227,0.0005787234986200929,0.0012269641738384962,0.004745765274856239,0.0010268042564605666,0.0026806527748703957,0.006269426085054874,0.0009492013894487172,0.00022319124763729207,0.0005726874805986881,0.0014294082066044211,0.004440523777157068,0.0017959478817684766,0.0020166768226772547,0.007912182249128819
O2_novib,3__O2(a)_O2(b)_O3(exc),3,"O2(a), O2(b), O3(exc)","50, 50",2.2833843047465052e-06,7.332305412646892e-07,1.254695121133409e-06,3.819108314928599e-06,0.001493269914855166,0.00023737437926517495,0.0011201317427577031,0.0019542539023700576,9.108440018111311e-46,8.227625122297008e-46,0.0,2.802596928649634e-45,2.3235634678330232e-23,1.9760387885238028e-23,0.0,5.293955920339377e-23,2207.970727419853,8871.793807439573,107.54494094848633,39898.777562856674,2207.970727419853,8871.793807439573,107.54494094848633,39898.777562856674,2885.8,683.0698199652569,1856,4207,2.3846885836178445e-06,5.495342856922303e-07,1.5100444898052957e-06,3.655568234535167e-06,0.0,0,0.003453461534809321,0.0006109289141651769,0.0025816988199949265,0.004802169278264046,0.01774286339059472,0.003960500736902943,0.010956726036965847,0.02719121240079403,0.0008819563547149301,0.00019114424033175726,0.0005943108699284494,0.001427313545718789,0.0064896845258772375,0.0018646484260649856,0.003261169884353876,0.009803266264498234,0.0009615281363949179,0.00023665345876394846,0.0006378000252880156,0.0015267081325873733,0.003939796914346516,0.0010998845756793692,0.0024106584023684263,0.007168730720877647
O2_novib,3__O2(b)_O(1D)_O3(exc),3,"O2(b), O(1D), O3(exc)","30, 30",6.413684479866788e-06,1.4033018425341596e-06,2.68864027930249e-06,9.093236258195248e-06,0.002516109328053349,0.0002953647685039303,0.0016397073761200472,0.003015499338118854,2.7325320054333932e-45,1.1568811099868162e-45,1.401298464324817e-45,5.605193857299268e-45,5.116896616820865e-23,1.0967363388474677e-23,3.743392130574644e-23,7.486784261149288e-23,98.95430710315705,31.283179807822222,57.826087474823,216.4497995376587,98.95430710315705,31.283179807822222,57.826087474823,216.4497995376587,2254.1,718.0320253816569,1315,4957,6.4708169575169446e-06,1.461217741593894e-06,3.2401615135313475e-06,9.58875101787271e-06,0.0,0,0.006232462218031287,0.0008326502209193679,0.003528667613863945,0.007759348955005407,0.03565422939136624,0.0060276473861401265,0.017583215609192848,0.04358314350247383,0.0017730484600178898,0.0004650799997524256,0.0010101099032908678,0.003018117742612958,0.0127447125967592,0.0037793613813502528,0.005866245366632938,0.018241167068481445,0.0016220104997046291,0.0003975372858000336,0.000949768116697669,0.002533478196710348,0.007267564290668815,0.0021062518505669614,0.00353683321736753,0.01190002728253603
