epoch,train_loss,val_loss,train_loss_smooth,val_loss_smooth
1,0.3671467144621743,0.2199229723215103,0.21519997369878818,0.13533754963874814
2,0.12142305162217881,0.05771754577755928,0.20198043372498614,0.12793907683491704
3,0.04974505548675855,0.046184618920087815,0.18868322205377946,0.12045986766517162
4,0.047142694046099984,0.045676440745592115,0.1753016734000709,0.11290120378434658
5,0.04658352497551176,0.04512786284089088,0.16183922733035352,0.10526339443325997
6,0.04600159419907464,0.04461304157972336,0.14829592830903002,0.09755304693877698
7,0.04531365687648455,0.043919379264116286,0.13467950199312637,0.08977711036801339
8,0.044610183040301,0.04301972404122353,0.12099585292223426,0.08194104258120062
9,0.043672267297903695,0.04214256763458252,0.10725176804380283,0.07405065259933473
10,0.042658841874864364,0.041052975505590436,0.09345029899759424,0.06611128782927989
11,0.04140411995351315,0.039872903823852536,0.07960007269134124,0.05812659402489661
12,0.04004198677010006,0.03838563546538353,0.06570549375994338,0.05010463767349719
13,0.038495078318648866,0.036727405190467834,0.051773139040503235,0.04206066276729106
14,0.036658215117123395,0.0349611522257328,0.037815881318185064,0.033988371863961225
15,0.034716422682007156,0.03294274307787418,0.033669502037266895,0.03238927657604218
16,0.03260799811946021,0.030956375300884246,0.03237926278660695,0.03124382771253586
17,0.03058556271923913,0.028977738544344902,0.03118714766005675,0.030112467682361605
18,0.02856423892908626,0.027164284959435462,0.030014433995220396,0.02900015718638897
19,0.02673605656458272,0.025524558052420616,0.0288623930040333,0.027906645295023916
20,0.025055487689872584,0.024021277651190758,0.0277377833209104,0.026840530896186827
21,0.023544592501388656,0.022663222774863243,0.026639644057220885,0.02580821830332279
22,0.02210998830695947,0.021438853070139884,0.02557816660354535,0.02481032037436962
23,0.020891056805849077,0.020305627211928367,0.024556353024807243,0.023857247513532635
24,0.019782241177227763,0.019374063536524773,0.02358448974175586,0.02294698065817356
25,0.01883784647617075,0.01882359966635704,0.022664404484795196,0.022095640808343888
26,0.01821527140422,0.018115699738264084,0.021807223947015075,0.021309520903229715
27,0.01776356959922446,0.01774016357958317,0.02102158955650197,0.020592813888192178
28,0.017489074220259984,0.017548397332429886,0.020312387816111242,0.019956902304291726
29,0.017339815882345042,0.01739243999123573,0.01968647250268194,0.01940039411187172
30,0.01726568335460292,0.01732010044157505,0.01914055727124214,0.018921048757433893
31,0.01720056941939725,0.017275244295597077,0.018674929046299724,0.018513522380590442
32,0.017198414798412057,0.01726651929318905,0.018282135218713025,0.018169539365172387
33,0.017156701448063055,0.017211909219622613,0.017956095406578654,0.017885229218006133
34,0.017135330956015323,0.01719511941075325,0.017689476414273188,0.017653759723901746
35,0.017113502406411702,0.01722615398466587,0.017478592653986484,0.017472362971305843
36,0.017107537877228525,0.017116232439875603,0.01731549215639631,0.01733617863357067
37,0.01703985534608364,0.017102139219641686,0.017195888735436732,0.017234063607454296
38,0.01706556487414572,0.017074407562613487,0.01711143098399043,0.01715511076748371
39,0.017017355354295837,0.01704347684979439,0.01705284985759192,0.01710037149488926
40,0.01698637917223904,0.017044953480362893,0.017009635879844425,0.01706169883310795
41,0.016960115283727647,0.0170436704903841,0.01697738138909141,0.01702669403254986
42,0.01693768193324407,0.0169941046833992,0.01694947989160816,0.016997569173574447
43,0.01692353330552578,0.01697612553834915,0.016922906933807665,0.016969686096906664
44,0.016916210874915124,0.0169249826669693,0.01689878669538432,0.016951713454723363
45,0.016904492386513287,0.016913523972034453,0.0168729146067467,0.016922641280293468
46,0.01687911769375205,0.016876485422253607,0.016846567417764004,0.016899692264199257
47,0.01683789429979192,0.016903934255242347,0.016818994456446835,0.016886626538634302
48,0.0168135443660948,0.016901018768548964,0.016794216569513083,0.0168549403578043
49,0.016792155653238296,0.016821187883615495,0.016765589921921495,0.01683522145152092
