architecture,seed,training_time_s,epochs_ran,best_val_loss,observed_species_count,repeats,test_mse,test_mse_within_subset_std,test_rmse,test_rmse_within_subset_std,test_mse_unscaled,test_mse_unscaled_within_subset_std,test_rmse_unscaled,test_rmse_unscaled_within_subset_std,mean_rel_error_avg,mean_rel_error_avg_within_subset_std,mean_rel_error_k1,mean_rel_error_k1_within_subset_std,mean_rel_error_k2,mean_rel_error_k2_within_subset_std,mean_rel_error_k3,mean_rel_error_k3_within_subset_std
"50, 50",32,183.40846061706543,1884,0.005458196671679616,3,50,0.017174357478506864,0.007568464283185574,0.12626078108678826,0.03510801386949988,2.076444064436514e-41,1.9387939095598261e-41,3.950598649523236e-21,2.2709493509874514e-21,0.15322518721222878,0.05088500486699835,0.24019970059394835,0.05363989324593992,0.09947202175855636,0.07323898434149759,0.12000384286046029,0.06801951147637873
"50, 50",32,183.40846061706543,1884,0.005458196671679616,4,50,0.010544264670461417,0.006385354765531271,0.09533439259229595,0.03815256556929563,9.57039206986063e-42,1.2074355492223407e-41,2.538425665943626e-21,1.768272379566929e-21,0.11169467553496361,0.042614835699344336,0.19972401700913905,0.07411813836753223,0.05687167827039957,0.042222961371232284,0.07848832994699478,0.052506344109813766
"50, 50",32,183.40846061706543,1884,0.005458196671679616,5,50,0.008167874513892457,0.006020745284393614,0.08287624631541578,0.03604722334048757,7.041945172771503e-42,1.0206521125142947e-41,2.104933398801687e-21,1.6159209632221128e-21,0.09698558770120144,0.03956858465254005,0.17882552154362202,0.06986608445483235,0.04658687187358737,0.024612386972276277,0.06554436940699816,0.04744789689135987
"50, 50",32,183.40846061706543,1884,0.005458196671679616,6,50,0.006529910529498011,0.005912854120917266,0.07140517338365662,0.037831359261173085,5.97224997704451e-42,8.52641487329719e-42,1.9587122833639387e-21,1.4614021240041143e-21,0.08324935875833034,0.03920219883315425,0.15057225935161114,0.07572577432466233,0.03997609328478575,0.017981956651963924,0.05919972840696573,0.04041440599062528
"50, 50",32,183.40846061706543,1884,0.005458196671679616,7,50,0.0034432313271099703,0.004662446996675221,0.04915677073627236,0.03204439448470712,3.4573676490900485e-42,6.243743581436797e-42,1.441126881508145e-21,1.1749557270317282e-21,0.060859811156988144,0.03408672283996478,0.10709526188671589,0.06541844192527099,0.030701089054346084,0.015696142425566228,0.04478308066725731,0.03424883036798469
"50, 50",32,183.40846061706543,1884,0.005458196671679616,8,50,0.004882417129119858,0.005337909302504354,0.06005833296995178,0.035712935611487646,5.392476750414761e-42,7.81292772373321e-42,1.8526743624189656e-21,1.400026591622545e-21,0.07276956543326378,0.03760904523006806,0.13078410051763056,0.07275591245979048,0.029759993348270654,0.012963022070822032,0.057764606960117815,0.04176801245187216
"50, 50",32,183.40846061706543,1884,0.005458196671679616,9,50,0.0016720593126956374,0.0023966708531054965,0.035496798438450355,0.020298685014445296,1.385603921524379e-42,3.1300994101870625e-42,9.611842298356882e-22,6.795062897718854e-22,0.04844321858137846,0.021430081575525523,0.0876642893999815,0.04661160704203003,0.02693231053650379,0.010892795300225393,0.030733055621385574,0.020122754869006894
"50, 50",32,183.40846061706543,1884,0.005458196671679616,10,50,0.0009416768659139052,0.0009030012363128123,0.028408423385609,0.011603376519698427,6.640473162742443e-43,7.235514833484555e-43,7.46376606304363e-22,3.270615811064119e-22,0.042183481715619565,0.01354184084179102,0.0779042774438858,0.03543105408438615,0.023928743079304694,0.007817837771365781,0.024717419520020486,0.010195602967645698
"50, 50",32,183.40846061706543,1884,0.005458196671679616,11,1,0.0005488118040375412,0.0,0.023426732679516817,0.0,3.615350037958028e-43,0.0,6.012778091662811e-22,0.0,0.0393340103328228,0.0,0.07954876869916916,0.0,0.01915748417377472,0.0,0.019295772537589073,0.0
"50, 50",33,177.6709418296814,1794,0.004665691787377,3,50,0.015227863520849497,0.00788827872260119,0.11798064343254415,0.03617224483070376,1.6696639358245915e-41,1.8132680562909772e-41,3.424967879214948e-21,2.2285049662479495e-21,0.14193416342139245,0.05311831369933362,0.2391664569079876,0.060420346469618365,0.07978582508862019,0.06956765792591717,0.10685021266341209,0.06894406580154534
"50, 50",33,177.6709418296814,1794,0.004665691787377,4,50,0.011136995092383585,0.006744195051846019,0.09870897306150703,0.03733006468687489,1.2263967977985794e-41,1.396494810109712e-41,2.8913810717492006e-21,1.9758247584024844e-21,0.11712648279964924,0.047119539198884876,0.20922714732587339,0.07171065661009211,0.05091514619067311,0.03596472270845514,0.09123715829104186,0.06086849183156864
"50, 50",33,177.6709418296814,1794,0.004665691787377,5,50,0.008213278248440474,0.005966430739795212,0.08332523548562404,0.035639632148856015,6.608999999233708e-42,8.865377463770966e-42,2.0826458929890125e-21,1.5071781857662704e-21,0.09705642312765121,0.04153457493071115,0.1825492801517248,0.07775286763836776,0.04319261845201254,0.026298601438478463,0.06542737435549498,0.04442697778363157
"50, 50",33,177.6709418296814,1794,0.004665691787377,6,50,0.005687811924726702,0.005820524202866938,0.06448038083369774,0.0391163956962807,5.057342209686838e-42,7.839491623302114e-42,1.7663654233893688e-21,1.3918675945438683e-21,0.07800779119133949,0.04494365069502066,0.14070504531264305,0.08624398577914602,0.03473169704899192,0.0217019646348405,0.05858662955462932,0.046081449086213616
"50, 50",33,177.6709418296814,1794,0.004665691787377,7,50,0.004319999615836423,0.004753575829944333,0.05607563388356503,0.034285899439752146,3.479620268703526e-42,6.241486603609914e-42,1.4759612375673203e-21,1.1406834328166032e-21,0.06826243303716183,0.039732705149100794,0.12469112627208233,0.07586635359030017,0.03225332302972674,0.020405574649184337,0.047842849008738995,0.03775158502375726
"50, 50",33,177.6709418296814,1794,0.004665691787377,8,50,0.0027923322113929316,0.003427966226390895,0.04522731742221968,0.027328043658167617,2.222179104726295e-42,3.7826643686022305e-42,1.2696768788069013e-21,7.810888093869099e-22,0.056821613498032095,0.03155985156962173,0.10223538435995579,0.06354257871348365,0.02672205336391926,0.01272358987176283,0.041507404521107676,0.028237763515970016
"50, 50",33,177.6709418296814,1794,0.004665691787377,9,50,0.0014737532596336678,0.0023458941686455926,0.03306373436103053,0.019507504446670695,1.3602123933508134e-42,2.7717363610701812e-42,1.0003387514859542e-21,5.996121876899568e-22,0.0439084866642952,0.022808643308605898,0.07434429451823235,0.045453287390902236,0.024191543869674207,0.009839188773699145,0.03318961959332228,0.022993081535097666
"50, 50",33,177.6709418296814,1794,0.004665691787377,10,50,0.000685147019685246,0.0007335614625774857,0.024512541161897435,0.009180541676368024,6.741646911866695e-43,4.5513511864868604e-43,7.940942828668718e-22,2.0875574508218485e-22,0.038381504863500594,0.009274790598044627,0.06645086228847503,0.021742603435315477,0.022076960112899544,0.006024255554708694,0.026616690792143346,0.007401516651984788
"50, 50",33,177.6709418296814,1794,0.004665691787377,11,1,0.0005110477213747799,0.0,0.022606364620937618,0.0,4.820466717277371e-43,0.0,6.942958099598017e-22,0.0,0.03892703354358673,0.0,0.07300031185150146,0.0,0.019064931198954582,0.0,0.024715863168239594,0.0
"50, 50",34,174.29717302322388,1770,0.004892036616802216,3,50,0.014228792986832559,0.0066233701666626515,0.11498365477094172,0.03174196153909595,1.4149022698164824e-41,1.8006434840997685e-41,3.0678820365931784e-21,2.176493167394218e-21,0.13636175349354743,0.04482360257556074,0.24946224614977835,0.05960381781471504,0.06375147458165883,0.0419612871711349,0.09587154433131218,0.06787045260747414
"50, 50",34,174.29717302322388,1770,0.004892036616802216,4,50,0.010376580285374075,0.006364996221692085,0.09556490013429343,0.03526939392301205,9.64390418729911e-42,1.2112281834832427e-41,2.565169239232356e-21,1.7503745203227816e-21,0.11410500533878803,0.04334483684793259,0.2092828294634819,0.07071015586010354,0.05143456872552633,0.03287312817300751,0.08159761749207974,0.054388681906027025
