experiment_folder,run_timestamp,source_mode,hidden_size_label,num_species_kept,test_mse,test_mse_std,baseline_num_species,baseline_test_mse,baseline_test_mse_std,mse_ratio_vs_baseline,mse_ratio_vs_baseline_std,relative_deterioration_test_mse_pct,relative_deterioration_test_mse_pct_std,mean_rel_error_avg,mean_rel_error_avg_std,mean_rel_error_k1,mean_rel_error_k1_std,mean_rel_error_k2,mean_rel_error_k2_std,mean_rel_error_k3,mean_rel_error_k3_std,max_rel_error_k1,max_rel_error_k2,max_rel_error_k3,training_time_s,training_time_s_std
2__O2(X)_O2(a),2026-04-17_19-31-37,seed_aggregate,"30, 30",2,0.0154080332722514,7.923871750684848e-05,11,3.1735521588416304e-06,2.5076169498513565e-06,4855.13787108369,3836.421544747004,485413.787108369,383642.1544747004,0.13914540934686856,0.0013795945302140353,0.2661023765802383,0.0035003838661851,0.018369969073683,0.0007710833304758,0.1329638823866844,0.0020693653367595,0.695895916223526,0.0957378976047039,0.309985513985157,55.10298894643783,43.69283451042888
3__O2(X)_O2(a)_O2(b),2026-04-17_19-31-37,seed_aggregate,"30, 30",3,1.90546622036436e-06,8.869764416903337e-07,11,3.1735521588416304e-06,2.5076169498513565e-06,0.6004206406551922,0.550633759679066,-39.95793593448078,55.0633759679066,0.001731496740831,0.00030847782389542485,0.0029421469895169,0.0007897709925747,0.0011528006172738,0.0003983972193735,0.0010995426157023,0.0002719715893257,0.015142976399511,0.0050843045697547,0.0051144990487955,191.6645075082779,31.94959864549562
4__O2(X)_O2(a)_O2(b)_O2(Hz),2026-04-17_19-31-37,seed_aggregate,"30, 30",4,2.1541636442634627e-06,1.848566375287718e-06,11,3.1735521588416304e-06,2.5076169498513565e-06,0.6787862736907869,0.7918129896144284,-32.12137263092131,79.18129896144283,0.0017848712557072333,0.0005419717315382977,0.0028784264577552,0.0015241038442301,0.0013426611956674,0.0004922375217473,0.0011335261136991,0.000280017703488,0.014386564050801,0.005785119428765,0.0046471248148009,171.92796108722686,37.03658402046102
5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),2026-04-17_19-31-37,seed_aggregate,"30, 30",5,2.2722299718225258e-06,1.0749369502645748e-06,11,3.1735521588416304e-06,2.5076169498513565e-06,0.7159894837373356,0.6593928831537349,-28.401051626266437,65.93928831537349,0.0018358733572919333,0.0003370779513740434,0.0030663522193208,0.0008689092267139,0.0013201442459831,0.0004069643578572,0.0011211236065719,0.0003193284749095,0.0140121331438422,0.005699801701121,0.0045806995301973,255.17138010263443,59.450940111048965
6__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P),2026-04-17_19-31-37,seed_aggregate,"30, 30",6,4.073697994044778e-06,1.928210689304141e-06,11,3.1735521588416304e-06,2.5076169498513565e-06,1.283639842721762,1.1823411930718966,28.36398427217619,118.23411930718966,0.0024562695878557333,0.00043495483794028897,0.0043671463034115,0.0011890245761051,0.0016127825714647,0.0004486754843415,0.001388879888691,0.0002959430124162,0.0218407400418072,0.0065963687375187,0.0057004676782526,189.8139881014824,70.05329756479674
7__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D),2026-04-17_19-31-37,seed_aggregate,"30, 30",7,4.223090684263298e-06,2.1931782709546804e-06,11,3.1735521588416304e-06,2.5076169498513565e-06,1.3307141250215835,1.2582520249357334,33.071412502158346,125.82520249357334,0.0025539683498209003,0.0005334756035244017,0.0046332870726473,0.0014936265561803,0.0016403031069785,0.0004537932540841,0.0013883148698369,0.0003528701874943,0.0228353732265532,0.0069122644374147,0.0055522766546346,130.8813201189041,40.64511617098013
8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,seed_aggregate,"30, 30",8,4.706977574642224e-06,2.913042210090805e-06,11,3.1735521588416304e-06,2.5076169498513565e-06,1.4831889753342844,1.4886397554325217,48.31889753342844,148.86397554325217,0.0025651112625685,0.0005768556185831808,0.004714727285318,0.001677342393956,0.0016027700068661,0.0003195105103969,0.0013778364955214,0.0002815975308889,0.0241264141630381,0.0067262285505421,0.0051757195382378,138.93030158281326,34.50627764275621
9__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd),2026-04-17_19-31-37,seed_aggregate,"30, 30",9,5.041997121679743e-06,2.496315592920693e-06,11,3.1735521588416304e-06,2.5076169498513565e-06,1.5887550824184686,1.4814515414781406,58.875508241846866,148.14515414781405,0.0026995144289685,0.0004937336464949605,0.0049484501476399,0.0013687303976565,0.001693793098093,0.000465471945391,0.0014563000411726,0.0003222874333819,0.0248952079564332,0.0071631121565587,0.0057484286138787,134.0638313293457,44.47509816873836
10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),2026-04-17_19-31-37,seed_aggregate,"30, 30",10,6.05247377620799e-06,3.261775151584284e-06,11,3.1735521588416304e-06,2.5076169498513565e-06,1.9071606431126649,1.8240920271490944,90.71606431126649,182.40920271490944,0.0029100494304050667,0.0006343906737499117,0.0056276156567037,0.0018475385296072,0.001829423563322,0.0003477431824978,0.0012731090711895,0.0002962090530537,0.0300161725375801,0.0078625417314469,0.0053632020950317,131.57196716070175,36.99242947669026
11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),2026-04-17_19-31-37,seed_aggregate,"30, 30",11,3.1735521588416304e-06,2.5076169498513565e-06,11,3.1735521588416304e-06,2.5076169498513565e-06,1.0,0.0,0.0,0.0,0.0020749507166328333,0.0006455142369808769,0.003904956189217,0.0018108953403007,0.0011589228452066,0.0006004928531228,0.0011609731154749,0.0003320603426046,0.0197334421332925,0.0086001742747612,0.004885207535699,156.2164982676506,65.66186843340574
