scheme,experiment_name,num_species_kept,hidden_size_str,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,test_rmse_mean,test_rmse_std,test_rmse_min,test_rmse_max,test_mse_unscaled_mean,test_mse_unscaled_std,test_mse_unscaled_min,test_mse_unscaled_max,test_rmse_unscaled_mean,test_rmse_unscaled_std,test_rmse_unscaled_min,test_rmse_unscaled_max,training_time_s_mean,training_time_s_std,training_time_s_min,training_time_s_max,epochs_ran_mean,epochs_ran_std,epochs_ran_min,epochs_ran_max,best_val_loss_mean,best_val_loss_std,best_val_loss_min,best_val_loss_max,mean_rel_error_k1_mean,mean_rel_error_k1_std,mean_rel_error_k1_min,mean_rel_error_k1_max,max_rel_error_k1_mean,max_rel_error_k1_std,max_rel_error_k1_min,max_rel_error_k1_max,mean_rel_error_k2_mean,mean_rel_error_k2_std,mean_rel_error_k2_min,mean_rel_error_k2_max,max_rel_error_k2_mean,max_rel_error_k2_std,max_rel_error_k2_min,max_rel_error_k2_max,mean_rel_error_k3_mean,mean_rel_error_k3_std,mean_rel_error_k3_min,mean_rel_error_k3_max,max_rel_error_k3_mean,max_rel_error_k3_std,max_rel_error_k3_min,max_rel_error_k3_max
O2_novib,10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),10,"30, 30",6.05247377620799e-06,3.2617751515842838e-06,1.7658388742347597e-06,1.3154937732906546e-05,0.002372967309269038,0.0006660961882083842,0.001328848702537185,0.0036269736327834735,1.8216880036222623e-45,9.205783812987109e-46,0.0,4.203895392974451e-45,4.0808811330988024e-23,1.2827967857035768e-23,0.0,6.483745362808791e-23,131.57196716070175,36.99242947669026,83.9159152507782,215.16924953460693,2909.65,819.6250281940548,1878,4817,5.1234457874898e-06,2.502415492260492e-06,1.8264295044900792e-06,1.0458197066327556e-05,0.00562761565670371,0.0018475385296072271,0.002773174550384283,0.009087817743420601,0.030016172537580134,0.011723885715215068,0.00924327690154314,0.0505603551864624,0.0018294235633220524,0.0003477431824978864,0.0011850193841382861,0.0024651424027979374,0.007862541731446982,0.0020782256184167657,0.004557060543447733,0.011755003593862057,0.0012731090711895377,0.00029620905305377244,0.0007868997636251152,0.0018510419176891446,0.005363202095031739,0.00205449741221144,0.002748363185673952,0.011675485409796238
O2_novib,10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),10,"30, 30, 30",3.0683277202570026e-06,2.4515795818503896e-06,8.979629910754738e-07,1.0150454727408942e-05,0.0016532353500425742,0.000593952503529586,0.0009476090919126271,0.003185977829083081,2.6624670822171523e-45,1.4304953180658492e-45,1.401298464324817e-45,5.605193857299268e-45,4.9939534653966505e-23,1.331836724473826e-23,3.743392130574644e-23,7.486784261149288e-23,122.05945081710816,30.634364420197972,50.229254961013794,187.91505646705627,2279.15,575.2873218067463,939,3541,2.8280935167117604e-06,1.972001555584768e-06,8.515887031990133e-07,8.111438801279291e-06,0.003363471425836906,0.001573541152201008,0.0013215019134804606,0.007507469039410353,0.017289660684764386,0.008494683509979886,0.006770765408873558,0.04147946462035179,0.001569702589767985,0.0003657033092556442,0.0008845694246701896,0.0022970959544181824,0.007609937945380807,0.00283664488956892,0.004301251377910376,0.015302598476409912,0.0014640398148912936,0.00045039309380027413,0.0008052692282944918,0.002485410077497363,0.0055167981307022275,0.0017621549318525423,0.002332653384655714,0.009000803343951702
O2_novib,10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),10,"50, 50",3.8282064195982455e-06,2.3887901406165965e-06,7.215498385448882e-07,8.28322117740754e-06,0.0018578145234510609,0.0006297297800205997,0.0008494408976173022,0.002878058577827689,1.3312335411085762e-45,8.475127644909787e-46,0.0,2.802596928649634e-45,3.227298272924425e-23,1.7462384441586634e-23,0.0,5.293955920339377e-23,210.7202290892601,57.73000390167301,103.97259259223938,302.00912952423096,2975.75,796.1443848818802,1632,4264,3.2956232832930257e-06,1.8419589918319266e-06,9.418467834620969e-07,6.399861740646884e-06,0.004366088815731928,0.0016949763443168048,0.0019345938926562667,0.007472602650523186,0.02270883726887405,0.009729281716147157,0.010067146271467209,0.045069847255945206,0.0014422069740248843,0.00048381419321657094,0.0008047441369853914,0.0025095236487686634,0.006455472856760025,0.002428907500154126,0.0030595785938203335,0.012074166908860207,0.0010401391627965495,0.0003389433245927764,0.0005058048409409821,0.001725870417430997,0.004106877441518009,0.001782159345724771,0.0015379482647404075,0.007136872969567776
O2_novib,11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),11,"30, 30",3.1735521588416304e-06,2.5076169498513565e-06,5.127997155796038e-07,9.26934717426775e-06,0.001664805353365532,0.0006504858866118107,0.0007161003530089926,0.003044560259588854,1.541428310757299e-45,7.742261616910658e-46,0.0,2.802596928649634e-45,3.679165675470126e-23,1.4060107958017207e-23,0.0,5.293955920339377e-23,156.2164982676506,65.66186843340574,70.50454783439636,334.5347955226898,3170.6,1036.6259234956253,1549,4618,3.0236186022420952e-06,2.417654577665646e-06,6.311964034466655e-07,9.546014225634281e-06,0.003904956189217046,0.0018108953403007369,0.0014971628552302718,0.007880136370658875,0.019733442133292554,0.009402573205298538,0.009405629709362984,0.04193250089883804,0.001158922845206689,0.0006004928531228407,0.0004635067598428577,0.0025760189164429903,0.00860017427476123,0.004947009989987105,0.002863087924197316,0.02001444436609745,0.001160973115474917,0.0003320603426046161,0.0005374823231250048,0.0018391928169876337,0.00488520753569901,0.001968717867637318,0.0020538256503641605,0.010376972146332264
O2_novib,11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),11,"30, 30, 30",1.9555607508436877e-06,1.4344503439113132e-06,7.366676868514332e-07,6.097094683354953e-06,0.001331227572791635,0.0004393702434441698,0.0008582934736157751,0.0024692295728333874,1.541428310757299e-45,1.1043197752988339e-45,0.0,4.203895392974451e-45,3.441844124024369e-23,1.9379837958944293e-23,0.0,6.483745362808791e-23,139.5993730187416,51.822217506494226,65.15933108329773,275.74964213371277,2444.9,685.0060237921847,1227,3972,2.048240502062981e-06,1.4849198724344007e-06,6.928474704182008e-07,6.837221517344005e-06,0.0028529363917186856,0.0011346098721889417,0.0018487030174583197,0.005916330963373184,0.014299838314764201,0.006512053031239618,0.0072878566570580006,0.03259693458676338,0.000997352621925529,0.00040038356532266377,0.00044610301847569644,0.002330261282622814,0.006794781680218876,0.003453309312986195,0.002473111730068922,0.014079293236136436,0.0011848402034956961,0.0003833470112787215,0.0005525712040252984,0.001963690621778369,0.004406568728154525,0.0016656466478858181,0.0015969028463587165,0.008364418521523476
O2_novib,11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),11,"50, 50",3.85937473197373e-06,2.1339551294025338e-06,6.961956842133077e-07,8.261536095233168e-06,0.0018822931602363216,0.0005770589597727346,0.0008343834155910025,0.002874288798160889,1.471363387541058e-45,5.5215988764941695e-46,0.0,2.802596928649634e-45,3.711278903022385e-23,9.947455529676886e-24,0.0,5.293955920339377e-23,194.93236522674562,64.47236066546893,110.86432313919067,386.54045391082764,2519.0,825.1167062587986,1541,4656,3.6208832329975847e-06,2.0151598294328902e-06,6.975477822379616e-07,8.307234866151703e-06,0.004563739307923242,0.001561890959141614,0.001666188589297235,0.007058967370539904,0.023281639721244574,0.008899202206953007,0.006926431320607662,0.040708739310503006,0.0013012140872888267,0.0006589341005349223,0.000533521466422826,0.0026978389360010624,0.008534446894191205,0.004434896943107755,0.0024320061784237623,0.016368074342608452,0.001100511703407392,0.00027089764084224047,0.0007032683352008462,0.0017207142664119601,0.004512059967964888,0.0017851129457392314,0.0022524686064571142,0.008536987006664276
O2_novib,3__O2(X)_O2(a)_O2(b),3,"30, 30",1.9054662203643602e-06,8.869764416903337e-07,8.205728931898193e-07,4.142018497077515e-06,0.0013484049797919625,0.0003030897571357842,0.0009058547859286383,0.0020351949530886507,1.401298464324817e-45,6.429598311295383e-46,0.0,2.802596928649634e-45,3.524109296493653e-23,1.2951887932348881e-23,0.0,5.293955920339377e-23,191.6645075082779,31.94959864549562,124.48249840736389,240.69796705245972,4385.05,694.2363070309706,2866,5000,2.017736344896548e-06,7.639927716772924e-07,1.0061543116535176e-06,3.6708945117425175e-06,0.002942146989516914,0.0007897709925747342,0.0019280409906059504,0.004812499508261681,0.015142976399511099,0.003589873703503177,0.011532217264175415,0.025208650156855583,0.001152800617273897,0.0003983972193735482,0.0005957359680905938,0.0018749573500826955,0.00508430456975475,0.0016404582114988952,0.002990765729919076,0.008635912090539932,0.0010995426157023758,0.0002719715893257295,0.0007846140069887042,0.0016214409843087196,0.005114499048795551,0.0025271195046806636,0.0025444889906793833,0.010372388176620007
O2_novib,3__O2(X)_O2(a)_O2(b),3,"30, 30, 30",1.215450873814916e-06,5.022487561101701e-07,5.908024149903213e-07,2.357465746172238e-06,0.0010816516457211973,0.00021880197998608994,0.0007686367249815229,0.0015354040986568448,1.1911036946760945e-45,8.227625122297008e-46,0.0,2.802596928649634e-45,2.9626004769074565e-23,1.8163107086934155e-23,0.0,5.293955920339377e-23,134.40729439258575,31.74226974514055,88.62332272529602,200.54568600654602,2521.6,544.3170902487282,1668,3737,1.4233381378403464e-06,4.936037593941144e-07,6.126790810867533e-07,2.4671966457390226e-06,0.0022121608082670717,0.00047137924403948606,0.001628231373615563,0.003101935377344489,0.011688386253081263,0.00265085302654536,0.0070113674737513065,0.017324719578027725,0.0009853148192632943,0.0003192481996165373,0.0005296356393955648,0.0019092608708888292,0.0042772493325173855,0.0013923696698710868,0.00239757657982409,0.008241117931902409,0.00103237681905739,0.0003057342219641198,0.0005459332023747265,0.0016956605250015855,0.004120297089684755,0.001461360585687826,0.0025005831848829985,0.007368114776909351
O2_novib,3__O2(X)_O2(a)_O2(b),3,"50, 50",1.7503216383829567e-06,1.1456720263730283e-06,7.364788530139776e-07,5.447955572890351e-06,0.0012710731641458624,0.0003765419523298855,0.0008581834611631581,0.002334085596735979,1.0509738482436128e-45,6.225431795612587e-46,0.0,1.401298464324817e-45,2.807544097930983e-23,1.663045595668581e-23,0.0,3.743392130574644e-23,220.14140998125077,53.121614617668115,105.17608046531677,325.7957556247711,3474.9,757.0093443072028,1751,5000,1.825042886821393e-06,8.868870165310935e-07,8.767408667154086e-07,4.1647148282208945e-06,0.0029013792693149297,0.0010321481731446586,0.001732483389787376,0.005801890976727009,0.016057391976937653,0.005098238044643985,0.009051557630300522,0.032122086733579636,0.0009091945918044076,0.0003310836374027178,0.000535446684807539,0.0016119314823299646,0.004360217449720949,0.001413229101031161,0.00240139989182353,0.007639638613909483,0.0009753492166055366,0.0002253710009160334,0.0005570577923208475,0.0014784851809963584,0.004041154903825372,0.0015669042935420711,0.001796236028894782,0.007294478360563517
O2_novib,4__O2(X)_O2(a)_O2(b)_O2(Hz),4,"30, 30",2.1541636442634627e-06,1.8485663752877181e-06,3.9249334804480895e-07,7.688595360377803e-06,0.0013633769584103068,0.0005575953197146735,0.000626492895446396,0.0027728316502048595,1.471363387541058e-45,8.475127644909787e-46,0.0,2.802596928649634e-45,3.491996068941394e-23,1.6285600129234065e-23,0.0,5.293955920339377e-23,171.92796108722686,37.03658402046102,101.98481464385986,216.8862133026123,3908.75,945.8124814147886,1903,5000,2.0436018007785605e-06,1.6249463841802181e-06,4.73560504588022e-07,6.649799961451208e-06,0.0028784264577552676,0.0015241038442301918,0.0010761674493551254,0.006595730781555176,0.014386564050801099,0.008067263030048493,0.004769884515553713,0.03249630704522133,0.0013426611956674605,0.0004922375217473572,0.0005755058955401182,0.0025165327824652195,0.005785119428765029,0.0015086179224913187,0.0025161204393953085,0.00865357555449009,0.0011335261136991904,0.00028001770348803283,0.0007263013976626098,0.0016026711091399193,0.0046471248148009184,0.0015195059308072975,0.0020560671109706163,0.007857602089643478
