Time(s)              GasTemp(K)           [O2(X)](m^-3)        [O2(a)](m^-3)        [O(3P)](m^-3)       
0.00000000000000e+00 3.77000000000000e+02 2.46703206494974e+23 0.00000000000000e+00 0.00000000000000e+00 
1.02711849495916e-16 3.77000000000000e+02 2.46703206494974e+23 1.26876622410928e+08 6.77895324407420e+08 
2.05423698991831e-16 3.77000000000000e+02 2.46703206494973e+23 2.53753244821855e+08 1.35579064881484e+09 
3.08135548487747e-16 3.77000000000000e+02 2.46703206494973e+23 3.80629867232781e+08 2.03368597322225e+09 
1.33525404344690e-15 3.77000000000000e+02 2.46703206494968e+23 1.64939609134194e+09 8.81263921729592e+09 
2.36237253840606e-15 3.77000000000000e+02 2.46703206494963e+23 2.91816231545100e+09 1.55915924613691e+10 
3.38949103336521e-15 3.77000000000000e+02 2.46703206494959e+23 4.18692853955994e+09 2.23705457054418e+10 
1.36606759829568e-14 3.77000000000000e+02 2.46703206494912e+23 1.68745907806397e+10 9.01600781461257e+10 
2.39318609325483e-14 3.77000000000000e+02 2.46703206494865e+23 2.95622530217084e+10 1.57949610586761e+11 
3.42030458821399e-14 3.77000000000000e+02 2.46703206494819e+23 4.22499152627660e+10 2.25739143027346e+11 
1.36914895378055e-13 3.77000000000000e+02 2.46703206494353e+23 1.69126537672376e+11 9.03634467428900e+11 
2.39626744873971e-13 3.77000000000000e+02 2.46703206493887e+23 2.96003160080886e+11 1.58152979182556e+12 
3.42338594369887e-13 3.77000000000000e+02 2.46703206493421e+23 4.22879782488276e+11 2.25942511621724e+12 
1.36945708932904e-12 3.77000000000000e+02 2.46703206488763e+23 1.69164600646558e+12 9.03837835970428e+12 
2.39657558428820e-12 3.77000000000000e+02 2.46703206484105e+23 2.96041223033296e+12 1.58173316027022e+13 
3.42369407924735e-12 3.77000000000000e+02 2.46703206479447e+23 4.22917845408834e+12 2.25962848452019e+13 
1.36948790288389e-11 3.77000000000000e+02 2.46703206432864e+23 1.69168406819826e+13 9.03858172272223e+13 
2.39660639784305e-11 3.77000000000000e+02 2.46703206386282e+23 2.96045028988841e+13 1.58175349560335e+14 
3.42372489280220e-11 3.77000000000000e+02 2.46703206339699e+23 4.22921651045849e+13 2.25964881843615e+14 
1.36949098423938e-10 3.77000000000000e+02 2.46703205873875e+23 1.69168786195642e+14 9.03860200378821e+14 
2.39660947919853e-10 3.77000000000000e+02 2.46703205408051e+23 2.96045406187433e+14 1.58175551402330e+15 
3.42372797415769e-10 3.77000000000000e+02 2.46703204942227e+23 4.22922025059144e+14 2.25965082268445e+15 
1.36949129237492e-09 3.77000000000000e+02 2.46703200283984e+23 1.69168811718097e+15 9.03860347953578e+15 
2.39660978733408e-09 3.77000000000000e+02 2.46703195625742e+23 2.96045409937554e+15 1.58175556473123e+16 
3.42372828229324e-09 3.77000000000000e+02 2.46703190967500e+23 4.22921996956117e+15 2.25965073167526e+16 
1.36949132318848e-08 3.77000000000000e+02 2.46703144385114e+23 1.69168690116365e+16 9.03859810342466e+16 
2.39660981814764e-08 3.77000000000000e+02 2.46703097802764e+23 2.96045070603854e+16 1.58175405842132e+17 
3.42372831310679e-08 3.77000000000000e+02 2.46703051220450e+23 4.22921339072855e+16 2.25964780813033e+17 
1.36949132626984e-07 3.77000000000000e+02 2.46702585400422e+23 1.69167436145745e+17 9.03854231939613e+17 
2.39660982122899e-07 3.77000000000000e+02 2.46702119583941e+23 2.96041638450903e+17 1.58173878998397e+18 
3.42372831618815e-07 3.77000000000000e+02 2.46701653771074e+23 4.22914719617625e+17 2.25961836096093e+18 
1.36949132657797e-06 3.77000000000000e+02 2.46696995954658e+23 1.69154865584181e+18 9.03798332118062e+18 
2.39660982153713e-06 3.77000000000000e+02 2.46692338494550e+23 2.96007199823281e+18 1.58158568523988e+19 
3.42372831649628e-06 3.77000000000000e+02 2.46687681398545e+23 4.22848227373577e+18 2.25932283096044e+19 
1.36949132660878e-05 3.77000000000000e+02 2.46641130227601e+23 1.69064206999082e+19 9.03396933464183e+19 
2.39660982156794e-05 3.77000000000000e+02 2.46594616462780e+23 2.95726808568935e+19 1.58034702673887e+20 
3.42372831652710e-05 3.77000000000000e+02 2.46548141402770e+23 4.22268063362357e+19 2.25676571734681e+20 
4.45084681148625e-05 3.77000000000000e+02 2.46501706230250e+23 5.48683743687860e+19 2.93263780710850e+20 
1.27603573046518e-04 3.77000000000000e+02 2.46127636140976e+23 1.56631594403853e+20 8.37877519187870e+20 
2.10698677978173e-04 3.77000000000000e+02 2.45756814919182e+23 2.57342875725500e+20 1.37809740013333e+21 
2.93793782909828e-04 3.77000000000000e+02 2.45389788953649e+23 3.56805608146812e+20 1.91322386635735e+21 
3.76888887841484e-04 3.77000000000000e+02 2.45027076923404e+23 4.54833739046670e+20 2.44259166504695e+21 
4.59983992773139e-04 3.77000000000000e+02 2.44669170586899e+23 5.51251799724558e+20 2.96556821670122e+21 
8.71458310477903e-04 3.77000000000000e+02 2.42982293588559e+23 9.99843502011560e+20 5.44213880880777e+21 
1.28293262818267e-03 3.77000000000000e+02 2.41467158563227e+23 1.39037515115836e+21 7.69134556117797e+21 
1.69440694588743e-03 3.77000000000000e+02 2.40148191028197e+23 1.71534701900524e+21 9.67933689554364e+21 
2.10588126359219e-03 3.77000000000000e+02 2.39031260541179e+23 1.97433578339511e+21 1.13952203408005e+22 
2.51735558129696e-03 3.77000000000000e+02 2.38107534705273e+23 2.17229530602787e+21 1.28467529673466e+22 
2.92882989900172e-03 3.77000000000000e+02 2.37358606389872e+23 2.31738915614410e+21 1.40544218979151e+22 
3.46588711803925e-03 3.77000000000000e+02 2.36605810331700e+23 2.44273382189178e+21 1.53093246827636e+22 
4.00294433707678e-03 3.77000000000000e+02 2.36057716503197e+23 2.51430790885805e+21 1.62623641658384e+22 
4.54000155611431e-03 3.77000000000000e+02 2.35666151644019e+23 2.54891843543618e+21 1.69762728310373e+22 
5.07705877515183e-03 3.77000000000000e+02 2.35391539015396e+23 2.55927258474380e+21 1.75047897896680e+22 
5.61411599418936e-03 3.77000000000000e+02 2.35202307540207e+23 2.55473422222505e+21 1.78923294650831e+22 
6.15117321322689e-03 3.77000000000000e+02 2.35073866890983e+23 2.54201681881306e+21 1.81746455703560e+22 
7.04889215536166e-03 3.77000000000000e+02 2.34946727589192e+23 2.51415963889394e+21 1.84846385337755e+22 
7.94661109749643e-03 3.77000000000000e+02 2.34884452228366e+23 2.48637459890771e+21 1.86647593353994e+22 
8.84433003963120e-03 3.77000000000000e+02 2.34857101351108e+23 2.46229884397085e+21 1.87676125997908e+22 
9.74204898176597e-03 3.77000000000000e+02 2.34847397331763e+23 2.44315075429588e+21 1.88253168178299e+22 
1.06397679239007e-02 3.77000000000000e+02 2.34844953264693e+23 2.42920520518335e+21 1.88580960501948e+22 
1.15374868660355e-02 3.77000000000000e+02 2.34844740066543e+23 2.41970335224816e+21 1.88775261523663e+22 
1.31812015867925e-02 3.77000000000000e+02 2.34844859613856e+23 2.40975577488659e+21 1.88971822124623e+22 
1.48249163075494e-02 3.77000000000000e+02 2.34846264176727e+23 2.40448879982848e+21 1.89049070368362e+22 
1.64686310283064e-02 3.77000000000000e+02 2.34849197401698e+23 2.40131610895189e+21 1.89053859686470e+22 
1.81123457490634e-02 3.77000000000000e+02 2.34851438843228e+23 2.39980099757339e+21 1.89039333083420e+22 
1.97560604698203e-02 3.77000000000000e+02 2.34851905677981e+23 2.39946196864698e+21 1.89036776966889e+22 
2.13997751905773e-02 3.77000000000000e+02 2.34851577782413e+23 2.39948138637910e+21 1.89042946523609e+22 
2.48467716345882e-02 3.77000000000000e+02 2.34851110416699e+23 2.39965689120765e+21 1.89048783741322e+22 
2.82937680785992e-02 3.77000000000000e+02 2.34851554166762e+23 2.39937835515583e+21 1.89045479461109e+22 
3.17407645226101e-02 3.77000000000000e+02 2.34851974078023e+23 2.39915115247592e+21 1.89041625289474e+22 
3.51877609666210e-02 3.77000000000000e+02 2.34851962404491e+23 2.39917324439697e+21 1.89041416921689e+22 
3.86347574106320e-02 3.77000000000000e+02 2.34851819689900e+23 2.39925957367203e+21 1.89042544627996e+22 
4.99542785483998e-02 3.77000000000000e+02 2.34851792097308e+23 2.39927718200812e+21 1.89042744313122e+22 
6.12737996861677e-02 3.77000000000000e+02 2.34851810934475e+23 2.39926330348453e+21 1.89042645140253e+22 
7.25933208239355e-02 3.77000000000000e+02 2.34851820546921e+23 2.39925766896790e+21 1.89042565581673e+22 
8.39128419617033e-02 3.77000000000000e+02 2.34851820482342e+23 2.39925810717881e+21 1.89042558109032e+22 
1.97108053339382e-01 3.77000000000000e+02 2.34851821661183e+23 2.39925739133336e+21 1.89042548849129e+22 
3.10303264717060e-01 3.77000000000000e+02 2.34851818591884e+23 2.39925930228973e+21 1.89042572016005e+22 
4.23498476094739e-01 3.77000000000000e+02 2.34851819630324e+23 2.39925865306601e+21 1.89042564231677e+22 
5.36693687472417e-01 3.77000000000000e+02 2.34851819721817e+23 2.39925859496582e+21 1.89042563563824e+22 
1.66864580124920e+00 3.77000000000000e+02 2.34851819722451e+23 2.39925859442713e+21 1.89042563561998e+22 
2.80059791502598e+00 3.77000000000000e+02 2.34851819682721e+23 2.39925861896900e+21 1.89042563865788e+22 
3.93255002880277e+00 3.77000000000000e+02 2.34851819701688e+23 2.39925860770589e+21 1.89042563711717e+22 
5.06450214257955e+00 3.77000000000000e+02 2.34851819701858e+23 2.39925860760267e+21 1.89042563710380e+22 
1.63840232803474e+01 3.77000000000000e+02 2.34851819701848e+23 2.39925860760946e+21 1.89042563710478e+22 
2.77035444181152e+01 3.77000000000000e+02 2.34851819701596e+23 2.39925860776022e+21 1.89042563712513e+22 
3.90230655558831e+01 3.77000000000000e+02 2.34851819701808e+23 2.39925860763306e+21 1.89042563710784e+22 
5.03425866936509e+01 3.77000000000000e+02 2.34851819701806e+23 2.39925860763280e+21 1.89042563710780e+22 
1.50342586693651e+02 3.77000000000000e+02 2.34851819701834e+23 2.39925860763296e+21 1.89042563710784e+22 
2.50342586693651e+02 3.77000000000000e+02 2.34851819701837e+23 2.39925860763399e+21 1.89042563710798e+22 
3.50342586693651e+02 3.77000000000000e+02 2.34851819701847e+23 2.39925860763301e+21 1.89042563710785e+22 
4.50342586693651e+02 3.77000000000000e+02 2.34851819701788e+23 2.39925860763287e+21 1.89042563710780e+22 
5.50342586693651e+02 3.77000000000000e+02 2.34851819701735e+23 2.39925860763273e+21 1.89042563710776e+22 
6.50342586693651e+02 3.77000000000000e+02 2.34851819701706e+23 2.39925860763266e+21 1.89042563710774e+22 
7.50342586693651e+02 3.77000000000000e+02 2.34851819701706e+23 2.39925860763266e+21 1.89042563710774e+22 
8.50342586693651e+02 3.77000000000000e+02 2.34851819701678e+23 2.39925860763260e+21 1.89042563710772e+22 
9.50342586693651e+02 3.77000000000000e+02 2.34851819701698e+23 2.39925860763264e+21 1.89042563710774e+22 
1.00000000000000e+03 3.77000000000000e+02 2.34851819701710e+23 2.39925860763267e+21 1.89042563710775e+22 
