Time(s)              GasTemp(K)           [O2(X)](m^-3)        [O2(a)](m^-3)        [O(3P)](m^-3)       
0.00000000000000e+00 3.77000000000000e+02 2.30350554346718e+22 0.00000000000000e+00 0.00000000000000e+00 
1.38794298711977e-16 3.77000000000000e+02 2.30350554346717e+22 1.77687776021960e+07 2.25717302502050e+08 
2.77588597423953e-16 3.77000000000000e+02 2.30350554346715e+22 3.55375552043916e+07 4.51434605004091e+08 
4.16382896135930e-16 3.77000000000000e+02 2.30350554346714e+22 5.33063328065869e+07 6.77151907506122e+08 
1.80432588325569e-15 3.77000000000000e+02 2.30350554346701e+22 2.30994108828511e+08 2.93432493252558e+09 
3.19226887037546e-15 3.77000000000000e+02 2.30350554346688e+22 4.08681884850402e+08 5.19149795754408e+09 
4.58021185749523e-15 3.77000000000000e+02 2.30350554346675e+22 5.86369660872260e+08 7.44867098256158e+09 
1.84596417286929e-14 3.77000000000000e+02 2.30350554346544e+22 2.36324742108796e+09 3.00204012326517e+10 
3.23390715998905e-14 3.77000000000000e+02 2.30350554346414e+22 4.14012518130038e+09 5.25921314826452e+10 
4.62185014710882e-14 3.77000000000000e+02 2.30350554346283e+22 5.91700294150945e+09 7.51638617325402e+10 
1.85012800183065e-13 3.77000000000000e+02 2.30350554344977e+22 2.36857805433120e+10 3.00881164222996e+11 
3.23807098895041e-13 3.77000000000000e+02 2.30350554343671e+22 4.14545581447867e+10 5.26598466703785e+11 
4.62601397607018e-13 3.77000000000000e+02 2.30350554342364e+22 5.92233357459272e+10 7.52315769174724e+11 
1.85054438472678e-12 3.77000000000000e+02 2.30350554329302e+22 2.36911111728515e+11 3.00948879303469e+12 
3.23848737184655e-12 3.77000000000000e+02 2.30350554316239e+22 4.14598887678308e+11 5.26666181592800e+12 
4.62643035896631e-12 3.77000000000000e+02 2.30350554303176e+22 5.92286663594686e+11 7.52383483783635e+12 
1.85058602301640e-11 3.77000000000000e+02 2.30350554172549e+22 2.36916441987674e+12 3.00955649719773e+13 
3.23852901013616e-11 3.77000000000000e+02 2.30350554041921e+22 4.14604217287935e+12 5.26672950094525e+13 
4.62647199725593e-11 3.77000000000000e+02 2.30350553911294e+22 5.92291992254042e+12 7.52390249484315e+13 
1.85059018684536e-10 3.77000000000000e+02 2.30350552605020e+22 2.36916971309788e+13 3.00956315843972e+14 
3.23853317396512e-10 3.77000000000000e+02 2.30350551298745e+22 4.14604740114725e+13 5.26673597072926e+14 
4.62647616108489e-10 3.77000000000000e+02 2.30350549992471e+22 5.92292505578126e+13 7.52390868452272e+14 
1.85059060322825e-09 3.77000000000000e+02 2.30350536929735e+22 2.36916987203978e+14 3.00956273282111e+15 
3.23853359034802e-09 3.77000000000000e+02 2.30350523867003e+22 4.14604691055686e+14 5.26673363053180e+15 
4.62647657746778e-09 3.77000000000000e+02 2.30350510804277e+22 5.92292361492024e+14 7.52390354328270e+15 
1.85059064486654e-08 3.77000000000000e+02 2.30350380177468e+22 2.36916618413435e+15 3.00955177287132e+16 
3.23853363198631e-08 3.77000000000000e+02 2.30350249551175e+22 4.14603672733058e+15 5.26670352487901e+16 
4.62647661910607e-08 3.77000000000000e+02 2.30350118925407e+22 5.92290392899246e+15 7.52384542739618e+16 
1.85059064903037e-07 3.77000000000000e+02 2.30348812713087e+22 2.36912877759595e+16 3.00944150700660e+17 
3.23853363615014e-07 3.77000000000000e+02 2.30347506552376e+22 4.14593436779449e+16 5.26640181054228e+17 
4.62647662326990e-07 3.77000000000000e+02 2.30346200444249e+22 5.92270654291460e+16 7.52326362989751e+17 
1.85059064944676e-06 3.77000000000000e+02 2.30333143896121e+22 2.36875468431623e+17 3.00833918262436e+18 
3.23853363656652e-06 3.77000000000000e+02 2.30320092506668e+22 4.14491076569711e+17 5.26338585694159e+18 
4.62647662368629e-06 3.77000000000000e+02 2.30307046370188e+22 5.92073272300861e+17 7.51744876146228e+18 
1.81876628463397e-05 3.77000000000000e+02 2.30179843444411e+22 2.32547422178383e+18 2.94912320178863e+19 
3.17488490689931e-05 3.77000000000000e+02 2.30053136565304e+22 4.05570665497225e+18 5.13721429728191e+19 
4.53100352916466e-05 3.77000000000000e+02 2.29926927441488e+22 5.78274836818885e+18 7.31598843096693e+19 
5.88712215143000e-05 3.77000000000000e+02 2.29801215377432e+22 7.50659196488966e+18 9.48546099274741e+19 
1.94483083740834e-04 3.77000000000000e+02 2.28570765764296e+22 2.45692812044416e+19 3.06819154075599e+20 
3.30094945967368e-04 3.77000000000000e+02 2.27387871882432e+22 4.13130693266840e+19 5.09910354203765e+20 
4.65706808193903e-04 3.77000000000000e+02 2.26250809178211e+22 5.77392861611568e+19 7.04470461379196e+20 
6.01318670420437e-04 3.77000000000000e+02 2.25157826766210e+22 7.38497567387250e+19 8.90846002624198e+20 
1.20460308606497e-03 3.77000000000000e+02 2.20788610708556e+22 1.41767710630085e+20 1.62885330637220e+21 
1.80788750170950e-03 3.77000000000000e+02 2.17124554586353e+22 2.03769450055256e+20 2.23766105196237e+21 
2.41117191735403e-03 3.77000000000000e+02 2.14048309259373e+22 2.60208352585952e+20 2.74003231229713e+21 
3.01445633299856e-03 3.77000000000000e+02 2.11462455967059e+22 3.11490380876850e+20 3.15463891417809e+21 
3.61774074864309e-03 3.77000000000000e+02 2.09286251937402e+22 3.58037829441618e+20 3.49678482297981e+21 
4.53039557577909e-03 3.77000000000000e+02 2.06624167308906e+22 4.20364860028214e+20 3.90454768750586e+21 
5.44305040291508e-03 3.77000000000000e+02 2.04560230593419e+22 4.74143846248498e+20 4.20977705816274e+21 
6.35570523005108e-03 3.77000000000000e+02 2.02953162722867e+22 5.20583818343429e+20 4.43831068808336e+21 
7.26836005718708e-03 3.77000000000000e+02 2.01694819243514e+22 5.60734808709151e+20 4.60967740322264e+21 
8.18101488432308e-03 3.77000000000000e+02 2.00701904114757e+22 5.95502184641052e+20 4.73872567711006e+21 
9.09366971145908e-03 3.77000000000000e+02 1.99913436771582e+22 6.25654539158659e+20 4.83611443670980e+21 
1.09506308129515e-02 3.77000000000000e+02 1.98755791337355e+22 6.75382456807614e+20 4.96818768825722e+21 
1.28075919144439e-02 3.77000000000000e+02 1.98007231991228e+22 7.12938821525153e+20 5.04278682804878e+21 
