epoch,train_loss,val_loss,train_loss_smooth,val_loss_smooth
1,0.44241408467292787,0.267965794801712,0.2581977478083637,0.16279443988204004
2,0.17369514826271268,0.09328813970088959,0.24222143119209344,0.15371980682015418
3,0.06809616317351659,0.050046851634979246,0.22621685312688353,0.1446132026731968
4,0.04926603631840812,0.04649841591715813,0.21018320315115982,0.13547763150930403
5,0.04776915914482541,0.04604842022061348,0.1941177591605319,0.12630644329786297
6,0.047327720522880555,0.04564530774950981,0.17802017341620394,0.11710198099017143
7,0.04688453796837065,0.04515802517533302,0.16188887602455085,0.10786403101682662
8,0.04639679157071643,0.044672564715147016,0.14572055465910166,0.09858893954753875
9,0.04594407020343674,0.04414169803261757,0.12951529163651998,0.08927363306879997
10,0.04541258350014687,0.04355535581707955,0.11326984098686114,0.07991945455670357
11,0.04484075252380636,0.04305506944656372,0.09698425523506274,0.07051988574862482
12,0.04429055881169107,0.04236440941691399,0.08065693663292464,0.06108215999007226
13,0.04363707246051894,0.04183140680193901,0.06428632154961426,0.05159784789085389
14,0.04300616926617092,0.041099968254566195,0.04787419753637578,0.04207297052145005
15,0.04229963304267989,0.0403006911277771,0.042166250210007014,0.03949679300189019
16,0.041572835279835595,0.039576515704393384,0.04063996509280468,0.03860571415424348
17,0.04077798490722974,0.038686089515686035,0.0398253312167194,0.03781743435859681
18,0.03997444106472863,0.037854237109422685,0.039029275433222446,0.037015687504410755
19,0.03913164988160133,0.037017045468091966,0.03821276888946692,0.03618580042719841
20,0.03820605053669877,0.036088508069515225,0.03737513113849693,0.03534325697720051
21,0.03728250910838445,0.035083132833242416,0.03652132713099321,0.034485349017381664
22,0.03627781843145688,0.034111331999301914,0.035651108463274114,0.03361800157725811
23,0.03527444087796741,0.03297657459974289,0.03476763355301486,0.032744371744990355
24,0.03423111961947547,0.03202265083789826,0.033873794256647424,0.03186347338557244
25,0.03314870759016938,0.030857992321252824,0.03296979623370701,0.030984085640311246
26,0.032110984341965784,0.02984386056661606,0.03206266466445393,0.030101951250433925
27,0.030996465103493798,0.02888370171189308,0.03115258206559552,0.029225958910584455
28,0.029939035243458218,0.027769880443811415,0.030242437009016673,0.028358388435840612
29,0.028900189416276083,0.02679142102599144,0.029336754399538045,0.027499521631002433
30,0.02786776455740134,0.02600474886596203,0.028441834862695806,0.02665943787693978
31,0.02691505692899227,0.024898130819201468,0.027558208806398844,0.0258384147644043
32,0.02594359419412083,0.024094438925385476,0.026691925185670456,0.025040200549364094
33,0.0250516913831234,0.023224865719676017,0.025850186514606077,0.02426677507758141
34,0.024188603510459265,0.02245801202952862,0.02503267358947132,0.023527463442087178
35,0.023325710743665694,0.021714610010385514,0.0242470854220291,0.022818594604730607
36,0.022494770114620526,0.021032610461115837,0.0234947059089111,0.022150461655855175
37,0.02169060823818048,0.020379715785384177,0.022778412184864285,0.021517128580808634
38,0.020958783229192098,0.019778047055006027,0.022101397595057883,0.02092687811255454
39,0.02025410429471069,0.01920015975832939,0.021460939613564146,0.02038106281757354
40,0.01954600662820869,0.018611429259181023,0.020863048001213205,0.01986655851900577
41,0.01893077004286978,0.018104845583438875,0.020304648078564143,0.019392420268058774
42,0.018404996486173737,0.017683995664119722,0.01978587379977107,0.018959139415621752
