Time(s)              GasTemp(K)           [O2(X)](m^-3)        [O2(a)](m^-3)        [O(3P)](m^-3)       
0.00000000000000e+00 3.77000000000000e+02 4.77285589526674e+22 0.00000000000000e+00 0.00000000000000e+00 
8.66728047985905e-17 3.77000000000000e+02 4.77285589526672e+22 2.28787267715089e+07 3.27419070594634e+08 
1.73345609597181e-16 3.77000000000000e+02 4.77285589526670e+22 4.57574535430174e+07 6.54838141189253e+08 
2.60018414395771e-16 3.77000000000000e+02 4.77285589526669e+22 6.86361803145254e+07 9.82257211783857e+08 
1.12674646238168e-15 3.77000000000000e+02 4.77285589526650e+22 2.97423448029565e+08 4.25644791772857e+09 
1.99347451036758e-15 3.77000000000000e+02 4.77285589526631e+22 5.26210715744558e+08 7.53063862367179e+09 
2.86020255835349e-15 3.77000000000000e+02 4.77285589526613e+22 7.54997983459504e+08 1.08048293296135e+10 
1.15274830382125e-14 3.77000000000000e+02 4.77285589526426e+22 3.04287066060490e+09 4.35467363888984e+10 
2.01947635180716e-14 3.77000000000000e+02 4.77285589526240e+22 5.33074333774567e+09 7.62886434480330e+10 
2.88620439979306e-14 3.77000000000000e+02 4.77285589526053e+22 7.61861601488173e+09 1.09030550507015e+11 
1.15534848796521e-13 3.77000000000000e+02 4.77285589524187e+22 3.04973427858357e+10 4.36449621083632e+11 
2.02207653595112e-13 3.77000000000000e+02 4.77285589522321e+22 5.33760695563271e+10 7.63868691645229e+11 
2.88880458393702e-13 3.77000000000000e+02 4.77285589520455e+22 7.62547963263471e+10 1.09128776219152e+12 
1.15560850637961e-12 3.77000000000000e+02 4.77285589501797e+22 3.05042063985893e+11 4.36547846633457e+12 
2.02233655436551e-12 3.77000000000000e+02 4.77285589483138e+22 5.33829331599174e+11 7.63966916897557e+12 
2.88906460235142e-12 3.77000000000000e+02 4.77285589464479e+22 7.62616599165315e+11 1.09138598700861e+13 
1.15563450822105e-11 3.77000000000000e+02 4.77285589277891e+22 3.05048927076135e+12 4.36557667492036e+13 
2.02236255620695e-11 3.77000000000000e+02 4.77285589091302e+22 5.33836193773092e+12 7.63976734781169e+13 
2.88909060419286e-11 3.77000000000000e+02 4.77285588904714e+22 7.62623459998643e+12 1.09139580053982e+14 
1.15563710840519e-10 3.77000000000000e+02 4.77285587038832e+22 3.05049608160039e+13 4.36558632613860e+14 
2.02236515639109e-10 3.77000000000000e+02 4.77285585172949e+22 5.33836865693754e+13 7.63977670153330e+14 
2.88909320437700e-10 3.77000000000000e+02 4.77285583307067e+22 7.62624118513413e+13 1.09139669238800e+15 
1.15563736842360e-09 3.77000000000000e+02 4.77285564648250e+22 3.05049624017229e+14 4.36558559485777e+15 
2.02236541640951e-09 3.77000000000000e+02 4.77285545989442e+22 5.33836789918486e+14 7.63977299528745e+15 
2.88909346439541e-09 3.77000000000000e+02 4.77285527330641e+22 7.62623908679147e+14 1.09139588652392e+16 
1.15563739442545e-08 3.77000000000000e+02 4.77285340743336e+22 3.05049103090207e+15 4.36556855777140e+16 
2.02236544241135e-08 3.77000000000000e+02 4.77285154156829e+22 5.33835352663638e+15 7.63972620869628e+16 
2.88909349039726e-08 3.77000000000000e+02 4.77284967571134e+22 7.62621130827684e+15 1.09138685550258e+17 
1.15563739702563e-07 3.77000000000000e+02 4.77283101784238e+22 3.05043825796637e+16 4.36539722130914e+17 
2.02236544501154e-07 3.77000000000000e+02 4.77281236077067e+22 5.33820911767416e+16 7.63925739171567e+17 
2.88909349299744e-07 3.77000000000000e+02 4.77279370451124e+22 7.62593283301412e+16 1.09129645345369e+18 
1.15563739728565e-06 3.77000000000000e+02 4.77260721194072e+22 3.04991038725725e+17 4.36368444293443e+18 
2.02236544527155e-06 3.77000000000000e+02 4.77242079905809e+22 5.33676456272418e+17 7.63457126055444e+18 
2.88909349325746e-06 3.77000000000000e+02 4.77223446731531e+22 7.62314695259647e+17 1.09039296382102e+19 
1.11774462146033e-05 3.77000000000000e+02 4.77045656915195e+22 2.94642702269206e+18 4.20936682504841e+19 
1.94657989359492e-05 3.77000000000000e+02 4.76868600762760e+22 5.12623943441273e+18 7.31452739139872e+19 
2.77541516572950e-05 3.77000000000000e+02 4.76692280799030e+22 7.30170840649918e+18 1.04058328715885e+20 
3.60425043786409e-05 3.77000000000000e+02 4.76516695917041e+22 9.47281036560450e+18 1.34833101195513e+20 
1.18926031592099e-04 3.77000000000000e+02 4.74800251232650e+22 3.09392821954701e+19 4.35189094413855e+20 
2.01809558805558e-04 3.77000000000000e+02 4.73154007401851e+22 5.19564784050586e+19 7.22403468154653e+20 
2.84693086019016e-04 3.77000000000000e+02 4.71575327782317e+22 7.25161167292048e+19 9.97020115413071e+20 
3.67576613232475e-04 3.77000000000000e+02 4.70061542493815e+22 9.26114087146599e+19 1.25958658914263e+21 
6.63652894869447e-04 3.77000000000000e+02 4.65147258799016e+22 1.60565412472155e+20 2.10653532058743e+21 
9.59729176506419e-04 3.77000000000000e+02 4.60921428212255e+22 2.22496018433337e+20 2.82784022601722e+21 
1.25580545814339e-03 3.77000000000000e+02 4.57287996663172e+22 2.78524793805178e+20 3.44246898509004e+21 
1.55188173978036e-03 3.77000000000000e+02 4.54164622069406e+22 3.28925723167532e+20 3.96634204511850e+21 
1.84795802141733e-03 3.77000000000000e+02 4.51480632952260e+22 3.74062230833204e+20 4.41286685321649e+21 
2.35422498332862e-03 3.77000000000000e+02 4.47743080736600e+22 4.40234289370165e+20 5.02803317927453e+21 
2.86049194523990e-03 3.77000000000000e+02 4.44861151298162e+22 4.94273199535446e+20 5.49634124663127e+21 
3.36675890715118e-03 3.77000000000000e+02 4.42636502074647e+22 5.38163140190855e+20 5.85349121002331e+21 
3.87302586906246e-03 3.77000000000000e+02 4.40919155166844e+22 5.73695013988850e+20 6.12589684398781e+21 
4.37929283097374e-03 3.77000000000000e+02 4.39593885757826e+22 6.02409433390393e+20 6.33352188698825e+21 
5.12796720250279e-03 3.77000000000000e+02 4.38172033584075e+22 6.35008116191852e+20 6.55269495613512e+21 
5.87664157403184e-03 3.77000000000000e+02 4.37197361146959e+22 6.58804216845228e+20 6.70003724225107e+21 
6.62531594556090e-03 3.77000000000000e+02 4.36524770777788e+22 6.76232151278953e+20 6.79969944721743e+21 
7.37399031708995e-03 3.77000000000000e+02 4.36060913995888e+22 6.89013104131642e+20 6.86690889789151e+21 
8.12266468861900e-03 3.77000000000000e+02 4.35742073395420e+22 6.98395265056716e+20 6.91191269613474e+21 
9.32975724223305e-03 3.77000000000000e+02 4.35425357082031e+22 7.08559429473776e+20 6.95492762997775e+21 
1.05368497958471e-02 3.77000000000000e+02 4.35241853908665e+22 7.14953088815458e+20 6.97884094596638e+21 
1.17439423494611e-02 3.77000000000000e+02 4.35131418087145e+22 7.19054668260160e+20 6.99272495137964e+21 
1.29510349030752e-02 3.77000000000000e+02 4.35069579942342e+22 7.21619747916130e+20 6.99996242102731e+21 
1.41581274566892e-02 3.77000000000000e+02 4.35039717188668e+22 7.23157582462750e+20 7.00285930266841e+21 
1.65050056709442e-02 3.77000000000000e+02 4.35019934366642e+22 7.24635561377945e+20 7.00385990924262e+21 
1.88518838851991e-02 3.77000000000000e+02 4.35008398683513e+22 7.25343632945665e+20 7.00475090273237e+21 
2.11987620994541e-02 3.77000000000000e+02 4.34996697671825e+22 7.25758571296573e+20 7.00626122836703e+21 
2.35456403137090e-02 3.77000000000000e+02 4.34989892469042e+22 7.25986621432705e+20 7.00716616865017e+21 
2.58925185279640e-02 3.77000000000000e+02 4.34993866469190e+22 7.25993219752526e+20 7.00635817198035e+21 
3.19597481780271e-02 3.77000000000000e+02 4.34999912252819e+22 7.25906882602133e+20 7.00532168955451e+21 
3.80269778280901e-02 3.77000000000000e+02 4.35002708098222e+22 7.25819419241144e+20 7.00493744719782e+21 
4.40942074781532e-02 3.77000000000000e+02 4.35002569244874e+22 7.25803358834313e+20 7.00499733868201e+21 
5.01614371282163e-02 3.77000000000000e+02 4.35002135357094e+22 7.25810307303826e+20 7.00507021929922e+21 
9.68671648417520e-02 3.77000000000000e+02 4.35002050185433e+22 7.25815315412138e+20 7.00507723741472e+21 
1.43572892555288e-01 3.77000000000000e+02 4.35002067839870e+22 7.25815293461452e+20 7.00507375042871e+21 
1.90278620268824e-01 3.77000000000000e+02 4.35002069477135e+22 7.25815246870139e+20 7.00507351615838e+21 
6.57335897404181e-01 3.77000000000000e+02 4.35002069462615e+22 7.25815242554911e+20 7.00507352769302e+21 
1.12439317453954e+00 3.77000000000000e+02 4.35002069449312e+22 7.25815242975316e+20 7.00507352951298e+21 
1.59145045167490e+00 3.77000000000000e+02 4.35002069449207e+22 7.25815242984140e+20 7.00507352951630e+21 
6.26202322302847e+00 3.77000000000000e+02 4.35002069449215e+22 7.25815242983741e+20 7.00507352951488e+21 
1.09325959943820e+01 3.77000000000000e+02 4.35002069449204e+22 7.25815242983725e+20 7.00507352951472e+21 
1.56031687657356e+01 3.77000000000000e+02 4.35002069449210e+22 7.25815242983728e+20 7.00507352951480e+21 
1.98066842599538e+01 3.77000000000000e+02 4.35002069449210e+22 7.25815242983728e+20 7.00507352951481e+21 
2.40101997541720e+01 3.77000000000000e+02 4.35002069449208e+22 7.25815242983727e+20 7.00507352951477e+21 
2.82137152483903e+01 3.77000000000000e+02 4.35002069449207e+22 7.25815242983726e+20 7.00507352951476e+21 
3.19968791931867e+01 3.77000000000000e+02 4.35002069449210e+22 7.25815242983728e+20 7.00507352951480e+21 
3.57800431379830e+01 3.77000000000000e+02 4.35002069449217e+22 7.25815242983732e+20 7.00507352951491e+21 
3.95632070827794e+01 3.77000000000000e+02 4.35002069449225e+22 7.25815242983736e+20 7.00507352951504e+21 
7.73948465307434e+01 3.77000000000000e+02 4.35002069449161e+22 7.25815242983701e+20 7.00507352951404e+21 
1.15226485978707e+02 3.77000000000000e+02 4.35002069449224e+22 7.25815242983735e+20 7.00507352951502e+21 
1.53058125426671e+02 3.77000000000000e+02 4.35002069449251e+22 7.25815242983750e+20 7.00507352951544e+21 
2.53058125426671e+02 3.77000000000000e+02 4.35002069449249e+22 7.25815242983749e+20 7.00507352951541e+21 
3.53058125426671e+02 3.77000000000000e+02 4.35002069449454e+22 7.25815242983862e+20 7.00507352951860e+21 
4.53058125426671e+02 3.77000000000000e+02 4.35002069449284e+22 7.25815242983769e+20 7.00507352951595e+21 
5.53058125426671e+02 3.77000000000000e+02 4.35002069449257e+22 7.25815242983754e+20 7.00507352951554e+21 
6.53058125426671e+02 3.77000000000000e+02 4.35002069449031e+22 7.25815242983630e+20 7.00507352951203e+21 
7.53058125426671e+02 3.77000000000000e+02 4.35002069449215e+22 7.25815242983731e+20 7.00507352951488e+21 
8.53058125426671e+02 3.77000000000000e+02 4.35002069449001e+22 7.25815242983614e+20 7.00507352951157e+21 
9.53058125426671e+02 3.77000000000000e+02 4.35002069448985e+22 7.25815242983605e+20 7.00507352951130e+21 
1.00000000000000e+03 3.77000000000000e+02 4.35002069449068e+22 7.25815242983650e+20 7.00507352951259e+21 
