scheme,experiment_name,run_timestamp,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,training_time_s,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3,experiment_folder,hidden_size_tuple,hidden_size_label,arch_sort_key,mean_rel_error_avg,baseline_num_species,baseline_test_mse,mse_ratio_vs_baseline,relative_deterioration_test_mse_pct,absolute_relative_deterioration_test_mse_pct
O2_novib,4__O2(X)_O2(a)_O2(b)_O2(Hz),2026-04-10_20-18-21,"30, 30, 30",3,2223,8,3,2,11,4,"O2(X), O2(a), O2(b), O2(Hz)","O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,1976,1876,5.51246735590717e-06,1.6008726561267395e-05,2.2403572120310857e-06,2.4899591153371148e-06,0.0015779604289515,2.802596928649634e-45,5.293955920339377e-23,171.2334406375885,0.0032928886357694,0.0150957005098462,0.0012232161825522,0.0059419530443847,0.0016357435379177,0.0070543121546506,4__O2(X)_O2(a)_O2(b)_O2(Hz),"(30, 30, 30)","30, 30, 30","(3, 30, (30, 30, 30))",0.002050616118746433,11,1.274712758458918e-06,1.9533491751878174,95.33491751878174,95.33491751878174
O2_novib,5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),2026-04-10_14-00-05,"30, 30, 30",3,2283,10,3,2,11,5,"O2(X), O2(a), O2(b), O2(Hz), O2+(X)","O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2037,1937,2.4203977333551544e-06,1.351305049865914e-06,9.430830914425314e-07,8.978965411188256e-07,0.0009475740293606,1.401298464324817e-45,3.743392130574644e-23,209.10349464416504,0.0014993032673373,0.0077204634435474,0.0010601932881399,0.0063234264962375,0.0013257191749289,0.005634072702378,5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),"(30, 30, 30)","30, 30, 30","(3, 30, (30, 30, 30))",0.0012950719101353667,11,1.274712758458918e-06,0.7043912718064815,-29.560872819351843,29.560872819351843
O2_novib,6__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P),2026-04-10_12-19-38,"30, 30, 30",3,2343,12,3,2,11,6,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P)","O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2386,2286,4.4701881087247685e-06,5.374050615500891e-06,1.745915483297722e-06,2.3699878965999237e-06,0.0015394765008274,1.401298464324817e-45,3.743392130574644e-23,164.98963284492493,0.0029635119717568,0.0138704860582947,0.0010256292298436,0.0040554571896791,0.0012561753392219,0.0041128736920654,6__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P),"(30, 30, 30)","30, 30, 30","(3, 30, (30, 30, 30))",0.0017484388469407664,11,1.274712758458918e-06,1.859232898449337,85.9232898449337,85.9232898449337
O2_novib,7_species_O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D),2026-04-09_15-54-29,"30, 30, 30",3,2403,14,3,2,11,7,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D)","O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2163,2063,3.0402170740570807e-06,1.985780199902365e-06,1.1825070737359057e-06,1.2184304978291038e-06,0.0011038253928176,1.401298464324817e-45,3.743392130574644e-23,195.71349930763245,0.0019728064071387,0.0089633055031299,0.0014772607246413,0.0098815336823463,0.001297221169807,0.0066231954842805,7__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D),"(30, 30, 30)","30, 30, 30","(3, 30, (30, 30, 30))",0.0015824294338623336,11,1.274712758458918e-06,0.9558471033914673,-4.4152896608532695,4.4152896608532695
O2_novib,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-10_12-00-54,"30, 30, 30",3,2463,16,3,2,11,8,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)","O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3860,3760,3.45179532082006e-06,3.4635002793947934e-06,9.256565988380316e-07,9.623742016628969e-07,0.0009810067286532,0.0,0.0,335.6293406486511,0.0017801985377445,0.0070223482325673,0.0009751126635819,0.0034571478608995,0.0004910859861411,0.0014874438056722,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),"(30, 30, 30)","30, 30, 30","(3, 30, (30, 30, 30))",0.0010821323958225,11,1.274712758458918e-06,0.7549733814748766,-24.502661852512343,24.502661852512343
O2_novib,9__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd),2026-04-09_16-12-01,"30, 30, 30",3,2523,18,3,2,11,9,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd)","O3(X), O3(exc)",tanh,0.0001,16,1835,1735,3.448598985818939e-06,2.371240479988046e-06,2.116186565217504e-06,2.0021561795147136e-06,0.0014149756815983,2.802596928649634e-45,5.293955920339377e-23,146.99970626831055,0.0026704298797994,0.0149652492254972,0.0015572356060147,0.009343528188765,0.001485962071456,0.0061614331789314,9__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd),"(30, 30, 30)","30, 30, 30","(3, 30, (30, 30, 30))",0.0019045425190900335,11,1.274712758458918e-06,1.5706724250059665,57.067242500596656,57.067242500596656
O2_novib,10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),2026-04-10_11-50-30,"30, 30, 30",3,2583,20,3,2,11,10,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",O3(exc),tanh,0.0001,16,2229,2129,6.237758374886148e-06,1.592927033925662e-05,2.5800715138757368e-06,2.787601943055052e-06,0.0016696113149637,5.605193857299268e-45,7.486784261149288e-23,175.07206344604492,0.0028037619777023,0.0119103919714689,0.0016627047443762,0.0060958354733884,0.0024854100774973,0.0090008033439517,10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),"(30, 30, 30)","30, 30, 30","(3, 30, (30, 30, 30))",0.002317292266525267,11,1.274712758458918e-06,2.186847134428279,118.68471344282791,118.68471344282791
O2_novib,11_species_O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),2026-04-09_15-18-35,"30, 30, 30",3,2643,22,3,2,11,11,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",,tanh,0.0001,16,1939,1839,3.893166307433502e-06,1.9919378314625647e-06,1.486845530962455e-06,1.274712758458918e-06,0.0011290317792068,0.0,0.0,167.92518758773804,0.0023799838963896,0.0128582390025258,0.001191216870211,0.0066519933752715,0.0007515089237131,0.0023114536888897,11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),"(30, 30, 30)","30, 30, 30","(3, 30, (30, 30, 30))",0.0014409032301045666,11,1.274712758458918e-06,1.0,0.0,0.0
O2_novib,3__O2(X)_O2(a)_O2(b),2026-04-10_20-31-52,"50, 50",2,3053,6,3,2,11,3,"O2(X), O2(a), O2(b)","O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,4007,3907,4.402105875366639e-06,3.7637561854353407e-06,2.955028421638417e-06,2.739468300205772e-06,0.0016551339221361,1.401298464324817e-45,3.743392130574644e-23,327.29126811027527,0.0038119903765618,0.017653489485383,0.0013729723868891,0.0045863487757742,0.0011556495446711,0.0038357677403837,3__O2(X)_O2(a)_O2(b),"(50, 50)","50, 50","(2, 50, (50, 50))",0.0021135374360406666,11,2.0479101294768043e-06,1.337689706581824,33.76897065818241,33.76897065818241
O2_novib,4__O2(X)_O2(a)_O2(b)_O2(Hz),2026-04-10_20-18-21,"50, 50",2,3153,8,3,2,11,4,"O2(X), O2(a), O2(b), O2(Hz)","O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2042,1942,8.41555861067415e-06,9.268401918234303e-06,5.003473779652267e-06,5.703592250938527e-06,0.0023882194729418,1.401298464324817e-45,3.743392130574644e-23,174.52882170677185,0.0064089270308613,0.0301691740751266,0.0017406516708433,0.0060103093273937,0.0009750689496286,0.0035030012950301,4__O2(X)_O2(a)_O2(b)_O2(Hz),"(50, 50)","50, 50","(2, 50, (50, 50))",0.0030415492171110667,11,2.0479101294768043e-06,2.785079368886011,178.5079368886011,178.5079368886011
O2_novib,5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),2026-04-10_14-00-05,"50, 50",2,3253,10,3,2,11,5,"O2(X), O2(a), O2(b), O2(Hz), O2+(X)","O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,4435,4335,1.8387136876501449e-06,2.9731787526543484e-06,1.1089982717749082e-06,1.199909888782713e-06,0.0010954039842828,1.401298464324817e-45,3.743392130574644e-23,408.9079487323761,0.0023966790176928,0.0120906140655279,0.0006806039600633,0.0037654400803148,0.0009067407809197,0.0029501009266823,5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),"(50, 50)","50, 50","(2, 50, (50, 50))",0.0013280079195586,11,2.0479101294768043e-06,0.5859192117425893,-41.40807882574107,41.40807882574107
O2_novib,6__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P),2026-04-10_12-19-38,"50, 50",2,3353,12,3,2,11,6,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P)","O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,4965,4865,1.229207461316643e-06,5.291529521400662e-07,3.957876947424666e-07,4.429010971307434e-07,0.0006655081495599,0.0,0.0,415.7716455459595,0.0013080298667773,0.006864970549941,0.0004242545110173,0.0033719670027494,0.000703363737557,0.0032801735214889,6__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P),"(50, 50)","50, 50","(2, 50, (50, 50))",0.0008118827051172001,11,2.0479101294768043e-06,0.21626979170413832,-78.37302082958617,78.37302082958617
O2_novib,7_species_O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D),2026-04-09_15-54-29,"50, 50",2,3453,14,3,2,11,7,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D)","O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,4114,4014,5.297054445286954e-06,1.6621143695374487e-05,2.185084631491918e-06,2.473540462233359e-06,0.0015727493322946,1.401298464324817e-45,3.743392130574644e-23,362.5448274612427,0.0037495177239179,0.0187554974108934,0.001044375821948,0.0060362527146935,0.0009492251556366,0.0031675747595727,7__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D),"(50, 50)","50, 50","(2, 50, (50, 50))",0.001914372900500833,11,2.0479101294768043e-06,1.207836431213558,20.783643121355812,20.783643121355812
O2_novib,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-10_12-00-54,"50, 50",2,3553,16,3,2,11,8,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)","O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,4391,4291,3.933214929929818e-06,2.4151862589860684e-06,1.0588903330699394e-06,9.61718228609243e-07,0.0009806723349871,1.401298464324817e-45,3.743392130574644e-23,400.54008436203,0.0023442914243787,0.0116028878837823,0.000736697926186,0.0070698237977921,0.0008962002466432,0.0030463843140751,8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),"(50, 50)","50, 50","(2, 50, (50, 50))",0.0013257298657359667,11,2.0479101294768043e-06,0.4696095862638956,-53.03904137361044,53.03904137361044
O2_novib,9__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd),2026-04-09_16-12-01,"50, 50",2,3653,18,3,2,11,9,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd)","O3(X), O3(exc)",tanh,0.0001,16,3229,3129,9.575922566808811e-06,7.198836538009346e-06,3.598225694076973e-06,3.550456085577025e-06,0.0018842653967997,1.401298464324817e-45,3.743392130574644e-23,289.84549260139465,0.0043332972563803,0.0225320421159267,0.001730618183501,0.0072570038028061,0.0009499322623014,0.0037964975927025,9__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd),"(50, 50)","50, 50","(2, 50, (50, 50))",0.0023379492340608998,11,2.0479101294768043e-06,1.7336972137952598,73.36972137952597,73.36972137952597
O2_novib,10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),2026-04-10_11-50-30,"50, 50",2,3753,20,3,2,11,10,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",O3(exc),tanh,0.0001,16,2324,2224,7.7397470613505e-06,6.951849736651639e-06,2.9453372735588342e-06,3.591597305785399e-06,0.001895150998149,1.401298464324817e-45,3.743392130574644e-23,194.12411642074585,0.0045811445452272,0.0254180673509836,0.0013972293818369,0.0065214638598263,0.0010636202059686,0.0049198828637599,10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),"(50, 50)","50, 50","(2, 50, (50, 50))",0.0023473313776775665,11,2.0479101294768043e-06,1.7537865817886122,75.37865817886123,75.37865817886123
O2_novib,11_species_O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),2026-04-09_15-18-35,"50, 50",2,3853,22,3,2,11,11,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",,tanh,0.0001,16,2876,2776,6.194591241081879e-06,4.580274144245777e-06,1.9391712748983998e-06,2.0479101294768043e-06,0.0014310521057867,0.0,0.0,255.15589714050293,0.0033734685275703,0.0164805464446544,0.0011964194709435,0.0093437973409891,0.000853851379361,0.0026543440762907,11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),"(50, 50)","50, 50","(2, 50, (50, 50))",0.0018079131259582668,11,2.0479101294768043e-06,1.0,0.0,0.0
