Time(s)              GasTemp(K)           [O2(X)](m^-3)        [O2(a)](m^-3)        [O(3P)](m^-3)       
0.00000000000000e+00 3.77000000000000e+02 4.35451378010550e+22 0.00000000000000e+00 0.00000000000000e+00 
8.63337817121115e-17 3.77000000000000e+02 4.35451378010549e+22 4.10595190844477e+07 2.95335242776480e+08 
1.72667563424223e-16 3.77000000000000e+02 4.35451378010547e+22 8.21190381688947e+07 5.90670485552956e+08 
2.59001345136335e-16 3.77000000000000e+02 4.35451378010545e+22 1.23178557253341e+08 8.86005728329427e+08 
1.12233916225745e-15 3.77000000000000e+02 4.35451378010526e+22 5.33773748097743e+08 3.83935815609371e+09 
1.98567697937857e-15 3.77000000000000e+02 4.35451378010507e+22 9.44368938942076e+08 6.79271058385750e+09 
2.84901479649968e-15 3.77000000000000e+02 4.35451378010488e+22 1.35496412978634e+09 9.74606301162079e+09 
1.14823929677108e-14 3.77000000000000e+02 4.35451378010300e+22 5.46091603822289e+09 3.92795872892109e+10 
2.01157711389220e-14 3.77000000000000e+02 4.35451378010111e+22 9.56686794665254e+09 6.88131115667521e+10 
2.87491493101331e-14 3.77000000000000e+02 4.35451378009922e+22 1.36728198550751e+10 9.83466358442437e+10 
1.15082931022245e-13 3.77000000000000e+02 4.35451378008035e+22 5.47323389386941e+10 3.93681878614872e+11 
2.01416712734356e-13 3.77000000000000e+02 4.35451378006148e+22 9.57918580216220e+10 6.89017121380620e+11 
2.87750494446468e-13 3.77000000000000e+02 4.35451378004260e+22 1.36851377103846e+11 9.84352364141398e+11 
1.15108831156758e-12 3.77000000000000e+02 4.35451377985388e+22 5.47446567865371e+11 3.93770479132043e+12 
2.01442612868870e-12 3.77000000000000e+02 4.35451377966515e+22 9.58041758557803e+11 6.89105721801154e+12 
2.87776394580981e-12 3.77000000000000e+02 4.35451377947642e+22 1.36863694917983e+12 9.84440964420549e+12 
1.15111421170210e-11 3.77000000000000e+02 4.35451377758915e+22 5.47458884932871e+12 3.93779338632705e+13 
2.01445202882321e-11 3.77000000000000e+02 4.35451377570188e+22 9.58054074256823e+12 6.89114580335438e+13 
2.87778984594433e-11 3.77000000000000e+02 4.35451377381461e+22 1.36864926287676e+13 9.84449821541014e+13 
1.15111680171555e-10 3.77000000000000e+02 4.35451375494189e+22 5.47460108836190e+13 3.93780219072229e+14 
2.01445461883666e-10 3.77000000000000e+02 4.35451373606918e+22 9.58055284475337e+13 6.89115451111174e+14 
2.87779243595778e-10 3.77000000000000e+02 4.35451371719647e+22 1.36865045307430e+14 9.84450678178556e+14 
1.15111706071689e-09 3.77000000000000e+02 4.35451352846936e+22 5.47460153192206e+14 3.93780252010756e+15 
2.01445487783801e-09 3.77000000000000e+02 4.35451333974229e+22 9.58055191983306e+14 6.89115387411846e+15 
2.87779269495912e-09 3.77000000000000e+02 4.35451315101525e+22 1.36865016037254e+15 9.84450473097328e+15 
1.15111708661703e-08 3.77000000000000e+02 4.35451126374761e+22 5.47459377284566e+15 3.93779704250971e+16 
2.01445490373814e-08 3.77000000000000e+02 4.35450937648309e+22 9.58053047593824e+15 6.89113873274661e+16 
2.87779272085926e-08 3.77000000000000e+02 4.35450748922176e+22 1.36864601388316e+16 9.84447545143755e+16 
1.15111708920704e-07 3.77000000000000e+02 4.35448861688359e+22 5.47451496252622e+16 3.93774138999131e+17 
2.01445490632816e-07 3.77000000000000e+02 4.35446974485847e+22 9.58031481614126e+16 6.89098644369663e+17 
2.87779272344927e-07 3.77000000000000e+02 4.35445087315232e+22 1.36860442665658e+17 9.84418178343922e+17 
1.15111708946604e-06 3.77000000000000e+02 4.35426218359633e+22 5.47372672869258e+17 3.93718483769851e+18 
2.01445490658716e-06 3.77000000000000e+02 4.35407352534358e+22 9.57815795827022e+17 6.88946364687827e+18 
2.87779272370827e-06 3.77000000000000e+02 4.35388489898183e+22 1.36818850364676e+18 9.84124546614796e+18 
1.15111708949194e-05 3.77000000000000e+02 4.35200033492042e+22 5.46815929655480e+18 3.93325851084650e+19 
2.01445490661306e-05 3.77000000000000e+02 4.35011893730200e+22 9.56112662539045e+18 6.87746028192092e+19 
2.87779272373417e-05 3.77000000000000e+02 4.34824072609818e+22 1.36470362071717e+19 9.81670077322203e+19 
3.74113054085529e-05 3.77000000000000e+02 4.34636570676102e+22 1.77258653763183e+19 1.27509736137103e+20 
1.23745087120664e-04 3.77000000000000e+02 4.32779033225969e+22 5.81226272799174e+19 4.18223702356346e+20 
2.10078868832776e-04 3.77000000000000e+02 4.30953157953118e+22 9.78054680800945e+19 7.04033075326281e+20 
