scheme,experiment_name,num_species_kept,display_species_for_folder,hidden_size,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,test_rmse_mean,test_rmse_std,test_rmse_min,test_rmse_max,test_mse_unscaled_mean,test_mse_unscaled_std,test_mse_unscaled_min,test_mse_unscaled_max,test_rmse_unscaled_mean,test_rmse_unscaled_std,test_rmse_unscaled_min,test_rmse_unscaled_max,training_time_s_mean,training_time_s_std,training_time_s_min,training_time_s_max,cached_training_time_s_mean,cached_training_time_s_std,cached_training_time_s_min,cached_training_time_s_max,epochs_ran_mean,epochs_ran_std,epochs_ran_min,epochs_ran_max,best_val_loss_mean,best_val_loss_std,best_val_loss_min,best_val_loss_max,fraction_reused_saved_weights,num_reused_saved_weights,mean_rel_error_k1_mean,mean_rel_error_k1_std,mean_rel_error_k1_min,mean_rel_error_k1_max,max_rel_error_k1_mean,max_rel_error_k1_std,max_rel_error_k1_min,max_rel_error_k1_max,mean_rel_error_k2_mean,mean_rel_error_k2_std,mean_rel_error_k2_min,mean_rel_error_k2_max,max_rel_error_k2_mean,max_rel_error_k2_std,max_rel_error_k2_min,max_rel_error_k2_max,mean_rel_error_k3_mean,mean_rel_error_k3_std,mean_rel_error_k3_min,mean_rel_error_k3_max,max_rel_error_k3_mean,max_rel_error_k3_std,max_rel_error_k3_min,max_rel_error_k3_max
O2_novib,3__O2(b)_O(1D)_O3(exc),3,"O2(b), O(1D), O3(exc)","30, 30",6.413684479866788e-06,1.4033018425341596e-06,2.68864027930249e-06,9.093236258195248e-06,0.002516109328053349,0.0002953647685039303,0.0016397073761200472,0.003015499338118854,2.7325320054333932e-45,1.1568811099868162e-45,1.401298464324817e-45,5.605193857299268e-45,5.116896616820865e-23,1.0967363388474677e-23,3.743392130574644e-23,7.486784261149288e-23,98.95430710315705,31.283179807822222,57.826087474823,216.4497995376587,98.95430710315705,31.283179807822222,57.826087474823,216.4497995376587,2254.1,718.0320253816569,1315,4957,6.4708169575169446e-06,1.461217741593894e-06,3.2401615135313475e-06,9.58875101787271e-06,0.0,0,0.006232462218031287,0.0008326502209193679,0.003528667613863945,0.007759348955005407,0.03565422939136624,0.0060276473861401265,0.017583215609192848,0.04358314350247383,0.0017730484600178898,0.0004650799997524256,0.0010101099032908678,0.003018117742612958,0.0127447125967592,0.0037793613813502528,0.005866245366632938,0.018241167068481445,0.0016220104997046291,0.0003975372858000336,0.000949768116697669,0.002533478196710348,0.007267564290668815,0.0021062518505669614,0.00353683321736753,0.01190002728253603
O2_novib,3__O2(b)_O(1D)_O3(exc),3,"O2(b), O(1D), O3(exc)","30, 30, 30",3.989474095078549e-06,1.8446801948912824e-06,1.4185530972099514e-06,8.017464097065385e-06,0.0019493782361298603,0.00044650524554210356,0.0011910302671258827,0.0028315126870747703,2.2420775429197074e-45,9.53663545377233e-46,1.401298464324817e-45,4.203895392974451e-45,4.637652969703952e-23,9.803062688950505e-24,3.743392130574644e-23,6.483745362808791e-23,130.5817063689232,42.22568895238974,43.99424457550049,217.0810718536377,130.5817063689232,42.22568895238974,43.99424457550049,217.0810718536377,2535.8,826.708030940218,851,4221,4.321125000160464e-06,1.5736217342859407e-06,1.9670542860694696e-06,7.42574982723454e-06,0.0,0,0.004503845004364848,0.001175824328356847,0.0025961878709495068,0.006802964024245739,0.023199783032760025,0.00815466379315159,0.012727978639304638,0.039135467261075974,0.0013678736897418276,0.00035880162986382837,0.0007740966393612325,0.002085669431835413,0.008810872747562825,0.0021474011237818964,0.005029949359595776,0.012536718510091305,0.0014459008001722396,0.000317743556249557,0.0009441011352464557,0.0019786397460848093,0.005767923779785633,0.0013752455793411768,0.0036518159322440624,0.008751706220209599
O2_novib,3__O2(b)_O(1D)_O3(exc),3,"O2(b), O(1D), O3(exc)","50, 50",6.639085927417909e-06,9.239946223295518e-07,4.933050604449818e-06,7.912493856565561e-06,0.0025704610151926054,0.0001830044485881773,0.002221047186452782,0.0028129155438024727,2.1720126197034665e-45,1.3994534359218652e-45,1.401298464324817e-45,7.006492321624085e-45,4.4994050966189355e-23,1.2462490980007118e-23,3.743392130574644e-23,8.370479270402673e-23,124.90158013105392,25.755922945589838,93.47066593170166,189.46958231925964,124.90158013105392,25.755922945589838,93.47066593170166,189.46958231925964,1707.25,347.3511608550753,1292,2632,6.518345494441747e-06,9.119749221122364e-07,4.710078737844014e-06,7.86055245953321e-06,0.0,0,0.0064493933692574505,0.0005060804914821549,0.005364873446524143,0.007492788601666689,0.036827994231134656,0.0038052624906651728,0.029016384854912758,0.047098297625780106,0.0017809313780162484,0.0003761588688214472,0.0011500094551593065,0.0024864552542567253,0.012058581109158695,0.0030682792422143364,0.006760722491890192,0.017070278525352478,0.001434123478247784,0.0003912784634185511,0.000936478900257498,0.0025781949516385794,0.0061608736286871135,0.002551459642583251,0.00334943481720984,0.013452967628836632
