experiment_name,combination_of_3_species,hidden_size_tuple,architecture,num_species_kept,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,num_seeds,source_mode
3__O2(X)_O2(a)_O(1D),O2(X)  O2(a)  O(1D),"(30, 30, 30)","30, 30, 30",3,0.0001722774664813,1.4773744700566506e-05,0.0001480502396589,0.0002008280134759,,seed_aggregate
3__O2(X)_O2(b)_O2+(X),O2(X)  O2(b)  O2+(X),"(30, 30, 30)","30, 30, 30",3,0.0003193571367773,0.000483672631738,2.3908482035039924e-05,0.0012240518117323,,seed_aggregate
3__O2(a)_O(3P)_O2+(X),O2(a)  O(3P)  O2+(X),"(30, 30, 30)","30, 30, 30",3,0.0124750968534499,0.0052424156305084,0.0030164048075675,0.0155460825189948,,seed_aggregate
3__O2(X)_O(3P)_O2+(X),O2(X)  O(3P)  O2+(X),"(30, 30, 30)","30, 30, 30",3,0.0136653611640213,0.004788855787279,0.0009704213007353,0.0162637960165739,,seed_aggregate
3__O2(X)_O2(a)_O2(Hz),O2(X)  O2(a)  O2(Hz),"(30, 30, 30)","30, 30, 30",3,0.0138146889104973,0.0045806640474383,0.000425299629569,0.0156714394688606,,seed_aggregate
3__O2(X)_O2(a)_O(3P),O2(X)  O2(a)  O(3P),"(30, 30, 30)","30, 30, 30",3,0.014675013849046,0.0029065176453398,0.0024057298433035,0.0156773123890161,,seed_aggregate
3__O2(X)_O(3P)_O2(Hz),O2(X)  O(3P)  O2(Hz),"(30, 30, 30)","30, 30, 30",3,0.0149012529785977,0.0033000031938813,0.0009622863144613,0.0161279644817113,,seed_aggregate
3__O2(X)_O2(a)_O2+(X),O2(X)  O2(a)  O2+(X),"(30, 30, 30)","30, 30, 30",3,0.0152602105867117,0.0004116896470711,0.0140677168965339,0.0156813394278287,,seed_aggregate
3__O2(X)_O2(a)_O2(b),O2(X)  O2(a)  O2(b),"(50, 50)","50, 50",3,1.7503216383829569e-06,1.1456720263730285e-06,7.364788530139776e-07,5.447955572890351e-06,,seed_aggregate
3__O2(a)_O2(b)_O(3P),O2(a)  O2(b)  O(3P),"(50, 50)","50, 50",3,2.838951431272108e-06,1.8524608895693304e-06,6.864138981654833e-07,7.1446088441007305e-06,,seed_aggregate
3__O2(a)_O2(b)_NONE,O2(a)  O2(b)  -,"(50, 50)","50, 50",2,3.497827594856062e-06,1.7721907449521078e-06,9.99405301627121e-07,6.120935267972527e-06,,seed_aggregate
3__O2(a)_O2(b)_O+(gnd),O2(a)  O2(b)  O+(gnd),"(50, 50)","50, 50",3,3.5008149893656083e-06,3.0833632496374965e-06,9.064717687579104e-07,1.126888582803076e-05,,seed_aggregate
3__O2(a)_O2(b)_O2+(X),O2(a)  O2(b)  O2+(X),"(50, 50)","50, 50",3,3.5834132404488627e-06,2.053031687456337e-06,8.944948604039382e-07,8.316458661283832e-06,,seed_aggregate
3__O2(X)_O2(b)_O(3P),O2(X)  O2(b)  O(3P),"(50, 50)","50, 50",3,5.3821769506612326e-05,1.4098430784694984e-05,3.36613338731695e-05,9.88193423836492e-05,,seed_aggregate
3__O2(X)_O3(X)_O(3P),O2(X)  O3(X)  O(3P),"(50, 50)","50, 50",3,8.180118311429396e-05,3.6221563971870944e-05,3.2663716410752386e-05,0.0001611821207916,,seed_aggregate
3__O2(X)_O2(a)_O(1D),O2(X)  O2(a)  O(1D),"(50, 50)","50, 50",3,0.0001791139817214,1.04605311262309e-05,0.0001575767382746,0.0001988180010812,,seed_aggregate
3__O2(X)_O2(b)_O2(Hz),O2(X)  O2(b)  O2(Hz),"(50, 50)","50, 50",3,0.0002508545823729,0.000363592106702,4.535544940154068e-05,0.0009960794122889,,seed_aggregate
3__O2(b)_O(3P)_O2+(X),O2(b)  O(3P)  O2+(X),"(50, 50)","50, 50",3,0.0003244717892812,0.0004094249196612,7.395088323391974e-05,0.0011529141338542,,seed_aggregate
3__O2(X)_O2(b)_O2+(X),O2(X)  O2(b)  O2+(X),"(50, 50)","50, 50",3,0.0009194239482894,0.0004146892864035,9.85333535936661e-05,0.0012020848225802,,seed_aggregate
3__O2(a)_O(3P)_O2+(X),O2(a)  O(3P)  O2+(X),"(50, 50)","50, 50",3,0.0058423762151505,0.0051268420288661,0.0010479440679773,0.0155150853097438,,seed_aggregate
3__O2(X)_O2(a)_O2(Hz),O2(X)  O2(a)  O2(Hz),"(50, 50)","50, 50",3,0.0095384558109799,0.0068251240538213,0.0005736427265219,0.0154812736436724,,seed_aggregate
3__O2(X)_O(3P)_O2+(X),O2(X)  O(3P)  O2+(X),"(50, 50)","50, 50",3,0.0100034584349486,0.0053349043808658,0.0015775986248627,0.0162391830235719,,seed_aggregate
3__O2(X)_O2(a)_O(3P),O2(X)  O2(a)  O(3P),"(50, 50)","50, 50",3,0.0111156137805664,0.0052968494142258,0.0005817963392473,0.0155214974656701,,seed_aggregate
3__O2(X)_O(3P)_O2(Hz),O2(X)  O(3P)  O2(Hz),"(50, 50)","50, 50",3,0.0125906810339074,0.006221927368099,0.0010363212786614,0.0161320231854915,,seed_aggregate
3__O2(X)_O2(a)_O2+(X),O2(X)  O2(a)  O2+(X),"(50, 50)","50, 50",3,0.0151530657894909,0.0005993043199973,0.0135083450004458,0.0155380293726921,,seed_aggregate
