scheme,experiment_name,run_timestamp,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,training_time_s,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3
O2_novib,6__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P),2026-04-10_12-19-38,"30, 30",2,1413,12,3,2,11,6,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P)","O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2690,2590,7.714727219839309e-06,4.7341557728941555e-06,4.235138239891967e-06,5.811209121020511e-06,0.002410644959553462,1.401298464324817e-45,3.743392130574644e-23,195.83027815818787,0.0055122035555541515,0.02844591997563839,0.0016538917552679777,0.006364260800182819,0.0011497874511405826,0.005051738582551479
O2_novib,6__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P),2026-04-10_12-19-38,"50, 50",2,3353,12,3,2,11,6,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P)","O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,4965,4865,1.229207461316643e-06,5.291529521400662e-07,3.9578769474246654e-07,4.4290109713074344e-07,0.000665508149559976,0.0,0.0,415.7716455459595,0.0013080298667773604,0.006864970549941063,0.00042425451101735234,0.003371967002749443,0.0007033637375570834,0.003280173521488905
O2_novib,6__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P),2026-04-10_12-19-38,"30, 30, 30",3,2343,12,3,2,11,6,"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P)","O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2386,2286,4.4701881087247685e-06,5.374050615500891e-06,1.745915483297722e-06,2.3699878965999233e-06,0.001539476500827448,1.401298464324817e-45,3.743392130574644e-23,164.98963284492493,0.002963511971756816,0.013870486058294773,0.0010256292298436165,0.004055457189679146,0.0012561753392219543,0.004112873692065477
