scheme,experiment_name,species_config_name,kept_species,num_species_kept,input_size,output_size,hidden_size,noise_std,noise_percent,noise_label,test_mse_scaled_mean,test_mse_scaled_std,test_mse_scaled_min,test_mse_scaled_max,test_rmse_scaled_mean,test_rmse_scaled_std,test_rmse_scaled_min,test_rmse_scaled_max,k1_mse_scaled_mean,k1_mse_scaled_std,k1_mse_scaled_min,k1_mse_scaled_max,k1_rmse_scaled_mean,k1_rmse_scaled_std,k1_rmse_scaled_min,k1_rmse_scaled_max,k2_mse_scaled_mean,k2_mse_scaled_std,k2_mse_scaled_min,k2_mse_scaled_max,k2_rmse_scaled_mean,k2_rmse_scaled_std,k2_rmse_scaled_min,k2_rmse_scaled_max,k3_mse_scaled_mean,k3_mse_scaled_std,k3_mse_scaled_min,k3_mse_scaled_max,k3_rmse_scaled_mean,k3_rmse_scaled_std,k3_rmse_scaled_min,k3_rmse_scaled_max,num_seeds,num_noise_repeats,num_evaluations,fraction_reused_saved_weights,num_reused_saved_weights
O2_novib,InverseProblem_GaussianNoiseRobustness,10__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd)__O3(X),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",10,20,3,"30, 30",0.0,0.0,0%,6.052573495240872e-06,3.1832152300854426e-06,1.7658985236697807e-06,1.315512453764119e-05,0.002372986874181866,0.0006500486121798457,0.0013288711463756676,0.0036269993848415784,1.5367342018001828e-05,8.981727744577885e-06,3.7108157447995894e-06,3.605393805897528e-05,0.003746743497063627,0.001154377170530871,0.001926347773585961,0.0060044931558771285,1.955560254638389e-06,6.312735946815267e-07,8.913359645212892e-07,3.16493020789288e-06,0.0013790141955349845,0.00023241157674242156,0.000944105907470814,0.0017790250723058627,8.348182130824e-07,3.39975449036801e-07,3.3467040826629103e-07,1.6524029575926136e-06,0.0008955832555353002,0.00018119305393468773,0.0005785070511811339,0.0012854582675422075,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,10__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd)__O3(X),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",10,20,3,"30, 30",0.005,0.5,0.5%,0.0007928587760416948,0.00012467026438372773,0.0005270769357356175,0.0012322157184384867,0.028072457254476723,0.0021927014357266484,0.022958156191985834,0.03510293033976632,0.0021542198272846676,0.00035793658740953854,0.0014142871465240093,0.0034184482065608424,0.04625603831529653,0.0038256156362050475,0.03760700927385757,0.05846749700954234,0.0001072746401848609,2.1543968783827198e-05,5.922474498478714e-05,0.00017812650798490815,0.01030723574116569,0.0010188851152572247,0.007695761494796154,0.013346404309210334,0.00011708186065555629,2.1010854291306845e-05,7.23228959664901e-05,0.00018449704402832446,0.010777644764988886,0.0009625748548252434,0.008504286916990166,0.013582968895949237,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,10__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd)__O3(X),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",10,20,3,"30, 30",0.01,1.0,1%,0.0031622447010558785,0.0004728163788744895,0.0018084719833287351,0.004623120254314812,0.0560753915886457,0.0042237138435864,0.042526132945857366,0.06799353097401849,0.008600129799167317,0.0013657324170922053,0.004687910438801306,0.012630657331370237,0.09244119229530526,0.007408980947905689,0.06846831704373423,0.11238619724579277,0.0004215721921006576,8.16268907829375e-05,0.0002468605325830886,0.0007181152927876155,0.020438168025547945,0.0019654866329710885,0.015711795969369273,0.02679767327190209,0.00046503211189965967,8.334224759347307e-05,0.0002660475150605723,0.0007260028355480586,0.021479729995996896,0.001913757395060523,0.01631096303289822,0.02694443978909301,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,10__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd)__O3(X),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",10,20,3,"30, 30",0.02,2.0,2%,0.012651896338979285,0.0019198989124072237,0.007158726742316084,0.01840922608091427,0.1121550613045053,0.008562818895113785,0.08460925919966493,0.1356806031859907,0.0344165986905516,0.005542838899308063,0.018560745098186116,0.05084098545226829,0.18491019577209053,0.015012716083015552,0.1362378255044689,0.22547945682981474,0.0016847268063137958,0.00032898229484443003,0.0009823556224859064,0.002886869405097938,0.040853776823287904,0.003966744665956208,0.031342552903136436,0.053729595244129076,0.0018543635200724518,0.0003251859566528042,0.0010597563297550217,0.002876435226280114,0.04289936075820202,0.0037474625146003077,0.03255389884107619,0.05363240835800789,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,10__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd)__O3(X),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",10,20,3,"30, 30",0.05,5.0,5%,0.07917131419955208,0.012058776306765565,0.05103850541318315,0.11739697205552652,0.28055786177330694,0.02144177630631348,0.22591703214495173,0.3426324153601444,0.21526313461815527,0.03468527077969101,0.13311141391625658,0.3254776977778488,0.4624527880006308,0.03747083729673306,0.36484436944573584,0.5705065273753218,0.01059635976119369,0.002116803705797152,0.006097377640620414,0.01830239791119104,0.10243669035158945,0.010165755627348111,0.07808570701876505,0.13528635522916213,0.011654448219307277,0.0020833459480934166,0.007173110697464819,0.020262638783320273,0.10753683407003088,0.00951334835872246,0.08469421879600059,0.14234689593847935,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,10__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd)__O3(X),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",10,20,3,"30, 30",0.1,10.0,10%,0.31570504944889355,0.047545000916638436,0.21183824299756854,0.481081619503041,0.5602897816867788,0.04224774747477242,0.4602588869294851,0.6936004754201377,0.8570640880801854,0.13682196685307324,0.5534567489099981,1.3365977081014089,0.9228323459322308,0.07387959710618412,0.7439467379523873,1.1561131900040795,0.043455016164085994,0.00907178681389169,0.024545930553390934,0.08666026378339495,0.20736767891419658,0.021326014702292097,0.156671409495769,0.29438115392021097,0.04659604410240933,0.008513733612761958,0.02831534782049006,0.08189003655870597,0.21498602809783474,0.019442140241477047,0.1682716488909824,0.28616435235491156,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,10__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd)__O3(X),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",10,20,3,"30, 30, 30",0.0,0.0,0%,3.0683503376636167e-06,2.392489274244176e-06,8.980311337047908e-07,1.015053634541907e-05,0.0016532435472810846,0.0005796344116466729,0.0009476450462619381,0.0031859906379992815,6.6153772828330135e-06,6.428443266768424e-06,1.0194451875289446e-06,2.6076955646452406e-05,0.0023612622939061328,0.0010209915384144694,0.0010096757833725361,0.005106560060006384,1.3522072541674034e-06,6.813960991264171e-07,3.828995563459614e-07,3.1229457509773794e-06,0.0011279171142747344,0.0002832150497494276,0.0006187887816904581,0.0017671858280829946,1.2374664759904342e-06,6.619663094220405e-07,3.406202947875414e-07,2.804357302732541e-06,0.001075012433018914,0.0002863909815811531,0.0005836268454993665,0.0016746215401494573,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,10__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd)__O3(X),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",10,20,3,"30, 30, 30",0.005,0.5,0.5%,0.0008701589547583433,0.00014066757411966546,0.0005157877118160159,0.0014653352223007647,0.029403483242342935,0.0023681529398389563,0.022710960169398737,0.038279697259784654,0.002377052200869802,0.00040751858615520884,0.0013668422429036632,0.004084993825244654,0.04857828367872261,0.004152790612833594,0.03697082962152274,0.06391395641989826,0.00011375882403800807,2.2770601749399814e-05,6.110648022950472e-05,0.00019426532165935483,0.010613600338655245,0.0010550329975266386,0.007817063401911533,0.013937909515395586,0.00011966583936722031,2.1792466703793817e-05,7.256788879260512e-05,0.00020909053296687573,0.010894891683286143,0.0009846819654667925,0.008518678817316985,0.014459963103925118,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,10__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd)__O3(X),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",10,20,3,"30, 30, 30",0.01,1.0,1%,0.0035085109806851857,0.000585476061967246,0.0021800929366430017,0.005473741510399567,0.05902900261648383,0.004914081937814934,0.046691465351207405,0.07398473836136454,0.009592550761567658,0.001696910412544535,0.005686461907206888,0.015274105542584966,0.09756306903844081,0.008613000686180313,0.07540863284271164,0.12358845230273323,0.0004536671137599711,9.025876410875845e-05,0.0002539985864892813,0.000779441362683313,0.021194210550520873,0.002117489623569788,0.015937333104672227,0.02791847708388323,0.0004793150667279262,8.836874802225581e-05,0.00028559070347569107,0.000822262648065939,0.02180308312996747,0.0019875887472574614,0.0168994290872707,0.028675122459475896,20,20,400,1.0,400
O2_novib,InverseProblem_GaussianNoiseRobustness,10__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)__O-(gnd)__O3(X),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd), O-(gnd), O3(X)",10,20,3,"30, 30, 30",0.02,2.0,2%,0.014045545980094378,0.002353175426008472,0.008756883248909254,0.022227964756630695,0.11810238228963206,0.009880147818239326,0.09357821994945861,0.14909045830176623,0.03841257621279062,0.006822065717485621,0.022871472557395748,0.06211890633882132,0.1952263613628978,0.017320335645160452,0.1512331728074094,0.24923664726283998,0.001817506848596174,0.0003579415748609789,0.0010003835307926168,0.003121935246829477,0.042424176424251635,0.004211941886622646,0.03162884017463519,0.05587428072762527,0.0019065548788963398,0.00034700366705196447,0.0011170113878459743,0.0032599761049655653,0.04348922617528001,0.003909000676310836,0.033421720300516766,0.057096200442459964,20,20,400,1.0,400
